RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V556;;
Number;c123;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;3631;;
Temperature Maximum;25,9°C;;
Temperature Minimum;12,5°C;;
Temperature Average;17°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;66,2%RH;;
Humidity Minimum;48,3%RH;;
Humidity Average;58%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;16-05-2022 9:46;;
End Time;29-05-2022 0:16;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-05-16 09:46:27;19,4;49,8
2;2022-05-16 09:51:27;18,8;50,2
3;2022-05-16 09:56:27;18,6;49,7
4;2022-05-16 10:01:27;18,6;50,2
5;2022-05-16 10:06:27;18,6;50,7
6;2022-05-16 10:11:27;18,5;50,7
7;2022-05-16 10:16:27;18,5;50,7
8;2022-05-16 10:21:27;18,5;50,7
9;2022-05-16 10:26:27;18,4;51,2
10;2022-05-16 10:31:27;18,4;51,2
11;2022-05-16 10:36:27;18,4;51,2
12;2022-05-16 10:41:27;18,3;51,2
13;2022-05-16 10:46:27;18,3;51,2
14;2022-05-16 10:51:27;18,2;50,7
15;2022-05-16 10:56:27;18,2;51,2
16;2022-05-16 11:01:27;18,2;51,2
17;2022-05-16 11:06:27;18,2;51,2
18;2022-05-16 11:11:27;18,1;51,2
19;2022-05-16 11:16:27;18,1;51,2
20;2022-05-16 11:21:27;18;51,2
21;2022-05-16 11:26:27;18;51,2
22;2022-05-16 11:31:27;17,9;51,7
23;2022-05-16 11:36:27;17,9;51,1
24;2022-05-16 11:41:27;17,9;51,1
25;2022-05-16 11:46:27;17,8;51,6
26;2022-05-16 11:51:27;17,8;51,6
27;2022-05-16 11:56:27;17,8;51,6
28;2022-05-16 12:01:27;17,7;51,6
29;2022-05-16 12:06:27;17,7;51,6
30;2022-05-16 12:11:27;17,7;51,6
31;2022-05-16 12:16:27;17,7;51,6
32;2022-05-16 12:21:27;17,7;51,6
33;2022-05-16 12:26:27;17,7;52,1
34;2022-05-16 12:31:27;17,7;52,1
35;2022-05-16 12:36:27;17,7;52,1
36;2022-05-16 12:41:27;17,6;52,1
37;2022-05-16 12:46:27;17,6;52,1
38;2022-05-16 12:51:27;17,6;52,1
39;2022-05-16 12:56:27;17,6;52,1
40;2022-05-16 13:01:27;17,6;52,1
41;2022-05-16 13:06:27;17,6;52,1
42;2022-05-16 13:11:27;17,6;52,1
43;2022-05-16 13:16:27;17,6;52,1
44;2022-05-16 13:21:27;17,6;52,1
45;2022-05-16 13:26:27;17,6;52,1
46;2022-05-16 13:31:27;17,6;52,1
47;2022-05-16 13:36:27;17,6;52,1
48;2022-05-16 13:41:27;17,6;52,6
49;2022-05-16 13:46:27;17,6;52,6
50;2022-05-16 13:51:27;17,6;52,1
51;2022-05-16 13:56:27;17,6;52,6
52;2022-05-16 14:01:27;17,6;52,6
53;2022-05-16 14:06:27;17,6;52,6
54;2022-05-16 14:11:27;17,5;52,6
55;2022-05-16 14:16:27;17,5;52,6
56;2022-05-16 14:21:27;17,5;52,6
57;2022-05-16 14:26:27;17,6;52,6
58;2022-05-16 14:31:27;17,6;52,6
59;2022-05-16 14:36:27;17,6;52,6
60;2022-05-16 14:41:27;17,6;52,6
61;2022-05-16 14:46:27;17,6;52,6
62;2022-05-16 14:51:27;17,6;52,6
63;2022-05-16 14:56:27;17,7;52,6
64;2022-05-16 15:01:27;17,7;53,1
65;2022-05-16 15:06:27;17,7;53,1
66;2022-05-16 15:11:27;17,8;53,1
67;2022-05-16 15:16:27;17,8;53,1
68;2022-05-16 15:21:27;17,9;53,1
69;2022-05-16 15:26:27;17,9;53,1
70;2022-05-16 15:31:27;18;52,7
71;2022-05-16 15:36:27;18;52,7
72;2022-05-16 15:41:27;18;52,7
73;2022-05-16 15:46:27;18;52,7
74;2022-05-16 15:51:27;18;52,7
75;2022-05-16 15:56:27;18,2;53,2
76;2022-05-16 16:01:27;18,4;53,2
77;2022-05-16 16:06:27;18,7;52,7
78;2022-05-16 16:11:27;18,8;52,3
79;2022-05-16 16:16:27;18,9;51,8
80;2022-05-16 16:21:27;18,8;51,8
81;2022-05-16 16:26:27;18,8;51,8
82;2022-05-16 16:31:27;18,8;51,8
83;2022-05-16 16:36:27;18,8;51,8
84;2022-05-16 16:41:27;19,8;55,9
85;2022-05-16 16:46:27;20,6;55
86;2022-05-16 16:51:27;21,1;55,1
87;2022-05-16 16:56:27;22,3;53,7
88;2022-05-16 17:01:27;21,2;49,5
89;2022-05-16 17:06:27;20,3;49,9
90;2022-05-16 17:11:27;19,7;50,4
91;2022-05-16 17:16:27;19,4;50,8
92;2022-05-16 17:21:27;19,1;51,3
93;2022-05-16 17:26:27;18,9;51,3
94;2022-05-16 17:31:27;18,8;51,8
95;2022-05-16 17:36:27;18,6;51,7
96;2022-05-16 17:41:27;18,5;51,7
97;2022-05-16 17:46:27;18,4;52,2
98;2022-05-16 17:51:27;18,3;52,2
99;2022-05-16 17:56:27;18,2;52,7
100;2022-05-16 18:01:27;18,1;52,7
101;2022-05-16 18:06:27;18;52,7
102;2022-05-16 18:11:27;17,9;53,2
103;2022-05-16 18:16:27;17,8;53,1
104;2022-05-16 18:21:27;17,7;53,6
105;2022-05-16 18:26:27;17,6;53,6
106;2022-05-16 18:31:27;17,5;53,6
107;2022-05-16 18:36:27;17,5;54,1
108;2022-05-16 18:41:27;17,4;54,1
109;2022-05-16 18:46:27;17,3;54,1
110;2022-05-16 18:51:27;17,2;54,5
111;2022-05-16 18:56:27;17,2;54,5
112;2022-05-16 19:01:27;17,1;54,5
113;2022-05-16 19:06:27;17;54,5
114;2022-05-16 19:11:27;17;55
115;2022-05-16 19:16:27;16,9;55
116;2022-05-16 19:21:27;16,8;55
117;2022-05-16 19:26:27;16,8;55
118;2022-05-16 19:31:27;16,8;55,5
119;2022-05-16 19:36:27;16,7;55,5
120;2022-05-16 19:41:27;16,7;55,4
121;2022-05-16 19:46:27;16,6;55,4
122;2022-05-16 19:51:27;16,6;55,4
123;2022-05-16 19:56:27;16,5;55,4
124;2022-05-16 20:01:27;16,5;55,4
125;2022-05-16 20:06:27;16,4;55,4
126;2022-05-16 20:11:27;16,4;55,9
127;2022-05-16 20:16:27;16,4;55,9
128;2022-05-16 20:21:27;16,3;55,9
129;2022-05-16 20:26:27;16,3;55,9
130;2022-05-16 20:31:27;16,2;55,9
131;2022-05-16 20:36:27;16,2;56,4
132;2022-05-16 20:41:27;16,2;56,4
133;2022-05-16 20:46:27;16,2;56,4
134;2022-05-16 20:51:27;16,2;56,4
135;2022-05-16 20:56:27;16,2;56,3
136;2022-05-16 21:01:27;16,1;56,8
137;2022-05-16 21:06:27;16,1;56,8
138;2022-05-16 21:11:27;16;56,8
139;2022-05-16 21:16:27;16;56,8
140;2022-05-16 21:21:27;16;56,8
141;2022-05-16 21:26:27;15,9;56,8
142;2022-05-16 21:31:27;15,9;56,8
143;2022-05-16 21:36:27;15,9;57,3
144;2022-05-16 21:41:27;15,8;57,3
145;2022-05-16 21:46:27;15,8;57,3
146;2022-05-16 21:51:27;15,7;57,3
147;2022-05-16 21:56:27;15,7;57,3
148;2022-05-16 22:01:27;15,7;57,3
149;2022-05-16 22:06:27;15,6;57,3
150;2022-05-16 22:11:27;15,6;57,2
151;2022-05-16 22:16:27;15,6;57,2
152;2022-05-16 22:21:27;15,5;57,2
153;2022-05-16 22:26:27;15,5;57,2
154;2022-05-16 22:31:27;15,5;57,2
155;2022-05-16 22:36:27;15,5;57,2
156;2022-05-16 22:41:27;15,5;57,2
157;2022-05-16 22:46:27;15,4;57,2
158;2022-05-16 22:51:27;15,4;57,2
159;2022-05-16 22:56:27;15,4;57,2
160;2022-05-16 23:01:27;15,3;57,2
161;2022-05-16 23:06:27;15,3;57,2
162;2022-05-16 23:11:27;15,3;57,2
163;2022-05-16 23:16:27;15,2;57,7
164;2022-05-16 23:21:27;15,2;57,7
165;2022-05-16 23:26:27;15,2;57,7
166;2022-05-16 23:31:27;15,1;57,7
167;2022-05-16 23:36:27;15,1;57,6
168;2022-05-16 23:41:27;15,1;57,6
169;2022-05-16 23:46:27;15;57,6
170;2022-05-16 23:51:27;15;57,6
171;2022-05-16 23:56:27;15;57,6
172;2022-05-17 00:01:27;15;57,6
173;2022-05-17 00:06:27;14,9;57,6
174;2022-05-17 00:11:27;14,9;57,6
175;2022-05-17 00:16:27;14,9;57,6
176;2022-05-17 00:21:27;14,9;57,6
177;2022-05-17 00:26:27;14,8;57,6
178;2022-05-17 00:31:27;14,8;57,6
179;2022-05-17 00:36:27;14,8;57,6
180;2022-05-17 00:41:27;14,8;58,1
181;2022-05-17 00:46:27;14,8;57,6
182;2022-05-17 00:51:27;14,8;58,1
183;2022-05-17 00:56:27;14,7;57,6
184;2022-05-17 01:01:27;14,7;57,6
185;2022-05-17 01:06:27;14,7;57,6
186;2022-05-17 01:11:27;14,7;57,6
187;2022-05-17 01:16:27;14,6;57,6
188;2022-05-17 01:21:27;14,6;57,6
189;2022-05-17 01:26:27;14,6;57,6
190;2022-05-17 01:31:27;14,5;57,6
191;2022-05-17 01:36:27;14,5;57,6
192;2022-05-17 01:41:27;14,5;57,6
193;2022-05-17 01:46:27;14,4;57,6
194;2022-05-17 01:51:27;14,4;57,5
195;2022-05-17 01:56:27;14,4;57,5
196;2022-05-17 02:01:27;14,3;57,5
197;2022-05-17 02:06:27;14,3;57,5
198;2022-05-17 02:11:27;14,3;57,1
199;2022-05-17 02:16:27;14,3;57,1
200;2022-05-17 02:21:27;14,3;57,1
201;2022-05-17 02:26:27;14,2;57
202;2022-05-17 02:31:27;14,2;57
203;2022-05-17 02:36:27;14,2;57
204;2022-05-17 02:41:27;14,2;57
205;2022-05-17 02:46:27;14,2;57
206;2022-05-17 02:51:27;14,2;57
207;2022-05-17 02:56:27;14,2;57
208;2022-05-17 03:01:27;14,1;56,5
209;2022-05-17 03:06:27;14,1;56,5
210;2022-05-17 03:11:27;14,1;56,5
211;2022-05-17 03:16:27;14;56,5
212;2022-05-17 03:21:27;14;56,5
213;2022-05-17 03:26:27;14;56
214;2022-05-17 03:31:27;13,9;56
215;2022-05-17 03:36:27;13,9;56
216;2022-05-17 03:41:27;13,9;56
217;2022-05-17 03:46:27;13,9;56
218;2022-05-17 03:51:27;13,8;56
219;2022-05-17 03:56:27;13,8;56
220;2022-05-17 04:01:27;13,8;56
221;2022-05-17 04:06:27;13,8;56
222;2022-05-17 04:11:27;13,7;56
223;2022-05-17 04:16:27;13,7;56
224;2022-05-17 04:21:27;13,7;56
225;2022-05-17 04:26:27;13,7;56
226;2022-05-17 04:31:27;13,7;56
227;2022-05-17 04:36:27;13,6;56
228;2022-05-17 04:41:27;13,6;56
229;2022-05-17 04:46:27;13,6;56
230;2022-05-17 04:51:27;13,6;56
231;2022-05-17 04:56:27;13,5;56
232;2022-05-17 05:01:27;13,5;55,5
233;2022-05-17 05:06:27;13,5;55,5
234;2022-05-17 05:11:27;13,5;55,5
235;2022-05-17 05:16:27;13,5;55,5
236;2022-05-17 05:21:27;13,5;55,5
237;2022-05-17 05:26:27;13,5;55,5
238;2022-05-17 05:31:27;13,5;55,5
239;2022-05-17 05:36:27;13,5;55,5
240;2022-05-17 05:41:27;13,5;55,5
