Informe de datos;;;;;
Archivo creado el:2022-05-28 18:34:46;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:33:13
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V773;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2077;;MKT;19,6;
Primera lectura;2022-05-21 11:33:13;;Última lectura;2022-05-28 16:33:13;
Máximo(Temperatura);23,9°C;;Mínimo(Temperatura);16,8°C;
Promedio(Temperatura);19,5°C;;Tiempo de grabación;7D 5H 0M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);81,0%;;Mínimo(Humedad);59,3%;
Promedio(Humedad);72,7%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:33:13;23,9;59,3;;
2;2022-05-21 11:38:13;22,9;62,5;;
3;2022-05-21 11:43:13;22;64,2;;
4;2022-05-21 11:48:13;21,5;64,6;;
5;2022-05-21 11:53:13;22,7;62,5;;
6;2022-05-21 11:58:13;21,4;63,7;;
7;2022-05-21 12:03:13;20,8;65,4;;
8;2022-05-21 12:08:13;20,5;65,8;;
9;2022-05-21 12:13:13;20,3;66,7;;
10;2022-05-21 12:18:13;20,3;67,1;;
11;2022-05-21 12:23:13;20,2;67,1;;
12;2022-05-21 12:28:13;20,2;68;;
13;2022-05-21 12:33:13;20,3;68,5;;
14;2022-05-21 12:38:13;20,3;69,4;;
15;2022-05-21 12:43:13;20,3;69,8;;
16;2022-05-21 12:48:13;20,3;69,9;;
17;2022-05-21 12:53:13;20,3;70,3;;
18;2022-05-21 12:58:13;20,3;69,9;;
19;2022-05-21 13:03:13;20,3;69,9;;
20;2022-05-21 13:08:13;20,4;70,3;;
21;2022-05-21 13:13:13;20,5;69,9;;
22;2022-05-21 13:18:13;20,7;69,9;;
23;2022-05-21 13:23:13;20,8;69,9;;
24;2022-05-21 13:28:13;20,8;70,4;;
25;2022-05-21 13:33:13;20,9;70,4;;
26;2022-05-21 13:38:13;20,9;70;;
27;2022-05-21 13:43:13;21;70;;
28;2022-05-21 13:48:13;21,1;70;;
29;2022-05-21 13:53:13;21,2;70;;
30;2022-05-21 13:58:13;21,2;69,1;;
31;2022-05-21 14:03:13;21,2;70;;
32;2022-05-21 14:08:13;21,3;70,5;;
33;2022-05-21 14:13:13;21,2;70,5;;
34;2022-05-21 14:18:13;21,2;70;;
35;2022-05-21 14:23:13;21,2;70,9;;
36;2022-05-21 14:28:13;21,2;71,3;;
37;2022-05-21 14:33:13;21,2;70,5;;
38;2022-05-21 14:38:13;21,2;70,4;;
39;2022-05-21 14:43:13;21,1;70;;
40;2022-05-21 14:48:13;21,1;69,6;;
41;2022-05-21 14:53:13;21,2;70;;
42;2022-05-21 14:58:13;21,2;69,6;;
43;2022-05-21 15:03:13;21,2;69,6;;
44;2022-05-21 15:08:13;21,2;69,6;;
45;2022-05-21 15:13:13;21,2;69,6;;
46;2022-05-21 15:18:13;21,2;69,1;;
47;2022-05-21 15:23:13;21,1;69,6;;
