RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V476;;
Number;V476;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;3655;;
Temperature Maximum;25,1°C;;
Temperature Minimum;12,6°C;;
Temperature Average;17,1°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;99,9%RH;;
Humidity Minimum;3%RH;;
Humidity Average;58,5%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;16/5/2022 08:59;;
End Time;29/5/2022 01:29;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-05-16 08:59:02;18,8;54,6
2;2022-05-16 09:04:02;18,8;54,6
3;2022-05-16 09:09:02;18,8;54,6
4;2022-05-16 09:14:02;18,8;54,6
5;2022-05-16 09:19:02;18,8;54,6
6;2022-05-16 09:24:02;18,9;54,6
7;2022-05-16 09:29:02;18,9;54,6
8;2022-05-16 09:34:02;18,9;54,6
9;2022-05-16 09:39:02;18,9;54,6
10;2022-05-16 09:44:02;18,9;54,6
11;2022-05-16 09:49:02;18,8;49,1
12;2022-05-16 09:54:02;19,2;50,7
13;2022-05-16 09:59:02;19,2;49,7
14;2022-05-16 10:04:02;19,2;49,2
15;2022-05-16 10:09:02;19,2;48,6
16;2022-05-16 10:14:02;19,1;47,6
17;2022-05-16 10:19:02;19;47,6
18;2022-05-16 10:24:02;18,9;50,1
19;2022-05-16 10:29:02;18,8;48,1
20;2022-05-16 10:34:02;18,7;49,6
21;2022-05-16 10:39:02;18,1;46,5
22;2022-05-16 10:44:02;17,3;46,9
23;2022-05-16 10:49:02;17,2;47,9
24;2022-05-16 10:54:02;17,3;49,4
25;2022-05-16 10:59:02;18,5;50,1
26;2022-05-16 11:04:02;19,4;49,2
27;2022-05-16 11:09:02;19,3;46,6
28;2022-05-16 11:14:02;18,6;46,5
29;2022-05-16 11:19:02;18,2;47,5
30;2022-05-16 11:24:02;18,3;48
31;2022-05-16 11:29:02;18,8;49,6
32;2022-05-16 11:34:02;19,3;47,6
33;2022-05-16 11:39:02;18,2;47,5
34;2022-05-16 11:44:02;18,5;49,6
35;2022-05-16 11:49:02;19;49,1
36;2022-05-16 11:54:02;19,2;48,1
37;2022-05-16 11:59:02;19;49,1
38;2022-05-16 12:04:02;19;49,1
39;2022-05-16 12:09:02;19,1;49,6
40;2022-05-16 12:14:02;20,4;49,8
41;2022-05-16 12:19:02;19,8;47,2
42;2022-05-16 12:24:02;19,6;47,7
43;2022-05-16 12:29:02;19,5;47,6
44;2022-05-16 12:34:02;19,5;48,2
45;2022-05-16 12:39:02;19,5;47,7
46;2022-05-16 12:44:02;19,5;47,6
47;2022-05-16 12:49:02;19,4;48,2
48;2022-05-16 12:54:02;19,6;48,7
49;2022-05-16 12:59:02;19,8;48,2
50;2022-05-16 13:04:02;20;47,7
51;2022-05-16 13:09:02;20;47,7
52;2022-05-16 13:14:02;20,2;47,7
53;2022-05-16 13:19:02;20;47,2
54;2022-05-16 13:24:02;19,9;47,7
55;2022-05-16 13:29:02;20;47,7
56;2022-05-16 13:34:02;20,1;48,2
57;2022-05-16 13:39:02;20,2;48,2
58;2022-05-16 13:44:02;20,1;46,7
59;2022-05-16 13:49:02;19,8;47,2
60;2022-05-16 13:54:02;19,7;47,7
61;2022-05-16 13:59:02;19,7;47,7
62;2022-05-16 14:04:02;19,5;47,6
63;2022-05-16 14:09:02;19,4;47,6
64;2022-05-16 14:14:02;20,4;48,2
65;2022-05-16 14:19:02;20,4;46,7
66;2022-05-16 14:24:02;20,7;48,8
67;2022-05-16 14:29:02;20,9;48,8
68;2022-05-16 14:34:02;21;48,4
69;2022-05-16 14:39:02;21,2;48,9
70;2022-05-16 14:44:02;21,4;48,9
71;2022-05-16 14:49:02;21,5;47,9
72;2022-05-16 14:54:02;21,7;49
73;2022-05-16 14:59:02;22,2;46,5
74;2022-05-16 15:04:02;20,8;46,8
75;2022-05-16 15:09:02;20,1;47,7
76;2022-05-16 15:14:02;19,6;48,7
77;2022-05-16 15:19:02;19,4;49,2
78;2022-05-16 15:24:02;19,2;49,7
79;2022-05-16 15:29:02;19,2;49,7
80;2022-05-16 15:34:02;19,2;50,2
81;2022-05-16 15:39:02;19,2;50,2
82;2022-05-16 15:44:02;19,1;50,2
83;2022-05-16 15:49:02;19,1;50,2
84;2022-05-16 15:54:02;19,1;50,2
85;2022-05-16 15:59:02;19,1;50,2
86;2022-05-16 16:04:02;19,1;50,7
87;2022-05-16 16:09:02;19,1;50,7
88;2022-05-16 16:14:02;19,1;50,2
89;2022-05-16 16:19:02;19,1;50,7
90;2022-05-16 16:24:02;19;50,7
91;2022-05-16 16:29:02;19;50,7
92;2022-05-16 16:34:02;19;50,6
93;2022-05-16 16:39:02;19;50,6
94;2022-05-16 16:44:02;18,9;50,6
95;2022-05-16 16:49:02;18,9;50,6
96;2022-05-16 16:54:02;18,9;50,6
97;2022-05-16 16:59:02;18,9;50,6
98;2022-05-16 17:04:02;18,8;51,1
99;2022-05-16 17:09:02;18,8;51,1
100;2022-05-16 17:14:02;18,7;51,1
101;2022-05-16 17:19:02;18,7;51,1
102;2022-05-16 17:24:02;18,6;51,1
103;2022-05-16 17:29:02;18,6;51,6
104;2022-05-16 17:34:02;18,5;51,6
105;2022-05-16 17:39:02;18,4;51,6
106;2022-05-16 17:44:02;18,3;51,6
107;2022-05-16 17:49:02;18,2;51,5
108;2022-05-16 17:54:02;18,1;52
109;2022-05-16 17:59:02;18;52
110;2022-05-16 18:04:02;18;52,5
111;2022-05-16 18:09:02;17,9;52,5
112;2022-05-16 18:14:02;17,8;52,5
113;2022-05-16 18:19:02;17,7;52,5
114;2022-05-16 18:24:02;17,6;53
115;2022-05-16 18:29:02;17,5;52,9
116;2022-05-16 18:34:02;17,4;53,4
117;2022-05-16 18:39:02;17,3;53,4
118;2022-05-16 18:44:02;17,3;53,4
119;2022-05-16 18:49:02;17,2;53,4
120;2022-05-16 18:54:02;17,1;53,9
121;2022-05-16 18:59:02;17,1;53,9
