Informe de datos;;;;;
Archivo creado el:2022-05-28 18:35:55;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:34:11
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V754;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2101;;MKT;19,9;
Primera lectura;2022-05-21 11:34:11;;Última lectura;2022-05-28 18:34:11;
Máximo(Temperatura);25,9°C;;Mínimo(Temperatura);17,1°C;
Promedio(Temperatura);19,8°C;;Tiempo de grabación;7D 7H 0M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);80,3%;;Mínimo(Humedad);59,0%;
Promedio(Humedad);72,1%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:34:11;23,6;60,3;;
2;2022-05-21 11:39:11;22,7;63;;
3;2022-05-21 11:44:11;22;64,8;;
4;2022-05-21 11:49:11;21,3;65,6;;
5;2022-05-21 11:54:11;22;63,8;;
6;2022-05-21 11:59:11;21,2;64,6;;
7;2022-05-21 12:04:11;20,9;65,5;;
8;2022-05-21 12:09:11;20,6;66,4;;
9;2022-05-21 12:14:11;20,5;66,8;;
10;2022-05-21 12:19:11;20,4;67,3;;
11;2022-05-21 12:24:11;20,4;67,7;;
12;2022-05-21 12:29:11;20,5;67,7;;
13;2022-05-21 12:34:11;20,5;68,2;;
14;2022-05-21 12:39:11;20,6;69,1;;
15;2022-05-21 12:44:11;20,5;69,5;;
16;2022-05-21 12:49:11;20,5;69,5;;
17;2022-05-21 12:54:11;20,5;69,5;;
18;2022-05-21 12:59:11;20,5;69,5;;
19;2022-05-21 13:04:11;20,6;69,5;;
20;2022-05-21 13:09:11;20,8;70;;
21;2022-05-21 13:14:11;20,9;69,1;;
22;2022-05-21 13:19:11;20,9;69,1;;
23;2022-05-21 13:24:11;21;69,6;;
24;2022-05-21 13:29:11;21,1;69,6;;
25;2022-05-21 13:34:11;21,2;70,1;;
26;2022-05-21 13:39:11;21,3;69,7;;
27;2022-05-21 13:44:11;21,3;69,7;;
28;2022-05-21 13:49:11;21,4;69,2;;
29;2022-05-21 13:54:11;21,4;69,7;;
30;2022-05-21 13:59:11;21,4;69,7;;
31;2022-05-21 14:04:11;21,4;69,7;;
32;2022-05-21 14:09:11;21,5;70,1;;
33;2022-05-21 14:14:11;21,5;70,1;;
34;2022-05-21 14:19:11;21,5;69,7;;
35;2022-05-21 14:24:11;21,5;70,1;;
36;2022-05-21 14:29:11;21,5;71;;
37;2022-05-21 14:34:11;21,4;70,1;;
38;2022-05-21 14:39:11;21,4;70,1;;
39;2022-05-21 14:44:11;21,3;69,7;;
40;2022-05-21 14:49:11;21,3;69,7;;
41;2022-05-21 14:54:11;21,4;69,7;;
42;2022-05-21 14:59:11;21,4;69,7;;
43;2022-05-21 15:04:11;21,3;69,7;;
44;2022-05-21 15:09:11;21,3;69,2;;
45;2022-05-21 15:14:11;21,3;69,2;;
46;2022-05-21 15:19:11;21,3;69,2;;
