Informe de datos;;;;;
Archivo creado el:2022-05-28 18:05:44;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:32:06
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V827;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2061;;MKT;21,4;
Primera lectura;2022-05-21 11:32:06;;Última lectura;2022-05-28 15:12:06;
Máximo(Temperatura);27,8°C;;Mínimo(Temperatura);17,8°C;
Promedio(Temperatura);21,2°C;;Tiempo de grabación;7D 3H 40M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);79,9%;;Mínimo(Humedad);55,3%;
Promedio(Humedad);69,3%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:32:06;24;60,8;;
2;2022-05-21 11:37:06;23,1;63,5;;
3;2022-05-21 11:42:06;22,2;66,1;;
4;2022-05-21 11:47:06;21,7;66,5;;
5;2022-05-21 11:52:06;21,2;67,3;;
6;2022-05-21 11:57:06;20,9;68,2;;
7;2022-05-21 12:02:06;20,7;68,6;;
8;2022-05-21 12:07:06;20,5;69,4;;
9;2022-05-21 12:12:06;20,4;69,9;;
10;2022-05-21 12:17:06;25;75,8;;
11;2022-05-21 12:22:06;27,8;79,9;;
12;2022-05-21 12:27:06;25,8;62,5;;
13;2022-05-21 12:32:06;24,3;62,7;;
14;2022-05-21 12:37:06;23,5;64,5;;
15;2022-05-21 12:42:06;23,1;65,3;;
16;2022-05-21 12:47:06;22,9;65,7;;
17;2022-05-21 12:52:06;22,7;66,6;;
18;2022-05-21 12:57:06;22,5;67,1;;
19;2022-05-21 13:02:06;22,4;67,1;;
20;2022-05-21 13:07:06;22,5;67,5;;
21;2022-05-21 13:12:06;22,6;66,6;;
22;2022-05-21 13:17:06;22,6;66,6;;
23;2022-05-21 13:22:06;22,7;67,1;;
24;2022-05-21 13:27:06;22,9;67,1;;
25;2022-05-21 13:32:06;22,9;67,1;;
26;2022-05-21 13:37:06;23;67,2;;
27;2022-05-21 13:42:06;23,1;66,7;;
28;2022-05-21 13:47:06;23,2;66,3;;
29;2022-05-21 13:52:06;23,2;66,3;;
30;2022-05-21 13:57:06;23,1;66,7;;
31;2022-05-21 14:02:06;23,1;67,2;;
32;2022-05-21 14:07:06;23;67,2;;
33;2022-05-21 14:12:06;23;67,6;;
34;2022-05-21 14:17:06;23;67,1;;
35;2022-05-21 14:22:06;22,9;67,6;;
36;2022-05-21 14:27:06;22,9;68,5;;
37;2022-05-21 14:32:06;22,8;68,5;;
38;2022-05-21 14:37:06;22,7;68;;
39;2022-05-21 14:42:06;22,6;68;;
40;2022-05-21 14:47:06;22,6;68;;
41;2022-05-21 14:52:06;22,5;67,5;;
42;2022-05-21 14:57:06;22,4;68;;
43;2022-05-21 15:02:06;22,4;68;;
44;2022-05-21 15:07:06;22,3;67,9;;
45;2022-05-21 15:12:06;22,3;67,9;;
46;2022-05-21 15:17:06;22,3;67,9;;
47;2022-05-21 15:22:06;22,3;67,9;;
