RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger-V-351;;
Number;7184200193;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2551;;
Temperature Maximum;24,5°C;;
Temperature Minimum;14,5°C;;
Temperature Average;18°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;62,1%RH;;
Humidity Minimum;38,5%RH;;
Humidity Average;53,8%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-25 15:30:06;;
End Time;2022-05-04 12:00:06;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
126;2022-04-26 01:55:06;21;49,4
127;2022-04-26 02:00:06;21;49,9
128;2022-04-26 02:05:06;21;49,9
129;2022-04-26 02:10:06;21;49,9
130;2022-04-26 02:15:06;21;49,4
131;2022-04-26 02:20:06;21;49,4
132;2022-04-26 02:25:06;21;49,9
133;2022-04-26 02:30:06;21;49,9
134;2022-04-26 02:35:06;21;49,9
135;2022-04-26 02:40:06;21;49,9
136;2022-04-26 02:45:06;21;49,9
137;2022-04-26 02:50:06;21;49,9
138;2022-04-26 02:55:06;21;49,9
139;2022-04-26 03:00:06;21;49,9
140;2022-04-26 03:05:06;21;49,9
141;2022-04-26 03:10:06;21;49,9
142;2022-04-26 03:15:06;21;49,9
143;2022-04-26 03:20:06;21;49,9
144;2022-04-26 03:25:06;21;49,9
145;2022-04-26 03:30:06;21;49,9
146;2022-04-26 03:35:06;21;49,9
147;2022-04-26 03:40:06;21;49,9
148;2022-04-26 03:45:06;21;49,9
149;2022-04-26 03:50:06;21;49,9
150;2022-04-26 03:55:06;21;49,9
151;2022-04-26 04:00:06;21;49,9
152;2022-04-26 04:05:06;21;49,3
153;2022-04-26 04:10:06;21;49,9
154;2022-04-26 04:15:06;20,9;49,9
155;2022-04-26 04:20:06;20,9;49,9
156;2022-04-26 04:25:06;20,9;49,9
157;2022-04-26 04:30:06;20,9;49,9
158;2022-04-26 04:35:06;20,9;49,9
159;2022-04-26 04:40:06;20,9;49,9
160;2022-04-26 04:45:06;20,9;49,9
161;2022-04-26 04:50:06;20,9;49,9
162;2022-04-26 04:55:06;20,9;49,9
163;2022-04-26 05:00:06;20,9;49,9
164;2022-04-26 05:05:06;20,9;49,9
165;2022-04-26 05:10:06;20,9;49,8
166;2022-04-26 05:15:06;20,9;49,9
167;2022-04-26 05:20:06;20,9;49,8
168;2022-04-26 05:25:06;20,9;49,9
169;2022-04-26 05:30:06;20,9;49,8
170;2022-04-26 05:35:06;20,9;49,8
171;2022-04-26 05:40:06;20,9;49,8
172;2022-04-26 05:45:06;20,9;49,8
173;2022-04-26 05:50:06;20,9;49,8
174;2022-04-26 05:55:06;20,9;49,9
175;2022-04-26 06:00:06;20,9;49,9
176;2022-04-26 06:05:06;20,9;49,8
177;2022-04-26 06:10:06;20,9;49,8
178;2022-04-26 06:15:06;20,9;49,8
179;2022-04-26 06:20:06;20,9;49,8
180;2022-04-26 06:25:06;20,9;49,8
181;2022-04-26 06:30:06;20,9;49,8
182;2022-04-26 06:35:06;20,9;49,8
183;2022-04-26 06:40:06;20,9;49,8
184;2022-04-26 06:45:06;20,9;49,8
185;2022-04-26 06:50:06;20,9;49,8
186;2022-04-26 06:55:06;20,9;49,8
187;2022-04-26 07:00:06;20,9;49,8
188;2022-04-26 07:05:06;20,9;49,8
189;2022-04-26 07:10:06;20,9;49,8
190;2022-04-26 07:15:06;20,9;49,8
191;2022-04-26 07:20:06;20,9;49,8
192;2022-04-26 07:25:06;20,9;49,8
193;2022-04-26 07:30:06;20,9;49,8
194;2022-04-26 07:35:06;20,9;49,8
195;2022-04-26 07:40:06;20,9;49,8
196;2022-04-26 07:45:06;20,9;49,8
197;2022-04-26 07:50:06;20,9;49,8
198;2022-04-26 07:55:06;20,9;49,8
199;2022-04-26 08:00:06;20,9;49,8
200;2022-04-26 08:05:06;20,9;49,8
201;2022-04-26 08:10:06;20,9;49,8
202;2022-04-26 08:15:06;20,8;49,8
203;2022-04-26 08:20:06;20,9;49,8
204;2022-04-26 08:25:06;20,9;50,8
205;2022-04-26 08:30:06;20,9;50,3
206;2022-04-26 08:35:06;20,9;50,9
207;2022-04-26 08:40:06;20,8;51,9
208;2022-04-26 08:45:06;20,8;52,9
209;2022-04-26 08:50:06;20,7;52,9
210;2022-04-26 08:55:06;20,7;52,9
211;2022-04-26 09:00:06;20,6;52,9
212;2022-04-26 09:05:06;20,1;53,3
213;2022-04-26 09:10:06;19,6;54,2
214;2022-04-26 09:15:06;19,3;54,6
215;2022-04-26 09:20:06;19,1;55,1
216;2022-04-26 09:25:06;18,9;55,6
217;2022-04-26 09:30:06;18,8;56
218;2022-04-26 09:35:06;18,8;56
219;2022-04-26 09:40:06;19,5;59,5
220;2022-04-26 09:45:06;22;59,7
221;2022-04-26 09:50:06;23,1;57,5
222;2022-04-26 09:55:06;23,6;55,6
223;2022-04-26 10:00:06;24,1;54,7
224;2022-04-26 10:05:06;24,5;54,2
225;2022-04-26 10:10:06;24,5;52,2
226;2022-04-26 10:15:06;23,1;50,1
227;2022-04-26 10:20:06;21,4;50,9
228;2022-04-26 10:25:06;20,3;52,8
229;2022-04-26 10:30:06;19,8;53,7
230;2022-04-26 10:35:06;19,6;54,7
231;2022-04-26 10:40:06;19,6;54,7
232;2022-04-26 10:45:06;19,5;55,2
233;2022-04-26 10:50:06;19,5;55,2
234;2022-04-26 10:55:06;19,5;54,7
235;2022-04-26 11:00:06;19,5;54,7
236;2022-04-26 11:05:06;19,5;54,7
237;2022-04-26 11:10:06;19,4;54,6
238;2022-04-26 11:15:06;19,4;54,6
239;2022-04-26 11:20:06;19,4;54,6
240;2022-04-26 11:25:06;19,4;54,6
241;2022-04-26 11:30:06;19,4;54,6
242;2022-04-26 11:35:06;19,4;54,2
243;2022-04-26 11:40:06;19,4;53,7
244;2022-04-26 11:45:06;19,5;53,7
245;2022-04-26 11:50:06;19,6;53,2
246;2022-04-26 11:55:06;19,8;53,2
247;2022-04-26 12:00:06;19,9;52,7
248;2022-04-26 12:05:06;20;52,8
249;2022-04-26 12:10:06;20,2;52,8
250;2022-04-26 12:15:06;20,3;52,8
251;2022-04-26 12:20:06;20,4;52,3
252;2022-04-26 12:25:06;20,5;51,8
253;2022-04-26 12:30:06;20,6;51,8
254;2022-04-26 12:35:06;20,5;51,3
255;2022-04-26 12:40:06;20,4;51,3
256;2022-04-26 12:45:06;20,4;51,3
257;2022-04-26 12:50:06;20,3;51,3
258;2022-04-26 12:55:06;20,3;51,8
259;2022-04-26 13:00:06;20,2;51,8
260;2022-04-26 13:05:06;20,2;52,3
261;2022-04-26 13:10:06;20,1;52,3
262;2022-04-26 13:15:06;20,1;52,3
263;2022-04-26 13:20:06;20,1;52,3
264;2022-04-26 13:25:06;20;52,3
265;2022-04-26 13:30:06;20;51,8
266;2022-04-26 13:35:06;20;51,8
267;2022-04-26 13:40:06;20;51,8
268;2022-04-26 13:45:06;20;51,7
269;2022-04-26 13:50:06;20;51,7
270;2022-04-26 13:55:06;20;51,8
271;2022-04-26 14:00:06;20;51,8
272;2022-04-26 14:05:06;20;51,8
273;2022-04-26 14:10:06;20;51,8
274;2022-04-26 14:15:06;20;51,2
275;2022-04-26 14:20:06;19,9;51,2
276;2022-04-26 14:25:06;19,9;51,2
277;2022-04-26 14:30:06;19,9;51,2
278;2022-04-26 14:35:06;19,9;50,7
279;2022-04-26 14:40:06;19,9;51,2
280;2022-04-26 14:45:06;19,9;51,2
281;2022-04-26 14:50:06;19,9;51,7
282;2022-04-26 14:55:06;19,9;51,7
283;2022-04-26 15:00:06;19,9;51,7
284;2022-04-26 15:05:06;19,9;51,7
285;2022-04-26 15:10:06;19,9;51,7
286;2022-04-26 15:15:06;19,9;51,2
287;2022-04-26 15:20:06;19,9;51,2
288;2022-04-26 15:25:06;19,9;50,7
289;2022-04-26 15:30:06;19,9;51,2
