RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger-V-351;;
Number;7184200193;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2551;;
Temperature Maximum;24,5°C;;
Temperature Minimum;14,5°C;;
Temperature Average;18°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;62,1%RH;;
Humidity Minimum;38,5%RH;;
Humidity Average;53,8%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-25 15:30:06;;
End Time;2022-05-04 12:00:06;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
554;2022-04-27 13:35:06;18,3;60,3
555;2022-04-27 13:40:06;18,3;60,3
556;2022-04-27 13:45:06;18,3;60,3
557;2022-04-27 13:50:06;18,3;60,3
558;2022-04-27 13:55:06;18,3;60,3
559;2022-04-27 14:00:06;18,3;60,3
560;2022-04-27 14:05:06;18,3;60,3
561;2022-04-27 14:10:06;18,3;60,3
562;2022-04-27 14:15:06;18,3;60,3
563;2022-04-27 14:20:06;18,3;60,3
564;2022-04-27 14:25:06;18,3;60,3
565;2022-04-27 14:30:06;18,4;60,3
566;2022-04-27 14:35:06;18,4;60,3
567;2022-04-27 14:40:06;18,4;60,3
568;2022-04-27 14:45:06;18,4;60,3
569;2022-04-27 14:50:06;18,4;60,3
570;2022-04-27 14:55:06;18,5;60,3
571;2022-04-27 15:00:06;18,5;60,3
572;2022-04-27 15:05:06;18,5;60,3
573;2022-04-27 15:10:06;18,5;60,3
574;2022-04-27 15:15:06;18,5;59,8
575;2022-04-27 15:20:06;18,5;59,8
576;2022-04-27 15:25:06;18,5;59,8
577;2022-04-27 15:30:06;18,5;59,8
578;2022-04-27 15:35:06;18,4;59,4
579;2022-04-27 15:40:06;18,4;59,4
580;2022-04-27 15:45:06;18,4;59,3
581;2022-04-27 15:50:06;18,3;59,3
582;2022-04-27 15:55:06;18,3;59,3
583;2022-04-27 16:00:06;18,3;59,3
584;2022-04-27 16:05:06;18,3;59,3
585;2022-04-27 16:10:06;18,2;58,9
586;2022-04-27 16:15:06;18,2;58,9
587;2022-04-27 16:20:06;18,2;58,8
588;2022-04-27 16:25:06;18,2;58,4
589;2022-04-27 16:30:06;18,1;58,4
590;2022-04-27 16:35:06;18,1;58,4
591;2022-04-27 16:40:06;18,1;58,4
592;2022-04-27 16:45:06;18,1;58,3
593;2022-04-27 16:50:06;18;58,3
594;2022-04-27 16:55:06;18;58,3
595;2022-04-27 17:00:06;18;58,8
596;2022-04-27 17:05:06;18;58,8
597;2022-04-27 17:10:06;18;58,8
598;2022-04-27 17:15:06;18;58,8
599;2022-04-27 17:20:06;18;58,8
600;2022-04-27 17:25:06;18;58,8
601;2022-04-27 17:30:06;17,9;58,8
602;2022-04-27 17:35:06;17,9;58,8
603;2022-04-27 17:40:06;17,9;58,8
604;2022-04-27 17:45:06;17,9;58,8
605;2022-04-27 17:50:06;17,8;58,8
606;2022-04-27 17:55:06;17,8;58,8
607;2022-04-27 18:00:06;17,8;58,8
608;2022-04-27 18:05:06;17,8;58,8
609;2022-04-27 18:10:06;17,7;58,8
610;2022-04-27 18:15:06;17,7;58,8
611;2022-04-27 18:20:06;17,6;58,8
612;2022-04-27 18:25:06;17,6;59,2
613;2022-04-27 18:30:06;17,5;59,2
614;2022-04-27 18:35:06;17,5;59,2
615;2022-04-27 18:40:06;17,4;59,2
616;2022-04-27 18:45:06;17,4;59,2
617;2022-04-27 18:50:06;17,4;59,2
618;2022-04-27 18:55:06;17,4;59,2
619;2022-04-27 19:00:06;17,4;59,2
620;2022-04-27 19:05:06;17,4;59,2
621;2022-04-27 19:10:06;17,3;59,2
622;2022-04-27 19:15:06;17,3;59,2
623;2022-04-27 19:20:06;17,3;59,2
624;2022-04-27 19:25:06;17,3;59,7
625;2022-04-27 19:30:06;17,3;59,7
626;2022-04-27 19:35:06;17,3;59,7
627;2022-04-27 19:40:06;17,3;59,2
628;2022-04-27 19:45:06;17,2;59,7
629;2022-04-27 19:50:06;17,3;59,7
630;2022-04-27 19:55:06;17,2;59,7
631;2022-04-27 20:00:06;17,2;59,2
632;2022-04-27 20:05:06;17,2;59,7
633;2022-04-27 20:10:06;17,2;59,7
634;2022-04-27 20:15:06;17,2;59,7
635;2022-04-27 20:20:06;17,2;59,2
636;2022-04-27 20:25:06;17,3;59,2
637;2022-04-27 20:30:06;17,3;59,2
638;2022-04-27 20:35:06;17,3;59,2
639;2022-04-27 20:40:06;17,2;59,2
640;2022-04-27 20:45:06;17,2;59,2
641;2022-04-27 20:50:06;17,2;59,2
642;2022-04-27 20:55:06;17,2;59,2
643;2022-04-27 21:00:06;17,2;59,2
644;2022-04-27 21:05:06;17,2;59,2
645;2022-04-27 21:10:06;17,2;59,2
646;2022-04-27 21:15:06;17,2;59,6
647;2022-04-27 21:20:06;17,2;59,2
648;2022-04-27 21:25:06;17,2;59,6
649;2022-04-27 21:30:06;17,1;59,6
650;2022-04-27 21:35:06;17,1;59,6
651;2022-04-27 21:40:06;17,1;59,6
652;2022-04-27 21:45:06;17;59,6
653;2022-04-27 21:50:06;17;59,6
654;2022-04-27 21:55:06;16,9;59,6
655;2022-04-27 22:00:06;16,9;59,6
656;2022-04-27 22:05:06;16,8;59,6
657;2022-04-27 22:10:06;16,8;60,1
658;2022-04-27 22:15:06;16,7;60
659;2022-04-27 22:20:06;16,7;60
660;2022-04-27 22:25:06;16,7;60
661;2022-04-27 22:30:06;16,6;60
662;2022-04-27 22:35:06;16,5;60
663;2022-04-27 22:40:06;16,5;60
664;2022-04-27 22:45:06;16,5;60
665;2022-04-27 22:50:06;16,4;60,5
666;2022-04-27 22:55:06;16,4;60,5
667;2022-04-27 23:00:06;16,3;60,5
668;2022-04-27 23:05:06;16,3;60,5
669;2022-04-27 23:10:06;16,3;60,5
670;2022-04-27 23:15:06;16,2;60,5
671;2022-04-27 23:20:06;16,2;60,4
672;2022-04-27 23:25:06;16,2;60,4
673;2022-04-27 23:30:06;16,2;60,4
674;2022-04-27 23:35:06;16,2;60,4
675;2022-04-27 23:40:06;16,2;60,4
676;2022-04-27 23:45:06;16,2;60,4
677;2022-04-27 23:50:06;16,1;60,4
678;2022-04-27 23:55:06;16,1;60,4
679;2022-04-28 00:00:06;16,1;60,4
680;2022-04-28 00:05:06;16,1;60,4
681;2022-04-28 00:10:06;16,1;60,4
682;2022-04-28 00:15:06;16;60,4
683;2022-04-28 00:20:06;16;60,4
684;2022-04-28 00:25:06;16;60,4
685;2022-04-28 00:30:06;16;60,9
686;2022-04-28 00:35:06;16;60,4
687;2022-04-28 00:40:06;16;60,4
688;2022-04-28 00:45:06;16;60,4
689;2022-04-28 00:50:06;16;60,4
690;2022-04-28 00:55:06;15,9;60,4
691;2022-04-28 01:00:06;15,9;60,9
692;2022-04-28 01:05:06;15,9;60,9
693;2022-04-28 01:10:06;15,9;60,9
694;2022-04-28 01:15:06;15,8;60,8
695;2022-04-28 01:20:06;15,8;60,8
696;2022-04-28 01:25:06;15,7;60,8
697;2022-04-28 01:30:06;15,7;60,8
698;2022-04-28 01:35:06;15,7;60,8
699;2022-04-28 01:40:06;15,7;60,8
700;2022-04-28 01:45:06;15,6;60,8
701;2022-04-28 01:50:06;15,6;60,8
702;2022-04-28 01:55:06;15,6;60,8
703;2022-04-28 02:00:06;15,5;60,8
704;2022-04-28 02:05:06;15,5;60,8
705;2022-04-28 02:10:06;15,5;60,8
706;2022-04-28 02:15:06;15,5;60,8
707;2022-04-28 02:20:06;15,5;60,8
708;2022-04-28 02:25:06;15,5;60,8
709;2022-04-28 02:30:06;15,4;60,8
710;2022-04-28 02:35:06;15,4;60,8
711;2022-04-28 02:40:06;15,4;60,8
712;2022-04-28 02:45:06;15,4;60,8
713;2022-04-28 02:50:06;15,4;60,8
714;2022-04-28 02:55:06;15,4;60,8
715;2022-04-28 03:00:06;15,4;60,8
716;2022-04-28 03:05:06;15,3;60,8
717;2022-04-28 03:10:06;15,3;60,8
718;2022-04-28 03:15:06;15,3;60,8
719;2022-04-28 03:20:06;15,3;60,8
720;2022-04-28 03:25:06;15,2;60,8
721;2022-04-28 03:30:06;15,2;60,7
722;2022-04-28 03:35:06;15,2;60,7
723;2022-04-28 03:40:06;15,2;60,7
724;2022-04-28 03:45:06;15,2;60,7
725;2022-04-28 03:50:06;15,1;60,7
726;2022-04-28 03:55:06;15,1;60,7
727;2022-04-28 04:00:06;15,1;60,7
728;2022-04-28 04:05:06;15;60,7
729;2022-04-28 04:10:06;15;60,7
730;2022-04-28 04:15:06;15;60,7
731;2022-04-28 04:20:06;14,9;60,7
732;2022-04-28 04:25:06;14,9;60,7
733;2022-04-28 04:30:06;14,9;60,7
734;2022-04-28 04:35:06;14,9;60,7
735;2022-04-28 04:40:06;14,8;60,7
736;2022-04-28 04:45:06;14,8;60,7
737;2022-04-28 04:50:06;14,8;60,7
738;2022-04-28 04:55:06;14,8;60,7
739;2022-04-28 05:00:06;14,7;60,7
740;2022-04-28 05:05:06;14,7;60,7
741;2022-04-28 05:10:06;14,7;60,7
742;2022-04-28 05:15:06;14,7;60,7
743;2022-04-28 05:20:06;14,7;60,7
744;2022-04-28 05:25:06;14,7;60,7
745;2022-04-28 05:30:06;14,7;60,7
746;2022-04-28 05:35:06;14,7;60,7
747;2022-04-28 05:40:06;14,7;60,7
748;2022-04-28 05:45:06;14,7;60,7
749;2022-04-28 05:50:06;14,7;60,7
750;2022-04-28 05:55:06;14,7;60,7
751;2022-04-28 06:00:06;14,7;60,7
752;2022-04-28 06:05:06;14,7;60,7
753;2022-04-28 06:10:06;14,7;60,7
754;2022-04-28 06:15:06;14,7;60,7
755;2022-04-28 06:20:06;14,7;60,7
756;2022-04-28 06:25:06;14,7;60,7
757;2022-04-28 06:30:06;14,7;60,7
758;2022-04-28 06:35:06;14,7;60,7
759;2022-04-28 06:40:06;14,7;60,7
760;2022-04-28 06:45:06;14,6;60,7
761;2022-04-28 06:50:06;14,6;60,7
762;2022-04-28 06:55:06;14,6;60,7
763;2022-04-28 07:00:06;14,6;60,7
764;2022-04-28 07:05:06;14,6;60,7
765;2022-04-28 07:10:06;14,6;60,6
766;2022-04-28 07:15:06;14,5;60,6
767;2022-04-28 07:20:06;14,5;60,6
768;2022-04-28 07:25:06;14,5;60,6
769;2022-04-28 07:30:06;14,5;60,6
770;2022-04-28 07:35:06;14,5;60,6
771;2022-04-28 07:40:06;14,5;60,6
772;2022-04-28 07:45:06;14,5;60,6
773;2022-04-28 07:50:06;14,5;60,6
774;2022-04-28 07:55:06;14,5;60,6
775;2022-04-28 08:00:06;14,5;60,6
776;2022-04-28 08:05:06;14,5;60,6
777;2022-04-28 08:10:06;14,6;60,2
778;2022-04-28 08:15:06;14,6;60,2
779;2022-04-28 08:20:06;14,7;60,2
780;2022-04-28 08:25:06;14,7;60,2
781;2022-04-28 08:30:06;14,7;60,2
782;2022-04-28 08:35:06;14,8;59,7
783;2022-04-28 08:40:06;14,9;59,8
784;2022-04-28 08:45:06;14,9;59,8
785;2022-04-28 08:50:06;15;59,8
786;2022-04-28 08:55:06;15;59,8
787;2022-04-28 09:00:06;15,1;59,8
788;2022-04-28 09:05:06;15,1;59,8
789;2022-04-28 09:10:06;15,2;59,8
790;2022-04-28 09:15:06;15,2;59,8
791;2022-04-28 09:20:06;15,3;59,8
792;2022-04-28 09:25:06;15,4;59,8
793;2022-04-28 09:30:06;15,4;59,8
794;2022-04-28 09:35:06;15,5;59,8
795;2022-04-28 09:40:06;15,5;59,4
796;2022-04-28 09:45:06;15,6;59,4
797;2022-04-28 09:50:06;15,7;59,4
798;2022-04-28 09:55:06;15,8;59,4
799;2022-04-28 10:00:06;15,8;59,4
800;2022-04-28 10:05:06;15,9;59,4
801;2022-04-28 10:10:06;16;59,5
802;2022-04-28 10:15:06;16,1;59,5
803;2022-04-28 10:20:06;16,2;59
804;2022-04-28 10:25:06;16,3;59
805;2022-04-28 10:30:06;16,4;59
806;2022-04-28 10:35:06;16,5;59,1
807;2022-04-28 10:40:06;16,6;59,1
808;2022-04-28 10:45:06;16,7;58,6
809;2022-04-28 10:50:06;16,8;58,6
810;2022-04-28 10:55:06;16,9;58,6
811;2022-04-28 11:00:06;17;58,2
812;2022-04-28 11:05:06;17,1;58,2
813;2022-04-28 11:10:06;17,2;58,2
814;2022-04-28 11:15:06;17,3;58,2
815;2022-04-28 11:20:06;17,4;57,8
816;2022-04-28 11:25:06;17,4;57,8
817;2022-04-28 11:30:06;17,5;57,8
818;2022-04-28 11:35:06;17,6;57,8
819;2022-04-28 11:40:06;17,6;57,3
820;2022-04-28 11:45:06;17,7;57,3
821;2022-04-28 11:50:06;17,8;57,3
822;2022-04-28 11:55:06;17,9;57,4
823;2022-04-28 12:00:06;18;56,9
824;2022-04-28 12:05:06;18;57,4
825;2022-04-28 12:10:06;18,1;56,9
826;2022-04-28 12:15:06;18,2;56,9
827;2022-04-28 12:20:06;18,3;56,4
828;2022-04-28 12:25:06;18,4;56,5
829;2022-04-28 12:30:06;18,5;56,5
830;2022-04-28 12:35:06;18,5;56,5
831;2022-04-28 12:40:06;18,6;56,5
832;2022-04-28 12:45:06;18,7;56,5
833;2022-04-28 12:50:06;18,7;56
834;2022-04-28 12:55:06;18,8;56
835;2022-04-28 13:00:06;18,9;56
836;2022-04-28 13:05:06;19;55,6
837;2022-04-28 13:10:06;19;55,6
838;2022-04-28 13:15:06;19,1;55,6
839;2022-04-28 13:20:06;19,2;55,1
840;2022-04-28 13:25:06;19,2;55,1
841;2022-04-28 13:30:06;19,3;55,1
842;2022-04-28 13:35:06;19,3;54,6
843;2022-04-28 13:40:06;19,4;54,6
844;2022-04-28 13:45:06;19,5;54,7
845;2022-04-28 13:50:06;19,6;54,7
846;2022-04-28 13:55:06;19,7;54,7
847;2022-04-28 14:00:06;19,7;54,7
848;2022-04-28 14:05:06;19,8;54,7
849;2022-04-28 14:10:06;19,8;54,7
850;2022-04-28 14:15:06;19,9;54,7
851;2022-04-28 14:20:06;19,9;54,7
852;2022-04-28 14:25:06;20;54,7
853;2022-04-28 14:30:06;20,1;54,3
854;2022-04-28 14:35:06;20,1;54,3
855;2022-04-28 14:40:06;20,2;53,8
856;2022-04-28 14:45:06;20,2;53,8
857;2022-04-28 14:50:06;20,3;53,8
858;2022-04-28 14:55:06;20,3;53,8
859;2022-04-28 15:00:06;20,3;53,8
860;2022-04-28 15:05:06;20,3;53,3
861;2022-04-28 15:10:06;20,3;53,3
862;2022-04-28 15:15:06;20,4;53,3
863;2022-04-28 15:20:06;20,4;53,3
864;2022-04-28 15:25:06;20,4;53,3
865;2022-04-28 15:30:06;20,4;53,3
866;2022-04-28 15:35:06;20,4;53,3
867;2022-04-28 15:40:06;20,4;53,3
868;2022-04-28 15:45:06;20,4;53,3
869;2022-04-28 15:50:06;20,4;53,3
870;2022-04-28 15:55:06;20,4;53,3
871;2022-04-28 16:00:06;20,4;53,3
872;2022-04-28 16:05:06;20,4;53,3
873;2022-04-28 16:10:06;20,4;53,8
874;2022-04-28 16:15:06;20,4;53,8
875;2022-04-28 16:20:06;20,4;53,3
876;2022-04-28 16:25:06;20,4;53,8
877;2022-04-28 16:30:06;20,4;53,8
878;2022-04-28 16:35:06;20,3;53,8
879;2022-04-28 16:40:06;20,3;53,8
880;2022-04-28 16:45:06;20,3;53,8
881;2022-04-28 16:50:06;20,3;53,8
882;2022-04-28 16:55:06;20,3;53,8
883;2022-04-28 17:00:06;20,3;53,8
884;2022-04-28 17:05:06;20,2;53,8
885;2022-04-28 17:10:06;20,2;53,8
886;2022-04-28 17:15:06;20,1;53,8
887;2022-04-28 17:20:06;20,1;53,8
888;2022-04-28 17:25:06;20;54,3
889;2022-04-28 17:30:06;20;54,2
890;2022-04-28 17:35:06;19,9;54,2
891;2022-04-28 17:40:06;19,8;54,7
892;2022-04-28 17:45:06;19,8;54,7
893;2022-04-28 17:50:06;19,7;54,7
894;2022-04-28 17:55:06;19,6;54,7
895;2022-04-28 18:00:06;19,5;55,2
896;2022-04-28 18:05:06;19,4;55,2
897;2022-04-28 18:10:06;19,3;55,6
898;2022-04-28 18:15:06;19,2;55,6
899;2022-04-28 18:20:06;19,2;55,6
900;2022-04-28 18:25:06;19,1;55,6
901;2022-04-28 18:30:06;19;56,1
902;2022-04-28 18:35:06;18,9;56,1
903;2022-04-28 18:40:06;18,8;56,5
904;2022-04-28 18:45:06;18,8;56,5
905;2022-04-28 18:50:06;18,7;56,5
906;2022-04-28 18:55:06;18,6;56,5
907;2022-04-28 19:00:06;18,5;57
908;2022-04-28 19:05:06;18,5;57
909;2022-04-28 19:10:06;18,4;57,4
910;2022-04-28 19:15:06;18,3;57,4
911;2022-04-28 19:20:06;18,2;57,4
912;2022-04-28 19:25:06;18,1;57,4
913;2022-04-28 19:30:06;18,1;57,9
914;2022-04-28 19:35:06;18;57,9
915;2022-04-28 19:40:06;18;58,3
916;2022-04-28 19:45:06;18;58,3
917;2022-04-28 19:50:06;17,9;58,3
918;2022-04-28 19:55:06;17,9;58,3
919;2022-04-28 20:00:06;17,9;58,3
920;2022-04-28 20:05:06;17,8;58,3
921;2022-04-28 20:10:06;17,8;58,8
922;2022-04-28 20:15:06;17,7;58,8
923;2022-04-28 20:20:06;17,7;58,8
924;2022-04-28 20:25:06;17,6;58,8
925;2022-04-28 20:30:06;17,6;58,8
926;2022-04-28 20:35:06;17,5;59,2
927;2022-04-28 20:40:06;17,5;59,2
928;2022-04-28 20:45:06;17,4;59,2
929;2022-04-28 20:50:06;17,4;59,2
930;2022-04-28 20:55:06;17,4;59,2
931;2022-04-28 21:00:06;17,3;59,2
932;2022-04-28 21:05:06;17,3;59,2
933;2022-04-28 21:10:06;17,2;59,7
934;2022-04-28 21:15:06;17,2;59,6
935;2022-04-28 21:20:06;17,2;59,6
936;2022-04-28 21:25:06;17,1;59,6
937;2022-04-28 21:30:06;17,1;59,6
938;2022-04-28 21:35:06;17;59,6
939;2022-04-28 21:40:06;17;59,6
940;2022-04-28 21:45:06;17;59,6
941;2022-04-28 21:50:06;17;59,6
942;2022-04-28 21:55:06;16,9;59,6
943;2022-04-28 22:00:06;16,9;59,6
944;2022-04-28 22:05:06;16,9;60,1
945;2022-04-28 22:10:06;16,8;60,1
946;2022-04-28 22:15:06;16,8;60,1
947;2022-04-28 22:20:06;16,8;60,1
948;2022-04-28 22:25:06;16,7;60,1
949;2022-04-28 22:30:06;16,7;60
950;2022-04-28 22:35:06;16,7;60
951;2022-04-28 22:40:06;16,7;60
952;2022-04-28 22:45:06;16,6;60
953;2022-04-28 22:50:06;16,6;60
954;2022-04-28 22:55:06;16,6;60,5
955;2022-04-28 23:00:06;16,5;60,5
956;2022-04-28 23:05:06;16,5;60,5
957;2022-04-28 23:10:06;16,5;60,5
958;2022-04-28 23:15:06;16,5;60,5
959;2022-04-28 23:20:06;16,4;60,5
960;2022-04-28 23:25:06;16,4;60,5
961;2022-04-28 23:30:06;16,4;60,5
962;2022-04-28 23:35:06;16,3;60,5
963;2022-04-28 23:40:06;16,3;60,9
964;2022-04-28 23:45:06;16,3;60,9
965;2022-04-28 23:50:06;16,2;60,9
966;2022-04-28 23:55:06;16,2;60,9
967;2022-04-29 00:00:06;16,2;60,9
968;2022-04-29 00:05:06;16,1;60,9
969;2022-04-29 00:10:06;16,1;60,9
970;2022-04-29 00:15:06;16,1;60,9
971;2022-04-29 00:20:06;16;60,9
972;2022-04-29 00:25:06;16;60,9
973;2022-04-29 00:30:06;16;60,9
974;2022-04-29 00:35:06;16;60,9
975;2022-04-29 00:40:06;16;60,9
976;2022-04-29 00:45:06;16;60,9
977;2022-04-29 00:50:06;16;60,9
978;2022-04-29 00:55:06;16;60,9
979;2022-04-29 01:00:06;16;60,9
980;2022-04-29 01:05:06;15,9;60,9
981;2022-04-29 01:10:06;15,9;60,9
982;2022-04-29 01:15:06;15,9;60,9
983;2022-04-29 01:20:06;15,9;60,9
984;2022-04-29 01:25:06;15,9;60,9
985;2022-04-29 01:30:06;15,9;60,9
986;2022-04-29 01:35:06;15,8;60,9
987;2022-04-29 01:40:06;15,8;60,8
988;2022-04-29 01:45:06;15,8;60,8
989;2022-04-29 01:50:06;15,8;60,8
990;2022-04-29 01:55:06;15,7;60,8
991;2022-04-29 02:00:06;15,7;60,8
992;2022-04-29 02:05:06;15,7;60,8
993;2022-04-29 02:10:06;15,7;60,8
994;2022-04-29 02:15:06;15,7;60,8
995;2022-04-29 02:20:06;15,7;60,8
996;2022-04-29 02:25:06;15,7;60,8
997;2022-04-29 02:30:06;15,7;60,8
998;2022-04-29 02:35:06;15,6;60,8
999;2022-04-29 02:40:06;15,6;60,8
1000;2022-04-29 02:45:06;15,6;60,8
1001;2022-04-29 02:50:06;15,6;60,8
1002;2022-04-29 02:55:06;15,6;60,8
1003;2022-04-29 03:00:06;15,6;60,8
1004;2022-04-29 03:05:06;15,6;60,8
1005;2022-04-29 03:10:06;15,6;60,8
1006;2022-04-29 03:15:06;15,6;60,8
1007;2022-04-29 03:20:06;15,6;60,8
1008;2022-04-29 03:25:06;15,5;61,3
1009;2022-04-29 03:30:06;15,5;61,3
1010;2022-04-29 03:35:06;15,5;61,3
1011;2022-04-29 03:40:06;15,5;61,3
1012;2022-04-29 03:45:06;15,4;61,3
1013;2022-04-29 03:50:06;15,4;61,3
1014;2022-04-29 03:55:06;15,4;61,2
1015;2022-04-29 04:00:06;15,4;61,2
1016;2022-04-29 04:05:06;15,4;61,2
1017;2022-04-29 04:10:06;15,4;61,2
1018;2022-04-29 04:15:06;15,3;61,2
1019;2022-04-29 04:20:06;15,3;61,2
1020;2022-04-29 04:25:06;15,2;61,2
1021;2022-04-29 04:30:06;15,2;61,2
1022;2022-04-29 04:35:06;15,2;61,2
1023;2022-04-29 04:40:06;15,2;61,2
1024;2022-04-29 04:45:06;15,2;61,2
1025;2022-04-29 04:50:06;15,1;61,2
1026;2022-04-29 04:55:06;15,1;61,2
1027;2022-04-29 05:00:06;15,1;61,2
1028;2022-04-29 05:05:06;15,1;61,2
1029;2022-04-29 05:10:06;15;61,2
1030;2022-04-29 05:15:06;15;61,2
1031;2022-04-29 05:20:06;15;61,2
1032;2022-04-29 05:25:06;15;61,2
1033;2022-04-29 05:30:06;14,9;61,2
1034;2022-04-29 05:35:06;14,9;61,2
1035;2022-04-29 05:40:06;14,9;61,2
1036;2022-04-29 05:45:06;14,9;61,2
1037;2022-04-29 05:50:06;14,9;61,2
1038;2022-04-29 05:55:06;14,8;61,2
1039;2022-04-29 06:00:06;14,8;61,2
1040;2022-04-29 06:05:06;14,8;61,2
1041;2022-04-29 06:10:06;14,8;61,2
1042;2022-04-29 06:15:06;14,8;61,2
1043;2022-04-29 06:20:06;14,8;61,2
1044;2022-04-29 06:25:06;14,8;61,2
1045;2022-04-29 06:30:06;14,8;61,2
1046;2022-04-29 06:35:06;14,8;61,2
1047;2022-04-29 06:40:06;14,8;61,2
1048;2022-04-29 06:45:06;14,8;61,2
1049;2022-04-29 06:50:06;14,8;61,2
1050;2022-04-29 06:55:06;14,8;61,2
1051;2022-04-29 07:00:06;14,8;61,2
1052;2022-04-29 07:05:06;14,8;61,2
1053;2022-04-29 07:10:06;14,7;61,2
1054;2022-04-29 07:15:06;14,7;61,2
1055;2022-04-29 07:20:06;14,7;61,1
1056;2022-04-29 07:25:06;14,7;61,1
1057;2022-04-29 07:30:06;14,7;61,1
1058;2022-04-29 07:35:06;14,7;61,1
1059;2022-04-29 07:40:06;14,7;61,1
1060;2022-04-29 07:45:06;14,7;60,7
1061;2022-04-29 07:50:06;14,7;60,7
1062;2022-04-29 07:55:06;14,7;60,7
1063;2022-04-29 08:00:06;14,7;61,1
1064;2022-04-29 08:05:06;14,7;60,7
1065;2022-04-29 08:10:06;14,8;60,7
1066;2022-04-29 08:15:06;14,8;60,7
1067;2022-04-29 08:20:06;14,9;60,7
1068;2022-04-29 08:25:06;15;60,7
1069;2022-04-29 08:30:06;15,1;60,7
1070;2022-04-29 08:35:06;15,3;60,3
1071;2022-04-29 08:40:06;15,4;60,3
1072;2022-04-29 08:45:06;15,4;59,8
1073;2022-04-29 08:50:06;15,5;59,9
1074;2022-04-29 08:55:06;15,7;59,9
1075;2022-04-29 09:00:06;15,8;59,4
1076;2022-04-29 09:05:06;15,9;59,4
1077;2022-04-29 09:10:06;16;59
1078;2022-04-29 09:15:06;16;59
1079;2022-04-29 09:20:06;16,1;59
1080;2022-04-29 09:25:06;16,2;59
1081;2022-04-29 09:30:06;16,3;59
1082;2022-04-29 09:35:06;16,4;58,6
1083;2022-04-29 09:40:06;16,5;58,6
1084;2022-04-29 09:45:06;16,6;58,6
1085;2022-04-29 09:50:06;16,7;58,1
1086;2022-04-29 09:55:06;16,7;58,1
1087;2022-04-29 10:00:06;16,8;58,2
1088;2022-04-29 10:05:06;16,9;57,7
1089;2022-04-29 10:10:06;17;57,7
1090;2022-04-29 10:15:06;17,1;57,7
1091;2022-04-29 10:20:06;17,2;57,7
1092;2022-04-29 10:25:06;17,2;57,3
1093;2022-04-29 10:30:06;17,3;57,3
1094;2022-04-29 10:35:06;17,4;56,8
1095;2022-04-29 10:40:06;17,5;56,8
1096;2022-04-29 10:45:06;17,5;56,8
1097;2022-04-29 10:50:06;17,6;56,8
1098;2022-04-29 10:55:06;17,7;56,8
1099;2022-04-29 11:00:06;17,8;56,9
1100;2022-04-29 11:05:06;17,9;56,9
1101;2022-04-29 11:10:06;18;56,4
1102;2022-04-29 11:15:06;18,1;56,4
1103;2022-04-29 11:20:06;18,2;56,4
1104;2022-04-29 11:25:06;18,3;56
1105;2022-04-29 11:30:06;18,4;56
1106;2022-04-29 11:35:06;18,5;55,5
1107;2022-04-29 11:40:06;18,6;55,5
1108;2022-04-29 11:45:06;18,6;55,5
1109;2022-04-29 11:50:06;18,7;55,5
1110;2022-04-29 11:55:06;18,8;55,1
1111;2022-04-29 12:00:06;18,9;55,1
1112;2022-04-29 12:05:06;19;54,6
1113;2022-04-29 12:10:06;19,1;54,6
1114;2022-04-29 12:15:06;19,2;54,6
1115;2022-04-29 12:20:06;19,3;54,1
1116;2022-04-29 12:25:06;19,4;54,2
1117;2022-04-29 12:30:06;19,5;53,7
1118;2022-04-29 12:35:06;19,6;53,7
1119;2022-04-29 12:40:06;19,7;53,7
1120;2022-04-29 12:45:06;19,8;53,2
1121;2022-04-29 12:50:06;19,9;53,2
1122;2022-04-29 12:55:06;20;53,2
1123;2022-04-29 13:00:06;20,1;52,8
1124;2022-04-29 13:05:06;20,2;52,8
1125;2022-04-29 13:10:06;20,3;52,8
1126;2022-04-29 13:15:06;20,3;52,3
1127;2022-04-29 13:20:06;20,4;52,3
1128;2022-04-29 13:25:06;20,5;52,3
1129;2022-04-29 13:30:06;20,6;51,8
1130;2022-04-29 13:35:06;20,7;51,8
1131;2022-04-29 13:40:06;20,8;51,4
1132;2022-04-29 13:45:06;20,9;50,9
1133;2022-04-29 13:50:06;21;50,9
1134;2022-04-29 13:55:06;21,1;50,4
1135;2022-04-29 14:00:06;21,2;49,9
1136;2022-04-29 14:05:06;21,3;49,9
1137;2022-04-29 14:10:06;21,4;49,9
1138;2022-04-29 14:15:06;21,4;49,9
1139;2022-04-29 14:20:06;21,5;49,9
1140;2022-04-29 14:25:06;21,5;49,4
1141;2022-04-29 14:30:06;21,6;48,9
1142;2022-04-29 14:35:06;21,7;48,9
1143;2022-04-29 14:40:06;21,8;48,9
1144;2022-04-29 14:45:06;21,8;48,4
1145;2022-04-29 14:50:06;21,9;48,4
1146;2022-04-29 14:55:06;22;48,4
