Informe de datos;;;;;
Archivo creado el:2022-05-28 19:03:36;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:33:02
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V829;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;13;;MKT;22,7;
Primera lectura;2022-05-21 11:33:02;;Última lectura;2022-05-21 12:33:02;
Máximo(Temperatura);24,9°C;;Mínimo(Temperatura);20,8°C;
Promedio(Temperatura);22,6°C;;Tiempo de grabación;0D 1H 0M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);76,6%;;Mínimo(Humedad);60,4%;
Promedio(Humedad);66,3%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No.;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:32:56;24,2;59,7;;
2;2022-05-21 11:37:56;23,0;62,5;;
3;2022-05-21 11:42:56;22,3;64,8;;
4;2022-05-21 11:47:56;21,8;65,1;;
5;2022-05-21 11:52:56;21,2;66,3;;
6;2022-05-21 11:57:56;20,9;67,1;;
7;2022-05-21 12:02:56;22,7;66,5;;
8;2022-05-21 12:07:56;23,1;64,2;;
9;2022-05-21 12:12:56;22,7;63,5;;
10;2022-05-21 12:17:56;21,7;64,9;;
11;2022-05-21 12:22:56;21,2;65,8;;
12;2022-05-21 12:27:56;20,8;66,3;;
13;2022-05-21 12:32:56;21,5;70,7;;
14;2022-05-21 12:37:56;22,1;68,1;;
15;2022-05-21 12:42:56;21,8;67,9;;
16;2022-05-21 12:47:56;22,6;67,1;;
17;2022-05-21 12:52:56;22,0;67,3;;
18;2022-05-21 12:57:56;21,7;67,6;;
19;2022-05-21 13:02:56;22,0;69,2;;
20;2022-05-21 13:07:56;22,1;67,0;;
21;2022-05-21 13:12:56;22,0;66,7;;
22;2022-05-21 13:17:56;22,6;70,9;;
23;2022-05-21 13:22:56;22,7;66,7;;
24;2022-05-21 13:27:56;22,5;67,1;;
25;2022-05-21 13:32:56;22,5;67,3;;
26;2022-05-21 13:37:56;22,5;66,8;;
27;2022-05-21 13:42:56;22,5;66,6;;
28;2022-05-21 13:47:56;22,5;66,5;;
29;2022-05-21 13:52:56;22,5;67,0;;
30;2022-05-21 13:57:56;22,4;67,2;;
31;2022-05-21 14:02:56;22,4;67,4;;
32;2022-05-21 14:07:56;22,4;67,8;;
33;2022-05-21 14:12:56;22,4;67,5;;
34;2022-05-21 14:17:56;22,3;67,7;;
35;2022-05-21 14:22:56;22,3;68,7;;
36;2022-05-21 14:27:56;22,2;68,9;;
37;2022-05-21 14:32:56;22,1;68,1;;
38;2022-05-21 14:37:56;22,1;68,2;;
39;2022-05-21 14:42:56;22,0;68,1;;
40;2022-05-21 14:47:56;22,0;67,8;;
41;2022-05-21 14:52:56;22,0;68,1;;
42;2022-05-21 14:57:56;21,9;68,1;;
43;2022-05-21 15:02:56;21,9;68,2;;
44;2022-05-21 15:07:56;21,9;67,9;;
45;2022-05-21 15:12:56;21,9;67,7;;
46;2022-05-21 15:17:56;21,9;67,7;;
