RC-4HC Temperature+Humidity Data Logger;;;;;
User Information;RC-4HC Data Logger;;;;
Number;V63;;;;
Interval    ;0:5:0 H:M:S;;;;
Delay Time;0,0 H;;;;
Data Sum;2758;;;;
Temperature Maximum;25,6°C;;;;
Temperature Minimum;14,8°C;;;;
Temperature Average;18°C;;;;
Temperature Alarm Upper Limit;60,0°C;;;;
Temperature Alarm Lower Limit;-30,0°C;;;;
Humidity Maximum;99,9%RH;;;;
Humidity Minimum;2,8%RH;;;;
Humidity Average;40,5%RH;;;;
Humidity Alarm Upper Limit;90%RH;;;;
Humidity Alarm Lower Limit;20%RH;;;;
Start Time;2022-04-24 21:53:47;;;;
End Time;2022-05-04 11:38:47;;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;;
Temperature Unit;°C;;;;
Number;Time;Temperature°C;Humidity%RH;;
111;2022-04-25 07:03:47;20,68;53,1;;
112;2022-04-25 07:08:47;20,68;53,1;;
113;2022-04-25 07:13:47;20,68;53,1;;
114;2022-04-25 07:18:47;20,68;53,1;;
115;2022-04-25 07:23:47;20,68;53,1;;
116;2022-04-25 07:28:47;20,68;53,1;;
117;2022-04-25 07:33:47;20,68;53,1;;
118;2022-04-25 07:38:47;20,68;53,1;;
119;2022-04-25 07:43:47;20,68;53,1;;
120;2022-04-25 07:48:47;20,68;53,1;;
121;2022-04-25 07:53:47;20,68;53,1;;
122;2022-04-25 07:58:47;20,68;53,1;;
123;2022-04-25 08:03:47;20,68;53,1;;
124;2022-04-25 08:08:47;20,68;53,1;;
125;2022-04-25 08:13:47;20,68;53,1;;
126;2022-04-25 08:18:47;20,68;53,1;;
127;2022-04-25 08:23:47;20,68;53,1;;
128;2022-04-25 08:28:47;20,68;53,1;;
129;2022-04-25 08:33:47;20,68;53,1;;
130;2022-04-25 08:38:47;20,68;53,1;;
131;2022-04-25 08:43:47;20,68;53,1;;
132;2022-04-25 08:48:47;20,68;53,1;;
133;2022-04-25 08:53:47;20,68;53,1;;
134;2022-04-25 08:58:47;20,68;53,1;;
135;2022-04-25 09:03:47;20,78;53,1;;
136;2022-04-25 09:08:47;20,78;53,1;;
137;2022-04-25 09:13:47;20,78;53,1;;
138;2022-04-25 09:18:47;20,78;53,1;;
139;2022-04-25 09:23:47;20,78;53,1;;
140;2022-04-25 09:28:47;20,78;53,1;;
141;2022-04-25 09:33:47;20,78;53,1;;
142;2022-04-25 09:38:47;20,78;53,1;;
143;2022-04-25 09:43:47;20,88;53,1;;
144;2022-04-25 09:48:47;20,88;53,1;;
145;2022-04-25 09:53:47;20,88;53,1;;
146;2022-04-25 09:58:47;20,88;53,1;;
147;2022-04-25 10:03:47;20,88;53,1;;
148;2022-04-25 10:08:47;20,88;53,1;;
149;2022-04-25 10:13:47;20,98;53,1;;
150;2022-04-25 10:18:47;20,98;53,1;;
151;2022-04-25 10:23:47;20,98;53,1;;
152;2022-04-25 10:28:47;20,98;53,1;;
153;2022-04-25 10:33:47;20,98;53,1;;
154;2022-04-25 10:38:47;21,08;53,1;;
155;2022-04-25 10:43:47;21,08;53,1;;
156;2022-04-25 10:48:47;21,08;53,1;;
157;2022-04-25 10:53:47;21,08;53,1;;
158;2022-04-25 10:58:47;21,08;53,1;;
159;2022-04-25 11:03:47;21,08;53,1;;
160;2022-04-25 11:08:47;21,08;53,1;;
161;2022-04-25 11:13:47;21,08;53,1;;
162;2022-04-25 11:18:47;21,08;53,1;;
163;2022-04-25 11:23:47;21,08;53,1;;
164;2022-04-25 11:28:47;21,08;53,1;;
165;2022-04-25 11:33:47;21,08;53,1;;
166;2022-04-25 11:38:47;21,08;53,1;;
167;2022-04-25 11:43:47;21,08;53,1;;
168;2022-04-25 11:48:47;21,08;53,1;;
169;2022-04-25 11:53:47;21,08;53,1;;
170;2022-04-25 11:58:47;21,08;53,1;;
171;2022-04-25 12:03:47;21,08;53,1;;
172;2022-04-25 12:08:47;21,08;53,6;;
173;2022-04-25 12:13:47;20,98;53,1;;
174;2022-04-25 12:18:47;21,08;53,1;;
175;2022-04-25 12:23:47;20,98;53,1;;
176;2022-04-25 12:28:47;20,98;53,1;;
177;2022-04-25 12:33:47;20,98;53,1;;
178;2022-04-25 12:38:47;20,98;53,1;;
179;2022-04-25 12:43:47;20,98;53,1;;
180;2022-04-25 12:48:47;20,98;53,1;;
181;2022-04-25 12:53:47;20,98;53,1;;
182;2022-04-25 12:58:47;20,98;53,1;;
183;2022-04-25 13:03:47;20,88;53,1;;
184;2022-04-25 13:08:47;20,88;53,0;;
185;2022-04-25 13:13:47;20,88;53,1;;
186;2022-04-25 13:18:47;20,88;53,1;;
187;2022-04-25 13:23:47;20,88;53,1;;
188;2022-04-25 13:28:47;20,88;53,1;;
189;2022-04-25 13:33:47;20,88;53,0;;
190;2022-04-25 13:38:47;20,88;53,1;;
191;2022-04-25 13:43:47;20,88;53,0;;
192;2022-04-25 13:48:47;20,88;53,0;;
193;2022-04-25 13:53:47;20,88;53,0;;
194;2022-04-25 13:58:47;20,88;53,0;;
195;2022-04-25 14:03:47;20,88;53,0;;
196;2022-04-25 14:08:47;20,88;53,0;;
197;2022-04-25 14:13:47;20,88;53,0;;
198;2022-04-25 14:18:47;20,88;53,0;;
199;2022-04-25 14:23:47;20,88;53,0;;
200;2022-04-25 14:28:47;20,88;53,0;;
201;2022-04-25 14:33:47;20,88;53,0;;
202;2022-04-25 14:38:47;20,88;53,0;;
203;2022-04-25 14:43:47;20,88;53,5;;
204;2022-04-25 14:48:47;20,98;53,5;;
205;2022-04-25 14:53:47;21,08;53,5;;
206;2022-04-25 14:58:47;21,18;54,0;;
207;2022-04-25 15:03:47;21,28;55,0;;
208;2022-04-25 15:08:47;21,48;55,5;;
209;2022-04-25 15:13:47;21,58;56,0;;
210;2022-04-25 15:18:47;21,68;56,5;;
211;2022-04-25 15:23:47;22,28;56,0;;
212;2022-04-25 15:28:47;22,48;57,5;;
213;2022-04-25 15:33:47;21,88;56,6;;
214;2022-04-25 15:38:47;21,88;56,7;;
215;2022-04-25 15:43:47;21,68;55,7;;
216;2022-04-25 15:48:47;21,58;56,2;;
217;2022-04-25 15:53:47;21,58;55,3;;
218;2022-04-25 15:58:47;21,78;54,3;;
219;2022-04-25 16:03:47;21,88;56,0;;
220;2022-04-25 16:08:47;21,88;57,8;;
221;2022-04-25 16:13:47;21,88;59,2;;
222;2022-04-25 16:18:47;21,98;60,1;;
223;2022-04-25 16:23:47;22,08;60,6;;
224;2022-04-25 16:28:47;21,98;60,5;;
225;2022-04-25 16:33:47;22,08;60,5;;
226;2022-04-25 16:38:47;22,18;60,5;;
227;2022-04-25 16:43:47;22,28;60,6;;
228;2022-04-25 16:48:47;22,38;60,6;;
229;2022-04-25 16:53:47;22,38;60,1;;
230;2022-04-25 16:58:47;22,58;60,1;;
231;2022-04-25 17:03:47;22,58;59,6;;
232;2022-04-25 17:08:47;22,58;59,6;;
233;2022-04-25 17:13:47;22,58;59,2;;
234;2022-04-25 17:18:47;22,48;59,2;;
235;2022-04-25 17:23:47;22,38;59,2;;
236;2022-04-25 17:28:47;22,28;58,7;;
237;2022-04-25 17:33:47;22,18;58,7;;
238;2022-04-25 17:38:47;22,08;58,7;;
239;2022-04-25 17:43:47;22,08;58,2;;
240;2022-04-25 17:48:47;21,98;58,2;;
241;2022-04-25 17:53:47;21,88;57,7;;
242;2022-04-25 17:58:47;21,78;57,3;;
243;2022-04-25 18:03:47;21,68;57,3;;
244;2022-04-25 18:08:47;21,68;57,3;;
245;2022-04-25 18:13:47;21,58;56,8;;
246;2022-04-25 18:18:47;21,58;56,8;;
247;2022-04-25 18:23:47;21,58;57,3;;
248;2022-04-25 18:28:47;21,48;57,3;;
249;2022-04-25 18:33:47;21,48;56,4;;
250;2022-04-25 18:38:47;21,48;56,4;;
251;2022-04-25 18:43:47;21,48;56,4;;
252;2022-04-25 18:48:47;21,38;55,9;;
253;2022-04-25 18:53:47;21,38;55,9;;
254;2022-04-25 18:58:47;21,38;55,9;;
255;2022-04-25 19:03:47;21,38;55,9;;
256;2022-04-25 19:08:47;21,38;56,4;;
257;2022-04-25 19:13:47;21,38;55,9;;
258;2022-04-25 19:18:47;21,38;55,4;;
259;2022-04-25 19:23:47;21,28;54,4;;
260;2022-04-25 19:28:47;21,28;54,4;;
261;2022-04-25 19:33:47;21,28;54,4;;
262;2022-04-25 19:38:47;21,28;54,4;;
263;2022-04-25 19:43:47;21,28;54,4;;
264;2022-04-25 19:48:47;21,28;53,9;;
265;2022-04-25 19:53:47;21,28;53,4;;
266;2022-04-25 19:58:47;21,28;53,4;;
267;2022-04-25 20:03:47;21,18;53,4;;
268;2022-04-25 20:08:47;21,18;53,4;;
269;2022-04-25 20:13:47;21,18;52,9;;
270;2022-04-25 20:18:47;21,18;52,9;;
271;2022-04-25 20:23:47;21,18;52,9;;
272;2022-04-25 20:28:47;21,18;52,4;;
273;2022-04-25 20:33:47;21,08;52,4;;
274;2022-04-25 20:38:47;21,08;52,4;;
275;2022-04-25 20:43:47;21,08;51,9;;
276;2022-04-25 20:48:47;21,08;52,4;;
277;2022-04-25 20:53:47;21,08;53,4;;
278;2022-04-25 20:58:47;21,08;52,4;;
279;2022-04-25 21:03:47;21,08;52,4;;
280;2022-04-25 21:08:47;21,08;51,9;;
281;2022-04-25 21:13:47;21,08;51,9;;
282;2022-04-25 21:18:47;20,98;51,9;;
283;2022-04-25 21:23:47;20,98;51,4;;
284;2022-04-25 21:28:47;20,98;51,9;;
285;2022-04-25 21:33:47;20,98;51,9;;
286;2022-04-25 21:38:47;20,98;51,4;;
287;2022-04-25 21:43:47;20,98;51,4;;
288;2022-04-25 21:48:47;20,98;51,4;;
289;2022-04-25 21:53:47;20,88;51,9;;
290;2022-04-25 21:58:47;20,88;51,9;;
291;2022-04-25 22:03:47;20,88;51,9;;
292;2022-04-25 22:08:47;20,88;51,9;;
293;2022-04-25 22:13:47;20,88;51,9;;
294;2022-04-25 22:18:47;20,88;51,9;;
295;2022-04-25 22:23:47;20,88;51,9;;
296;2022-04-25 22:28:47;20,88;51,8;;
297;2022-04-25 22:33:47;20,88;52,3;;
298;2022-04-25 22:38:47;20,78;52,8;;
