RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V453;;
Number;7186E00310;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2840;;
Temperature Maximum;22,8°C;;
Temperature Minimum;11,9°C;;
Temperature Average;17,6°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;67,2%RH;;
Humidity Minimum;29,6%RH;;
Humidity Average;54,7%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;9/05/2022 15:13;;
End Time;19/05/2022 11:48;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-05-09 15:13:47;19,4;51,7
2;2022-05-09 15:18:47;19,9;50,8
3;2022-05-09 15:23:47;19,9;50,8
4;2022-05-09 15:28:47;19,9;50,8
5;2022-05-09 15:33:47;20;50,8
6;2022-05-09 15:38:47;20;50,8
7;2022-05-09 15:43:47;20;50,8
8;2022-05-09 15:48:47;20;50,8
9;2022-05-09 15:53:47;20,1;50,8
10;2022-05-09 15:58:47;20,1;50,8
11;2022-05-09 16:03:47;20,1;50,8
12;2022-05-09 16:08:47;20,1;50,8
13;2022-05-09 16:13:47;20;50,8
14;2022-05-09 16:18:47;20;50,8
15;2022-05-09 16:23:47;20,1;50,8
16;2022-05-09 16:28:47;20,1;50,8
17;2022-05-09 16:33:47;20,1;50,8
18;2022-05-09 16:38:47;20;50,8
19;2022-05-09 16:43:47;20;50,8
20;2022-05-09 16:48:47;20;50,8
21;2022-05-09 16:53:47;20;50,8
22;2022-05-09 16:58:47;19,9;50,8
23;2022-05-09 17:03:47;19,9;51,3
24;2022-05-09 17:08:47;19,8;51,3
25;2022-05-09 17:13:47;19,8;51,8
26;2022-05-09 17:18:47;19,7;51,8
27;2022-05-09 17:23:47;19,6;51,7
28;2022-05-09 17:28:47;19,6;51,7
29;2022-05-09 17:33:47;19,5;51,7
30;2022-05-09 17:38:47;19,4;52,2
31;2022-05-09 17:43:47;19,3;52,7
32;2022-05-09 17:48:47;19,2;52,7
33;2022-05-09 17:53:47;19,2;52,7
34;2022-05-09 17:58:47;19,2;52,7
35;2022-05-09 18:03:47;19,1;52,7
36;2022-05-09 18:08:47;19;53,2
37;2022-05-09 18:13:47;18,9;53,1
38;2022-05-09 18:18:47;18,8;53,6
39;2022-05-09 18:23:47;18,7;53,6
40;2022-05-09 18:28:47;18,7;54,1
41;2022-05-09 18:33:47;18,6;54,1
42;2022-05-09 18:38:47;18,6;54,6
43;2022-05-09 18:43:47;18,5;54,6
44;2022-05-09 18:48:47;18,4;54,6
45;2022-05-09 18:53:47;18,3;54,5
46;2022-05-09 18:58:47;18,3;55
47;2022-05-09 19:03:47;18,2;55
48;2022-05-09 19:08:47;18,1;55,5
49;2022-05-09 19:13:47;18;55,5
50;2022-05-09 19:18:47;18;56
51;2022-05-09 19:23:47;18;56
52;2022-05-09 19:28:47;17,9;56,4
53;2022-05-09 19:33:47;17,8;56,4
54;2022-05-09 19:38:47;17,8;56,4
55;2022-05-09 19:43:47;17,7;56,4
56;2022-05-09 19:48:47;17,6;56,9
57;2022-05-09 19:53:47;17,6;56,9
58;2022-05-09 19:58:47;17,5;56,9
59;2022-05-09 20:03:47;17,5;57,4
60;2022-05-09 20:08:47;17,4;57,4
61;2022-05-09 20:13:47;17,4;57,8
62;2022-05-09 20:18:47;17,3;57,8
63;2022-05-09 20:23:47;17,3;57,8
64;2022-05-09 20:28:47;17,3;57,8
65;2022-05-09 20:33:47;17,3;58,3
66;2022-05-09 20:38:47;17,2;58,3
67;2022-05-09 20:43:47;17,2;58,3
68;2022-05-09 20:48:47;17,1;58,3
