RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V509;;
Number;719AH10088;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2204;;
Temperature Maximum;25°C;;
Temperature Minimum;12,1°C;;
Temperature Average;16,8°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;66,7%RH;;
Humidity Minimum;34,9%RH;;
Humidity Average;55,9%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;09-05-2022 9:37;;
End Time;17-05-2022 1:12;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-05-09 09:37:12;18,5;49,5
2;2022-05-09 09:42:12;20,1;51,2
3;2022-05-09 09:47:12;21,8;47,9
4;2022-05-09 09:52:12;21,3;45,2
5;2022-05-09 09:57:12;18;48,5
6;2022-05-09 10:02:12;16,4;50,8
7;2022-05-09 10:07:12;15,5;53,1
8;2022-05-09 10:12:12;15;54
9;2022-05-09 10:17:12;14,8;55,4
10;2022-05-09 10:22:12;14,6;55,9
11;2022-05-09 10:27:12;14,5;56,4
12;2022-05-09 10:32:12;14,5;56,8
13;2022-05-09 10:37:12;14,5;57,3
14;2022-05-09 10:42:12;14,5;57,3
15;2022-05-09 10:47:12;14,6;57,8
16;2022-05-09 10:52:12;14,6;57,8
17;2022-05-09 10:57:12;14,7;57,8
18;2022-05-09 11:02:12;14,7;57,8
19;2022-05-09 11:07:12;14,8;58,3
20;2022-05-09 11:12:12;14,8;58,3
21;2022-05-09 11:17:12;14,8;58,3
22;2022-05-09 11:22:12;14,9;58,3
23;2022-05-09 11:27:12;15;58,3
24;2022-05-09 11:32:12;15;58,3
25;2022-05-09 11:37:12;15,1;58,4
26;2022-05-09 11:42:12;15,2;57,9
27;2022-05-09 11:47:12;15,3;57,9
28;2022-05-09 11:52:12;15,3;57,9
