Informe de datos;;;;;
Archivo creado el:2022-05-28 18:21:21;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-04 10:56:24
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V762;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Alarma;;;;
Zona ideal;;;;;
Abajo:20,0%;Alarma;;;;
Resumen;;;;;
Puntos de datos;2098;;MKT;20,3;
Primera lectura;2022-05-04 10:56:24;;Última lectura;2022-05-11 17:41:24;
Máximo(Temperatura);26,7°C;;Mínimo(Temperatura);17,5°C;
Promedio(Temperatura);20,2°C;;Tiempo de grabación;7D 6H 45M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);98,5%;;Mínimo(Humedad);2,0%;
Promedio(Humedad);71,1%;;;;
Primera alarma(Humedad);04-05-2022 11:01;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-04 10:56:24;23,8;56,8;;
2;2022-05-04 11:01:24;22,8;2,2;;
3;2022-05-04 11:06:24;22;64,6;;
4;2022-05-04 11:11:24;21,6;65;;
5;2022-05-04 11:16:24;21,1;65,8;;
6;2022-05-04 11:21:24;20,8;66,7;;
7;2022-05-04 11:26:24;20,6;67,1;;
8;2022-05-04 11:31:24;20,4;57;;
9;2022-05-04 11:36:24;20,3;68;;
10;2022-05-04 11:41:24;23,1;66,4;;
11;2022-05-04 11:46:24;22;64,6;;
12;2022-05-04 11:51:24;21,5;65,4;;
13;2022-05-04 11:56:24;21,3;66,3;;
14;2022-05-04 12:01:24;21,2;67,7;;
15;2022-05-04 12:06:24;21;68,1;;
16;2022-05-04 12:11:24;20,9;68,5;;
17;2022-05-04 12:16:24;20,9;NC;;
18;2022-05-04 12:21:24;20,9;NC;;
19;2022-05-04 12:26:24;20,9;NC;;
20;2022-05-04 12:31:24;20,9;8,1;;
21;2022-05-04 12:36:24;21;2;;
22;2022-05-04 12:41:24;21,2;35,1;;
23;2022-05-04 12:46:24;21,3;36,9;;
24;2022-05-04 12:51:24;21,3;48;;
25;2022-05-04 12:56:24;21,4;53,6;;
26;2022-05-04 13:01:24;21,5;NC;;
27;2022-05-04 13:06:24;21,6;NC;;
28;2022-05-04 13:11:24;21,6;NC;;
29;2022-05-04 13:16:24;21,7;NC;;
30;2022-05-04 13:21:24;21,7;NC;;
31;2022-05-04 13:26:24;21,7;NC;;
32;2022-05-04 13:31:24;21,7;36,6;;
33;2022-05-04 13:36:24;21,8;50,2;;
34;2022-05-04 13:41:24;21,7;NC;;
35;2022-05-04 13:46:24;21,7;40;;
36;2022-05-04 13:51:24;21,7;69,6;;
37;2022-05-04 13:56:24;21,7;53,3;;
38;2022-05-04 14:01:24;21,7;52,2;;
39;2022-05-04 14:06:24;21,6;49,7;;
40;2022-05-04 14:11:24;21,6;40,9;;
41;2022-05-04 14:16:24;21,6;45,1;;
42;2022-05-04 14:21:24;21,6;69,1;;
43;2022-05-04 14:26:24;21,5;69,5;;
44;2022-05-04 14:31:24;21,6;73,6;;
45;2022-05-04 14:36:24;21,6;NC;;
46;2022-05-04 14:41:24;21,6;NC;;
47;2022-05-04 14:46:24;21,5;NC;;
