Informe de datos;;;;;
Archivo creado el:2022-05-28 18:37:12;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;21-05-2022 11:33
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V733;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2101;;MKT;20,7;
Primera lectura;21-05-2022 11:33;;Última lectura;28-05-2022 18:33;
Máximo(Temperatura);25,0°C;;Mínimo(Temperatura);17,8°C;
Promedio(Temperatura);20,6°C;;Tiempo de grabación;7D 7H 0M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);79,00%;;Mínimo(Humedad);55,70%;
Promedio(Humedad);69,80%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:33;24,2;60;;
2;2022-05-21 11:38;23,5;62,2;;
3;2022-05-21 11:43;22,7;64;;
4;2022-05-21 11:48;22;64,8;;
5;2022-05-21 11:53;21,5;65,7;;
6;2022-05-21 11:58;21,2;66,5;;
7;2022-05-21 12:03;21;67,4;;
8;2022-05-21 12:08;20,8;67,8;;
9;2022-05-21 12:13;20,7;68,3;;
10;2022-05-21 12:18;20,7;68,3;;
11;2022-05-21 12:23;20,6;68,7;;
12;2022-05-21 12:28;20,6;69,1;;
13;2022-05-21 12:33;20,6;69,1;;
14;2022-05-21 12:38;20,5;69,1;;
15;2022-05-21 12:43;20,5;69,6;;
16;2022-05-21 12:48;20,5;69,6;;
17;2022-05-21 12:53;20,5;69,6;;
18;2022-05-21 12:58;20,5;70;;
19;2022-05-21 13:03;20,5;70;;
20;2022-05-21 13:08;23,9;76,7;;
21;2022-05-21 13:13;23,4;66;;
22;2022-05-21 13:18;22,8;66,3;;
23;2022-05-21 13:23;22,6;67,2;;
24;2022-05-21 13:28;22,5;67,7;;
25;2022-05-21 13:33;22,5;67,7;;
26;2022-05-21 13:38;22,5;67,7;;
27;2022-05-21 13:43;22,6;67,2;;
28;2022-05-21 13:48;22,6;67,2;;
29;2022-05-21 13:53;22,6;67,7;;
30;2022-05-21 13:58;22,6;67,7;;
31;2022-05-21 14:03;22,6;68,1;;
32;2022-05-21 14:08;22,6;68,1;;
33;2022-05-21 14:13;22,6;68,1;;
34;2022-05-21 14:18;22,6;68,1;;
35;2022-05-21 14:23;22,6;69;;
36;2022-05-21 14:28;22,5;69;;
37;2022-05-21 14:33;22,4;68,6;;
38;2022-05-21 14:38;22,4;68,5;;
39;2022-05-21 14:43;22,3;68,1;;
40;2022-05-21 14:48;22,3;68,1;;
41;2022-05-21 14:53;22,2;68,1;;
42;2022-05-21 14:58;22,2;68,5;;
43;2022-05-21 15:03;22,1;68,5;;
44;2022-05-21 15:08;22,1;68;;
45;2022-05-21 15:13;22,1;68;;
46;2022-05-21 15:18;22,1;68;;
47;2022-05-21 15:23;22,1;68;;
48;2022-05-21 15:28;22,1;68;;
49;2022-05-21 15:33;22,1;68;;
50;2022-05-21 15:38;22;68;;
51;2022-05-21 15:43;22;68;;
52;2022-05-21 15:48;21,9;68;;
