RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V536;;
Number;719AH10135;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;2363;;
Temperature Maximum;27.4°C;;
Temperature Minimum;14.7°C;;
Temperature Average;19.6°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;63.2%RH;;
Humidity Minimum;37.9%RH;;
Humidity Average;54%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;21/09/2020 11:19;;
End Time;29/09/2020 16:09;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2020/03/24  11:02:00;-7,8;51
2;2020/03/24  11:02:00;-8,8;50
3;2020/03/24  11:03:00;-7,5;50.5
4;2020/03/24  11:03:00;-6,2;51
5;2020/03/24  11:04:00;-5,6;52
6;2020/03/24  11:04:00;-6;52
7;2020/03/24  11:05:00;-8,1;57.1
8;2020/03/24  11:05:00;-9,1;51.1
9;2020/03/24  11:06:00;-9,6;50.6
10;2020/03/24  11:06:00;-9,9;50.1
11;2020/03/24  11:07:00;-10;50.1
12;2020/03/24  11:07:00;-10,1;50.1
13;2020/03/24  11:08:00;-10,1;50.1
14;2020/03/24  11:08:00;-10,1;50.1
15;2020/03/24  11:09:00;-10,1;49.7
16;2020/03/24  11:09:00;-10;49.2
17;2020/03/24  11:10:00;-10;49.3
18;2020/03/24  11:10:00;-10;48.8
19;2020/03/24  11:11:00;-9,9;48.8
20;2020/03/24  11:11:00;-9,9;46.7
21;2020/03/24  11:12:00;-9,8;46.1
22;2020/03/24  11:12:00;-9,7;49.7
23;2020/03/24  11:13:00;-9,7;46.1
24;2020/03/24  11:13:00;-9,7;42.8
25;2020/03/24  11:14:00;-9,6;48.6
26;2020/03/24  11:14:00;-9,5;51.7
27;2020/03/24  11:15:00;-9,4;51.3
28;2020/03/24  11:15:00;-9,4;47.1
29;2020/03/24  11:16:00;-9,3;50.2
30;2020/03/24  11:16:00;-9,3;51.7
31;2020/03/24  11:17:00;-9,2;48.6
32;2020/03/24  11:17:00;-9,1;52.2
33;2020/03/24  11:18:00;-9,1;50.7
34;2020/03/24  11:18:00;-9,1;50.6
35;2020/03/24  11:19:00;-9,1;52.7
36;2020/03/24  11:19:00;-9,1;52.2
37;2020/03/24  11:20:00;-9,1;51.2
38;2020/03/24  11:20:00;-9,1;48.1
39;2020/03/24  11:21:00;-9;52.1
40;2020/03/24  11:21:00;-9;52.2
41;2020/03/24  11:22:00;-9;48.6
42;2020/03/24  11:22:00;-9;52.1
43;2020/03/24  11:23:00;-9;52.7
44;2020/03/24  11:23:00;-9;50.1
45;2020/03/24  11:24:00;-9;51.6
46;2020/03/24  11:24:00;-9;53.1
47;2020/03/24  11:25:00;-9;53.2
48;2020/03/24  11:25:00;-8,9;52.2
49;2020/03/24  11:26:00;-8,9;49.7
50;2020/03/24  11:26:00;-8,9;51.6
51;2020/03/24  11:27:00;-8,9;53.1
52;2020/03/24  11:27:00;-8,8;50.6
53;2020/03/24  11:28:00;-8,8;53.1
54;2020/03/24  11:28:00;-8,8;54.1
55;2020/03/24  11:29:00;-8,8;53.1
56;2020/03/24  11:29:00;-8,8;52.7
57;2020/03/24  11:30:00;-8,7;51.2
58;2020/03/24  11:30:00;-8,7;52.1
59;2020/03/24  11:31:00;-8,6;53.1
60;2020/03/24  11:31:00;-8,6;52.7
61;2020/03/24  11:32:00;-8,6;52.2
62;2020/03/24  11:32:00;-8,6;52.2
63;2020/03/24  11:33:00;-8,6;49.6
64;2020/03/24  11:33:00;-8,6;53.1
65;2020/03/24  11:34:00;-8,6;53.1
66;2020/03/24  11:34:00;-8,6;51.6
67;2020/03/24  11:35:00;-8,6;53.1
68;2020/03/24  11:35:00;-8,6;53.6
69;2020/03/24  11:36:00;-8,6;53.1
70;2020/03/24  11:36:00;-8,5;52.1
