RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V560;;
Number;V560;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;3669;;
Temperature Maximum;29,2°C;;
Temperature Minimum;12,5°C;;
Temperature Average;17,2°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;99,9%RH;;
Humidity Minimum;1%RH;;
Humidity Average;52,3%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;16-05-2022 7:08;;
End Time;29-05-2022 0:48;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-05-16 07:08:38;18,8;51,3
2;2022-05-16 07:13:38;18,8;49,7
3;2022-05-16 07:18:38;18,8;50,2
4;2022-05-16 07:23:38;18,8;50,2
5;2022-05-16 07:28:38;18,8;50,7
6;2022-05-16 07:33:38;18,7;50,7
7;2022-05-16 07:38:38;18,7;50,6
8;2022-05-16 07:43:38;18,7;50,6
9;2022-05-16 07:48:38;18,7;50,6
10;2022-05-16 07:53:38;18,8;51,1
11;2022-05-16 07:58:38;18,8;51,1
12;2022-05-16 08:03:38;18,8;51,6
13;2022-05-16 08:08:38;18,8;51,6
14;2022-05-16 08:13:38;18,9;51,6
15;2022-05-16 08:18:38;18,9;52,1
16;2022-05-16 08:23:38;19;52,6
17;2022-05-16 08:28:38;19;52,6
18;2022-05-16 08:33:38;19,1;52,6
19;2022-05-16 08:38:38;19,1;52,6
20;2022-05-16 08:43:38;19,1;52,6
21;2022-05-16 08:48:38;19,2;52,6
22;2022-05-16 08:53:38;19,2;52,6
23;2022-05-16 08:58:38;19,3;52,6
24;2022-05-16 09:03:38;19,3;53,1
25;2022-05-16 09:08:38;19,4;53,1
26;2022-05-16 09:13:38;19,4;53,1
27;2022-05-16 09:18:38;19,4;53,1
28;2022-05-16 09:23:38;19,5;53,1
29;2022-05-16 09:28:38;19,5;53,1
30;2022-05-16 09:33:38;19,5;53,1
31;2022-05-16 09:38:38;19,5;53,1
32;2022-05-16 09:43:38;19,5;53,1
33;2022-05-16 09:48:38;19,5;53,1
34;2022-05-16 09:53:38;18,9;53,1
35;2022-05-16 09:58:38;18,5;53,1
36;2022-05-16 10:03:38;18,5;53,1
37;2022-05-16 10:08:38;18,5;53,1
38;2022-05-16 10:13:38;18,5;53,1
39;2022-05-16 10:18:38;18,4;53,1
40;2022-05-16 10:23:38;18,4;53,1
41;2022-05-16 10:28:38;18,4;53,1
42;2022-05-16 10:33:38;18,3;53,1
43;2022-05-16 10:38:38;18,3;53,1
44;2022-05-16 10:43:38;18,3;53,1
45;2022-05-16 10:48:38;18,2;53,1
46;2022-05-16 10:53:38;18,2;53,1
47;2022-05-16 10:58:38;18,2;53,1
48;2022-05-16 11:03:38;18,2;53,1
49;2022-05-16 11:08:38;18,1;53,1
50;2022-05-16 11:13:38;18,1;53,1
51;2022-05-16 11:18:38;18,1;53,1
52;2022-05-16 11:23:38;18,1;53,1
53;2022-05-16 11:28:38;18;53,1
54;2022-05-16 11:33:38;18;53,1
55;2022-05-16 11:38:38;18;53,1
56;2022-05-16 11:43:38;18;53,1
57;2022-05-16 11:48:38;18;53,6
58;2022-05-16 11:53:38;18;53,6
59;2022-05-16 11:58:38;18;53,6
60;2022-05-16 12:03:38;17,9;53,7
61;2022-05-16 12:08:38;17,9;53,7
62;2022-05-16 12:13:38;17,9;53,7
63;2022-05-16 12:18:38;17,9;55,7
64;2022-05-16 12:23:38;17,9;57,7
65;2022-05-16 12:28:38;17,9;61,2
66;2022-05-16 12:33:38;17,9;61,7
67;2022-05-16 12:38:38;17,9;63,2
68;2022-05-16 12:43:38;17,8;62,9
69;2022-05-16 12:48:38;17,8;63
70;2022-05-16 12:53:38;17,8;65
71;2022-05-16 12:58:38;17,8;62,7
72;2022-05-16 13:03:38;17,8;58,4
73;2022-05-16 13:08:38;17,8;56,5
74;2022-05-16 13:13:38;17,8;53,5
75;2022-05-16 13:18:38;17,8;51,4
76;2022-05-16 13:23:38;17,8;48,2
77;2022-05-16 13:28:38;17,8;49
78;2022-05-16 13:33:38;17,7;50
79;2022-05-16 13:38:38;17,7;49,9
80;2022-05-16 13:43:38;17,7;50,4
81;2022-05-16 13:48:38;17,7;50,9
82;2022-05-16 13:53:38;17,7;50,9
83;2022-05-16 13:58:38;17,7;50,8
84;2022-05-16 14:03:38;17,7;51,3
85;2022-05-16 14:08:38;17,7;51,3
86;2022-05-16 14:13:38;17,7;51,3
87;2022-05-16 14:18:38;17,7;51,3
88;2022-05-16 14:23:38;17,7;51,8
89;2022-05-16 14:28:38;17,7;51,8
90;2022-05-16 14:33:38;17,7;51,8
91;2022-05-16 14:38:38;17,7;51,8
92;2022-05-16 14:43:38;17,7;51,8
93;2022-05-16 14:48:38;17,7;51,8
94;2022-05-16 14:53:38;17,7;51,8
95;2022-05-16 14:58:38;17,8;52,3
96;2022-05-16 15:03:38;17,8;52,3
97;2022-05-16 15:08:38;17,9;52,7
98;2022-05-16 15:13:38;18;52,7
99;2022-05-16 15:18:38;18;52,7
100;2022-05-16 15:23:38;18;52,7
101;2022-05-16 15:28:38;18,1;53,2
102;2022-05-16 15:33:38;18,1;53,2
103;2022-05-16 15:38:38;18,2;53,2
104;2022-05-16 15:43:38;18,2;53,7
105;2022-05-16 15:48:38;18,3;53,6
106;2022-05-16 15:53:38;18,3;53,6
107;2022-05-16 15:58:38;18,3;54,1
108;2022-05-16 16:03:38;18,3;54,1
109;2022-05-16 16:08:38;18,3;54,1
110;2022-05-16 16:13:38;18,3;54,6
111;2022-05-16 16:18:38;18,4;54,6
112;2022-05-16 16:23:38;18,4;54,6
113;2022-05-16 16:28:38;18,5;54,5
114;2022-05-16 16:33:38;18,5;54,5
115;2022-05-16 16:38:38;18,6;55
116;2022-05-16 16:43:38;18,7;55
117;2022-05-16 16:48:38;18,7;55
118;2022-05-16 16:53:38;18,7;55,5
119;2022-05-16 16:58:38;19,2;55,5
120;2022-05-16 17:03:38;20,4;55,5
121;2022-05-16 17:08:38;19,8;55,5
122;2022-05-16 17:13:38;19,2;55,5
123;2022-05-16 17:18:38;18,8;55,4
124;2022-05-16 17:23:38;18,6;55,4
125;2022-05-16 17:28:38;18,4;55,4
126;2022-05-16 17:33:38;18,3;55,9
127;2022-05-16 17:38:38;18,2;55,9
128;2022-05-16 17:43:38;18,1;55,9
129;2022-05-16 17:48:38;18;55,9
130;2022-05-16 17:53:38;18;55,9
131;2022-05-16 17:58:38;17,9;56,4
132;2022-05-16 18:03:38;17,8;56,4
133;2022-05-16 18:08:38;17,7;56,4
134;2022-05-16 18:13:38;17,6;56,4
135;2022-05-16 18:18:38;17,6;56,4
136;2022-05-16 18:23:38;17,5;56,4
137;2022-05-16 18:28:38;17,4;56,4
138;2022-05-16 18:33:38;17,4;56,8
139;2022-05-16 18:38:38;17,3;56,8
140;2022-05-16 18:43:38;17,2;56,8
141;2022-05-16 18:48:38;17,2;56,8
142;2022-05-16 18:53:38;17,1;56,8
143;2022-05-16 18:58:38;17;56,8
144;2022-05-16 19:03:38;17;57,3
145;2022-05-16 19:08:38;16,9;57,3
146;2022-05-16 19:13:38;16,9;57,3
147;2022-05-16 19:18:38;16,8;57,3
148;2022-05-16 19:23:38;16,8;57,3
149;2022-05-16 19:28:38;16,7;57,3
150;2022-05-16 19:33:38;16,7;57,3
151;2022-05-16 19:38:38;16,6;57,3
152;2022-05-16 19:43:38;16,6;57,2
153;2022-05-16 19:48:38;16,5;57,2
154;2022-05-16 19:53:38;16,5;57,2
155;2022-05-16 19:58:38;16,4;57,2
156;2022-05-16 20:03:38;16,4;57,2
