Informe de datos;;;;;
Archivo creado el:2022-05-28 18:51:04;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:33:29
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V831;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;77;;MKT;22,0;
Primera lectura;2022-05-21 11:33:29;;Última lectura;2022-05-21 17:53:29;
Máximo(Temperatura);26,1°C;;Mínimo(Temperatura);20,3°C;
Promedio(Temperatura);21,9°C;;Tiempo de grabación;0D 6H 20M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);56,2%;;Mínimo(Humedad);35,0%;
Promedio(Humedad);45,0%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:32:28;242333333333333,0;608666666666667,0;;
2;2022-05-21 11:37:28;231666666666667,0;64,3;;
3;2022-05-21 11:42:28;22,3;66,5;;
4;2022-05-21 11:47:28;22,4;678666666666667,0;;
5;2022-05-21 11:52:28;219666666666667,0;661333333333333,0;;
6;2022-05-21 11:57:28;212666666666667,0;678666666666667,0;;
7;2022-05-21 12:02:28;222333333333333,0;687333333333333,0;;
8;2022-05-21 12:07:28;22,4;679333333333333,0;;
9;2022-05-21 12:12:28;217666666666667,0;675666666666667,0;;
10;2022-05-21 12:17:28;211666666666667,0;685333333333333,0;;
11;2022-05-21 12:22:28;208333333333333,0;68,8;;
12;2022-05-21 12:27:28;206333333333333,0;692333333333333,0;;
13;2022-05-21 12:32:28;213333333333333,0;726333333333333,0;;
14;2022-05-21 12:37:28;218333333333333,0;704333333333333,0;;
15;2022-05-21 12:42:28;214666666666667,0;70,4;;
16;2022-05-21 12:47:28;21,3;702333333333333,0;;
17;2022-05-21 12:52:28;21,2;706666666666667,0;;
18;2022-05-21 12:57:28;211666666666667,0;70,7;;
19;2022-05-21 13:02:28;21,6;720666666666667,0;;
20;2022-05-21 13:07:28;217333333333333,0;698666666666667,0;;
21;2022-05-21 13:12:28;216333333333333,0;69,7;;
22;2022-05-21 13:17:28;222333333333333,0;738666666666667,0;;
23;2022-05-21 13:22:28;223333333333333,0;694666666666667,0;;
24;2022-05-21 13:27:28;22,1;697666666666667,0;;
25;2022-05-21 13:32:28;220333333333333,0;700666666666667,0;;
26;2022-05-21 13:37:28;220333333333333,0;69,9;;
27;2022-05-21 13:42:28;220333333333333,0;69,6;;
28;2022-05-21 13:47:28;22,1;69,6;;
29;2022-05-21 13:52:28;221333333333333,0;699333333333333,0;;
30;2022-05-21 13:57:28;220666666666667,0;69,9;;
31;2022-05-21 14:02:28;220333333333333,0;70,2;;
32;2022-05-21 14:07:28;220666666666667,0;706666666666667,0;;
33;2022-05-21 14:12:28;220333333333333,0;703666666666667,0;;
34;2022-05-21 14:17:28;22,0;705333333333333,0;;
35;2022-05-21 14:22:28;220333333333333,0;712666666666667,0;;
36;2022-05-21 14:27:28;22,0;71,4;;
37;2022-05-21 14:32:28;219333333333333,0;70,8;;
38;2022-05-21 14:37:28;21,9;70,8;;
