RC-4HC Temperature+Humidity Data Logger;;;
User Information;V321;;
Number;00V321;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;1905-10-26 00:00:00;;
Temperature Maximum;26°C;;
Temperature Minimum;19.8°C;;
Temperature Average;21.3°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;49.1%RH;;
Humidity Minimum;35.1%RH;;
Humidity Average;45.6%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-03-03 12:46:49;;
End Time;2022-03-10 21:51:49;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
125;2022-03-03 23:06:49;21.6;45.7
126;2022-03-03 23:11:49;21.5;45.8
127;2022-03-03 23:16:49;21.5;45.9
128;2022-03-03 23:21:49;21.5;45.9
129;2022-03-03 23:26:49;21.5;45.9
130;2022-03-03 23:31:49;21.5;46
131;2022-03-03 23:36:49;21.5;46
132;2022-03-03 23:41:49;21.5;46
133;2022-03-03 23:46:49;21.5;46.1
134;2022-03-03 23:51:49;21.5;46.2
135;2022-03-03 23:56:49;21.4;46.2
136;2022-03-04 00:01:49;21.4;46.2
137;2022-03-04 00:06:49;21.4;46.2
138;2022-03-04 00:11:49;21.4;46.2
139;2022-03-04 00:16:49;21.4;46.3
140;2022-03-04 00:21:49;21.4;46.3
141;2022-03-04 00:26:49;21.4;46.4
142;2022-03-04 00:31:49;21.4;46.4
143;2022-03-04 00:36:49;21.3;46.4
144;2022-03-04 00:41:49;21.3;46.5
145;2022-03-04 00:46:49;21.3;46.5
146;2022-03-04 00:51:49;21.3;46.5
147;2022-03-04 00:56:49;21.3;46.5
148;2022-03-04 01:01:49;21.3;46.6
149;2022-03-04 01:06:49;21.3;46.6
150;2022-03-04 01:11:49;21.3;46.6
151;2022-03-04 01:16:49;21.3;46.6
152;2022-03-04 01:21:49;21.2;46.7
153;2022-03-04 01:26:49;21.2;46.7
154;2022-03-04 01:31:49;21.2;46.7
155;2022-03-04 01:36:49;21.2;46.7
156;2022-03-04 01:41:49;21.2;46.8
157;2022-03-04 01:46:49;21.2;46.8
158;2022-03-04 01:51:49;21.2;46.8
159;2022-03-04 01:56:49;21.2;46.9
160;2022-03-04 02:01:49;21.1;46.9
161;2022-03-04 02:06:49;21.1;46.9
162;2022-03-04 02:11:49;21.1;47
163;2022-03-04 02:16:49;21.1;47
164;2022-03-04 02:21:49;21.1;47
165;2022-03-04 02:26:49;21.1;47.1
166;2022-03-04 02:31:49;21.1;47.1
167;2022-03-04 02:36:49;21.1;47.1
168;2022-03-04 02:41:49;21.1;47.2
169;2022-03-04 02:46:49;21;47.2
170;2022-03-04 02:51:49;21;47.2
171;2022-03-04 02:56:49;21;47.2
172;2022-03-04 03:01:49;21;47.3
173;2022-03-04 03:06:49;21;47.3
174;2022-03-04 03:11:49;21;47.3
175;2022-03-04 03:16:49;21;47.4
176;2022-03-04 03:21:49;21;47.4
177;2022-03-04 03:26:49;21;47.4
178;2022-03-04 03:31:49;20.9;47.5
179;2022-03-04 03:36:49;20.9;47.5
180;2022-03-04 03:41:49;20.9;47.5
181;2022-03-04 03:46:49;20.9;47.6
182;2022-03-04 03:51:49;20.9;47.6
183;2022-03-04 03:56:49;20.9;47.6
184;2022-03-04 04:01:49;20.9;47.7
185;2022-03-04 04:06:49;20.9;47.7
186;2022-03-04 04:11:49;20.9;47.7
187;2022-03-04 04:16:49;20.9;47.7
188;2022-03-04 04:21:49;20.9;47.8
189;2022-03-04 04:26:49;20.9;47.8
190;2022-03-04 04:31:49;20.9;47.8
191;2022-03-04 04:36:49;20.9;47.8
192;2022-03-04 04:41:49;20.9;47.8
193;2022-03-04 04:46:49;20.9;47.9
194;2022-03-04 04:51:49;20.8;47.9
195;2022-03-04 04:56:49;20.8;47.9
196;2022-03-04 05:01:49;20.8;47.9
197;2022-03-04 05:06:49;20.8;48
198;2022-03-04 05:11:49;20.8;48
199;2022-03-04 05:16:49;20.8;48
200;2022-03-04 05:21:49;20.8;48.1
201;2022-03-04 05:26:49;20.8;48.1
202;2022-03-04 05:31:49;20.8;48.1
203;2022-03-04 05:36:49;20.8;48.2
204;2022-03-04 05:41:49;20.8;48.2
205;2022-03-04 05:46:49;20.8;48.2
206;2022-03-04 05:51:49;20.8;48.3
207;2022-03-04 05:56:49;20.7;48.3
208;2022-03-04 06:01:49;20.7;48.3
209;2022-03-04 06:06:49;20.7;48.3
210;2022-03-04 06:11:49;20.7;48.3
211;2022-03-04 06:16:49;20.7;48.4
212;2022-03-04 06:21:49;20.7;48.4
213;2022-03-04 06:26:49;20.7;48.5
214;2022-03-04 06:31:49;20.7;48.5
215;2022-03-04 06:36:49;20.7;48.5
216;2022-03-04 06:41:49;20.6;48.5
217;2022-03-04 06:46:49;20.6;48.6
218;2022-03-04 06:51:49;20.6;48.6
219;2022-03-04 06:56:49;20.6;48.6
220;2022-03-04 07:01:49;20.6;48.6
221;2022-03-04 07:06:49;20.6;48.6
222;2022-03-04 07:11:49;20.6;48.7
223;2022-03-04 07:16:49;20.6;48.7
224;2022-03-04 07:21:49;20.6;48.7
225;2022-03-04 07:26:49;20.6;48.7
226;2022-03-04 07:31:49;20.6;48.7
227;2022-03-04 07:36:49;20.6;48.7
228;2022-03-04 07:41:49;20.6;48.8
229;2022-03-04 07:46:49;20.6;48.8
230;2022-03-04 07:51:49;20.6;48.8
231;2022-03-04 07:56:49;20.6;48.9
232;2022-03-04 08:01:49;20.6;48.9
233;2022-03-04 08:06:49;20.5;48.9
234;2022-03-04 08:11:49;20.5;48.9
235;2022-03-04 08:16:49;20.5;48.9
236;2022-03-04 08:21:49;20.5;48.9
237;2022-03-04 08:26:49;20.5;48.9
238;2022-03-04 08:31:49;20.6;48.9
239;2022-03-04 08:36:49;20.6;48.9
240;2022-03-04 08:41:49;20.6;48.7
241;2022-03-04 08:46:49;20.6;48.6
242;2022-03-04 08:51:49;20.6;48.4
243;2022-03-04 08:56:49;20.7;48.4
244;2022-03-04 09:01:49;20.7;48.3
245;2022-03-04 09:06:49;20.7;48.2
246;2022-03-04 09:11:49;20.8;48.2
247;2022-03-04 09:16:49;20.8;48.1
248;2022-03-04 09:21:49;20.8;48.1
249;2022-03-04 09:26:49;20.9;48
250;2022-03-04 09:31:49;20.9;47.9
251;2022-03-04 09:36:49;20.9;47.8
252;2022-03-04 09:41:49;20.9;47.8
253;2022-03-04 09:46:49;20.9;47.9
254;2022-03-04 09:51:49;21;47.9
255;2022-03-04 09:56:49;21;47.9
256;2022-03-04 10:01:49;21;48
257;2022-03-04 10:06:49;21.1;47.9
258;2022-03-04 10:11:49;21.1;48
259;2022-03-04 10:16:49;21.2;48.1
260;2022-03-04 10:21:49;21.2;48.2
261;2022-03-04 10:26:49;21.2;48.2
262;2022-03-04 10:31:49;21.3;48.2
263;2022-03-04 10:36:49;21.3;48.2
264;2022-03-04 10:41:49;21.3;48.2
265;2022-03-04 10:46:49;21.4;48.2
266;2022-03-04 10:51:49;21.4;48.3
267;2022-03-04 10:56:49;21.4;48.3
268;2022-03-04 11:01:49;21.5;48.3
269;2022-03-04 11:06:49;21.5;48.3
270;2022-03-04 11:11:49;21.5;48.2
271;2022-03-04 11:16:49;21.6;48.1
272;2022-03-04 11:21:49;21.5;47.8
273;2022-03-04 11:26:49;21.4;47.4
274;2022-03-04 11:31:49;21.4;47.2
275;2022-03-04 11:36:49;21.3;47
276;2022-03-04 11:41:49;21.2;46.8
277;2022-03-04 11:46:49;21.3;46.7
278;2022-03-04 11:51:49;21.3;46.5
279;2022-03-04 11:56:49;21.3;46.3
280;2022-03-04 12:01:49;21.4;46.2
281;2022-03-04 12:06:49;21.4;45.8
282;2022-03-04 12:11:49;21.4;45.7
283;2022-03-04 12:16:49;21.4;45.5
284;2022-03-04 12:21:49;21.4;45.7
285;2022-03-04 12:26:49;21.5;46.4
286;2022-03-04 12:31:49;21.5;46.2
287;2022-03-04 12:36:49;21.5;45.9
288;2022-03-04 12:41:49;21.5;45.6
289;2022-03-04 12:46:49;21.5;45.2
290;2022-03-04 12:51:49;21.5;45
291;2022-03-04 12:56:49;21.5;45.7
292;2022-03-04 13:01:49;21.6;45.6
293;2022-03-04 13:06:49;21.6;45.4
294;2022-03-04 13:11:49;21.6;45.1
295;2022-03-04 13:16:49;21.6;44.8
296;2022-03-04 13:21:49;21.6;44.6
297;2022-03-04 13:26:49;21.7;44.3
298;2022-03-04 13:31:49;21.7;44.1
299;2022-03-04 13:36:49;21.7;43.9
300;2022-03-04 13:41:49;21.7;43.8
301;2022-03-04 13:46:49;21.7;43.6
302;2022-03-04 13:51:49;21.7;43.5
303;2022-03-04 13:56:49;21.8;43.3
304;2022-03-04 14:01:49;21.7;43.2
305;2022-03-04 14:06:49;21.7;43.1
306;2022-03-04 14:11:49;21.7;43
307;2022-03-04 14:16:49;21.7;42.9
308;2022-03-04 14:21:49;21.7;42.9
309;2022-03-04 14:26:49;21.8;43.1
310;2022-03-04 14:31:49;21.8;43.1
311;2022-03-04 14:36:49;21.8;42.9
312;2022-03-04 14:41:49;21.8;42.8
313;2022-03-04 14:46:49;21.8;42.7
314;2022-03-04 14:51:49;21.8;42.6
315;2022-03-04 14:56:49;21.8;42.5
316;2022-03-04 15:01:49;21.8;42.4
317;2022-03-04 15:06:49;21.9;42.4
318;2022-03-04 15:11:49;22;42.6
319;2022-03-04 15:16:49;22;42.7
320;2022-03-04 15:21:49;22.1;42.7
321;2022-03-04 15:26:49;22.1;42.6
322;2022-03-04 15:31:49;22.1;42.5
323;2022-03-04 15:36:49;22.2;42.5
324;2022-03-04 15:41:49;22.2;42.6
325;2022-03-04 15:46:49;22.2;42.6
326;2022-03-04 15:51:49;22.2;42.7
327;2022-03-04 15:56:49;22.3;42.7
328;2022-03-04 16:01:49;22.3;42.8
329;2022-03-04 16:06:49;22.3;42.8
330;2022-03-04 16:11:49;22.3;42.7
331;2022-03-04 16:16:49;22.3;42.6
332;2022-03-04 16:21:49;22.3;42.5
333;2022-03-04 16:26:49;22.2;42.5
334;2022-03-04 16:31:49;22.2;42.4
335;2022-03-04 16:36:49;22.2;42.4
336;2022-03-04 16:41:49;22.1;42.4
337;2022-03-04 16:46:49;22;42.4
338;2022-03-04 16:51:49;22;42.4
339;2022-03-04 16:56:49;21.9;42.4
340;2022-03-04 17:01:49;21.9;42.4
341;2022-03-04 17:06:49;21.9;42.4
342;2022-03-04 17:11:49;21.8;42.4
343;2022-03-04 17:16:49;21.8;42.4
344;2022-03-04 17:21:49;21.9;42.4
345;2022-03-04 17:26:49;22;42.4
346;2022-03-04 17:31:49;22.1;42.4
347;2022-03-04 17:36:49;22.1;42.4
348;2022-03-04 17:41:49;22.2;42.4
349;2022-03-04 17:46:49;22.2;42.5
350;2022-03-04 17:51:49;22.2;42.6
351;2022-03-04 17:56:49;22.2;42.7
352;2022-03-04 18:01:49;22.2;42.8
353;2022-03-04 18:06:49;22.2;42.9
354;2022-03-04 18:11:49;22.3;43
355;2022-03-04 18:16:49;22.3;43
356;2022-03-04 18:21:49;22.3;43.1
357;2022-03-04 18:26:49;22.3;43.2
358;2022-03-04 18:31:49;22.3;43.3
359;2022-03-04 18:36:49;22.3;43.4
360;2022-03-04 18:41:49;22.3;43.5
361;2022-03-04 18:46:49;22.3;43.5
362;2022-03-04 18:51:49;22.3;43.6
363;2022-03-04 18:56:49;22.3;43.7
364;2022-03-04 19:01:49;22.3;43.8
365;2022-03-04 19:06:49;22.3;43.8
366;2022-03-04 19:11:49;22.3;43.9
367;2022-03-04 19:16:49;22.3;44
368;2022-03-04 19:21:49;22.3;44
369;2022-03-04 19:26:49;22.3;44
370;2022-03-04 19:31:49;22.3;44.1
371;2022-03-04 19:36:49;22.3;44.1
372;2022-03-04 19:41:49;22.3;44.2
373;2022-03-04 19:46:49;22.3;44.2
374;2022-03-04 19:51:49;22.3;44.2
375;2022-03-04 19:56:49;22.2;44.3
376;2022-03-04 20:01:49;22.2;44.3
377;2022-03-04 20:06:49;22.2;44.3
378;2022-03-04 20:11:49;22.2;44.4
379;2022-03-04 20:16:49;22.2;44.4
380;2022-03-04 20:21:49;22.2;44.5
381;2022-03-04 20:26:49;22.2;44.5
382;2022-03-04 20:31:49;22.2;44.6
383;2022-03-04 20:36:49;22.2;44.6
384;2022-03-04 20:41:49;22.2;44.7
385;2022-03-04 20:46:49;22.1;44.7
386;2022-03-04 20:51:49;22.1;44.8
387;2022-03-04 20:56:49;22.1;44.9
388;2022-03-04 21:01:49;22.1;45
389;2022-03-04 21:06:49;22;45
390;2022-03-04 21:11:49;22;45.1
391;2022-03-04 21:16:49;22;45.2
392;2022-03-04 21:21:49;22;45.3
393;2022-03-04 21:26:49;22;45.4
394;2022-03-04 21:31:49;21.9;45.4
395;2022-03-04 21:36:49;21.9;45.5
396;2022-03-04 21:41:49;21.9;45.6
397;2022-03-04 21:46:49;21.9;45.6
398;2022-03-04 21:51:49;21.9;45.7
399;2022-03-04 21:56:49;21.8;45.7
400;2022-03-04 22:01:49;21.8;45.8
401;2022-03-04 22:06:49;21.8;45.8
402;2022-03-04 22:11:49;21.8;45.9
403;2022-03-04 22:16:49;21.8;45.9
404;2022-03-04 22:21:49;21.8;45.9
405;2022-03-04 22:26:49;21.7;46
406;2022-03-04 22:31:49;21.7;46
407;2022-03-04 22:36:49;21.7;46.1
408;2022-03-04 22:41:49;21.7;46.1
409;2022-03-04 22:46:49;21.7;46.1
410;2022-03-04 22:51:49;21.7;46.2
411;2022-03-04 22:56:49;21.7;46.2
412;2022-03-04 23:01:49;21.6;46.3
413;2022-03-04 23:06:49;21.6;46.3
414;2022-03-04 23:11:49;21.6;46.3
415;2022-03-04 23:16:49;21.6;46.3
416;2022-03-04 23:21:49;21.6;46.4
417;2022-03-04 23:26:49;21.6;46.4
418;2022-03-04 23:31:49;21.6;46.4
419;2022-03-04 23:36:49;21.5;46.5
420;2022-03-04 23:41:49;21.5;46.5
421;2022-03-04 23:46:49;21.5;46.5
422;2022-03-04 23:51:49;21.5;46.5
423;2022-03-04 23:56:49;21.5;46.5
424;2022-03-05 00:01:49;21.5;46.6
425;2022-03-05 00:06:49;21.5;46.6
426;2022-03-05 00:11:49;21.5;46.6
427;2022-03-05 00:16:49;21.5;46.6
428;2022-03-05 00:21:49;21.5;46.6
429;2022-03-05 00:26:49;21.5;46.7
430;2022-03-05 00:31:49;21.5;46.7
431;2022-03-05 00:36:49;21.4;46.7
432;2022-03-05 00:41:49;21.4;46.7
433;2022-03-05 00:46:49;21.4;46.7
434;2022-03-05 00:51:49;21.4;46.7
435;2022-03-05 00:56:49;21.4;46.7
436;2022-03-05 01:01:49;21.4;46.8
437;2022-03-05 01:06:49;21.4;46.8
438;2022-03-05 01:11:49;21.4;46.8
439;2022-03-05 01:16:49;21.4;46.8
440;2022-03-05 01:21:49;21.3;46.8
441;2022-03-05 01:26:49;21.3;46.9
442;2022-03-05 01:31:49;21.3;46.9
443;2022-03-05 01:36:49;21.3;46.9
444;2022-03-05 01:41:49;21.3;46.9
445;2022-03-05 01:46:49;21.3;47
446;2022-03-05 01:51:49;21.3;47
447;2022-03-05 01:56:49;21.2;47
448;2022-03-05 02:01:49;21.2;47.1
449;2022-03-05 02:06:49;21.2;47.1
450;2022-03-05 02:11:49;21.2;47.1
451;2022-03-05 02:16:49;21.2;47.1
452;2022-03-05 02:21:49;21.2;47.2
453;2022-03-05 02:26:49;21.2;47.2
