Informe de datos;;;;;
Archivo creado el:2022-05-28 18:11:34;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:34:05
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V788;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2096;;MKT;20,5;
Primera lectura;2022-05-21 11:34:05;;Última lectura;2022-05-28 18:09:05;
Máximo(Temperatura);26,2°C;;Mínimo(Temperatura);17,4°C;
Promedio(Temperatura);20,4°C;;Tiempo de grabación;7D 6H 35M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);79,2%;;Mínimo(Humedad);55,7%;
Promedio(Humedad);69,9%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:34:05;23,7;59,3;;
2;2022-05-21 11:39:05;22,6;62,5;;
3;2022-05-21 11:44:05;22,7;63,9;;
4;2022-05-21 11:49:05;21,7;64,7;;
5;2022-05-21 11:54:05;21,1;66;;
6;2022-05-21 11:59:05;20,8;66,8;;
7;2022-05-21 12:04:05;21,5;66;;
8;2022-05-21 12:09:05;21,5;64,6;;
9;2022-05-21 12:14:05;21,7;64,2;;
10;2022-05-21 12:19:05;21,3;65,1;;
11;2022-05-21 12:24:05;21;65,9;;
12;2022-05-21 12:29:05;20,7;65,4;;
13;2022-05-21 12:34:05;20,9;68,2;;
14;2022-05-21 12:39:05;21,3;68,3;;
15;2022-05-21 12:44:05;21,5;67,9;;
16;2022-05-21 12:49:05;22,7;74,3;;
17;2022-05-21 12:54:05;25,6;62;;
18;2022-05-21 12:59:05;23,7;62,2;;
19;2022-05-21 13:04:05;24,7;67;;
20;2022-05-21 13:09:05;24;63,2;;
21;2022-05-21 13:14:05;23;63,5;;
22;2022-05-21 13:19:05;22,6;64,4;;
23;2022-05-21 13:24:05;22,8;64,9;;
24;2022-05-21 13:29:05;22,4;65,7;;
25;2022-05-21 13:34:05;22,2;66,6;;
26;2022-05-21 13:39:05;22,2;66,2;;
27;2022-05-21 13:44:05;22,3;66,2;;
28;2022-05-21 13:49:05;22,2;66,2;;
29;2022-05-21 13:54:05;22,2;66,6;;
30;2022-05-21 13:59:05;22,2;67,1;;
31;2022-05-21 14:04:05;22,2;67,1;;
32;2022-05-21 14:09:05;22,2;67,5;;
33;2022-05-21 14:14:05;22,2;67,5;;
34;2022-05-21 14:19:05;22,2;67,5;;
35;2022-05-21 14:24:05;22,2;68,4;;
36;2022-05-21 14:29:05;22,1;68,4;;
37;2022-05-21 14:34:05;22;67,9;;
38;2022-05-21 14:39:05;22;67,9;;
39;2022-05-21 14:44:05;21,9;67,5;;
40;2022-05-21 14:49:05;21,9;67,5;;
41;2022-05-21 14:54:05;21,9;67,5;;
42;2022-05-21 14:59:05;21,8;67,9;;
43;2022-05-21 15:04:05;21,8;67,9;;
44;2022-05-21 15:09:05;21,8;67,5;;
45;2022-05-21 15:14:05;21,8;67,5;;
46;2022-05-21 15:19:05;21,8;67,5;;
47;2022-05-21 15:24:05;21,8;67,5;;
