Place;Date;Time;Value;Unit;Value;Unit;;Unit;;Unit;;
479;23-02-2021;13:51:24;-59,3;T1 KTemp C;-52;T2 KTemp C;-52,1;T3 KTemp C;-51,8;T4 KTemp C;-54,3;-53,8
481;23-02-2021;13:52:24;-59,1;T1 KTemp C;-52;T2 KTemp C;-52,3;T3 KTemp C;-51,8;T4 KTemp C;-54,1;-53,9
483;23-02-2021;13:53:24;-59,1;T1 KTemp C;-52,2;T2 KTemp C;-52,1;T3 KTemp C;-51,9;T4 KTemp C;-54,2;-53,7
;24-02-2021;13:54:24;-59;T1 KTemp C;-52,1;T2 KTemp C;-52,2;T3 KTemp C;-51,7;T4 KTemp C;-54,2;-53,8
;25-02-2021;13:55:24;-58,9;T1 KTemp C;-52,2;T2 KTemp C;-52,2;T3 KTemp C;-51,8;T4 KTemp C;;
;26-02-2021;13:56:24;-59;;-52,3;T2 KTemp C;-53,1;T3 KTemp C;-52,8;T4 KTemp C;;
;27-02-2021;13:57:24;-59,9;;-52,4;T2 KTemp C;-53,3;T3 KTemp C;-53,4;T4 KTemp C;;
;28-02-2021;13:58:24;-60,8;;-52,5;T2 KTemp C;-53,5;T3 KTemp C;-53,8;T4 KTemp C;;
;01-03-2021;13:59:24;-61,4;;-52,7;T2 KTemp C;-53,6;T3 KTemp C;-54;T4 KTemp C;;
;02-03-2021;14:00:24;-62,1;;-52,7;T2 KTemp C;-53,6;T3 KTemp C;-53,8;T4 KTemp C;;
;03-03-2021;14:01:24;-62,6;;-52,6;T2 KTemp C;-53,7;T3 KTemp C;-53,8;T4 KTemp C;;
;04-03-2021;14:02:24;-62,9;;-52,8;T2 KTemp C;-53,7;T3 KTemp C;-54;T4 KTemp C;;
;05-03-2021;14:03:24;-63,2;;-52,8;T2 KTemp C;-53,8;T3 KTemp C;-53,9;T4 KTemp C;;
;06-03-2021;14:04:24;-63,2;;-52,8;T2 KTemp C;-53,7;T3 KTemp C;-54;T4 KTemp C;;
;07-03-2021;14:05:24;-63,2;;-52,8;T2 KTemp C;-53,8;T3 KTemp C;-53,9;T4 KTemp C;;
;08-03-2021;14:06:24;-63,2;;-53;T2 KTemp C;-53,9;T3 KTemp C;-54;T4 KTemp C;;
;09-03-2021;14:07:24;-63,2;;-53;T2 KTemp C;-54;T3 KTemp C;-54,1;T4 KTemp C;;
;10-03-2021;14:08:24;-62,9;;-53,7;T2 KTemp C;-54,6;T3 KTemp C;-54,8;T4 KTemp C;;
;11-03-2021;14:09:24;-62,8;;-54,2;T2 KTemp C;-55;T3 KTemp C;-55,4;T4 KTemp C;;
;12-03-2021;14:10:24;-62,7;;-54,6;T2 KTemp C;-55,4;T3 KTemp C;-55,6;T4 KTemp C;;
;13-03-2021;14:11:24;-62,6;;-54,9;T2 KTemp C;-55,8;T3 KTemp C;-55,9;T4 KTemp C;;
;14-03-2021;14:12:24;-62,4;;-55,3;T2 KTemp C;-56,1;T3 KTemp C;-56,1;T4 KTemp C;;
;15-03-2021;14:13:24;-62,3;;-55,8;T2 KTemp C;-56,5;T3 KTemp C;-56,9;T4 KTemp C;;
;16-03-2021;14:14:24;-62,1;;-56,2;T2 KTemp C;-57;T3 KTemp C;-57,3;T4 KTemp C;;
;17-03-2021;14:15:24;-61,9;;-56,6;T2 KTemp C;-57,6;T3 KTemp C;-57,9;T4 KTemp C;;
;18-03-2021;14:16:24;-62;;-57,2;T2 KTemp C;-58,1;T3 KTemp C;-58,5;T4 KTemp C;;
;19-03-2021;14:17:24;-62,1;;-57,8;T2 KTemp C;-58,6;T3 KTemp C;-58,9;T4 KTemp C;;
;20-03-2021;14:18:24;-62,6;;-58,5;T2 KTemp C;-59;T3 KTemp C;-59,6;T4 KTemp C;;
;21-03-2021;14:19:24;-62,9;;-58,7;T2 KTemp C;-59,1;T3 KTemp C;-59,6;T4 KTemp C;;
;22-03-2021;14:20:24;-63,2;;-58,8;T2 KTemp C;-59,4;T3 KTemp C;-59,5;T4 KTemp C;;
;23-03-2021;14:21:24;-63,2;;-58,8;T2 KTemp C;-59,5;T3 KTemp C;-59,7;T4 KTemp C;;
;24-03-2021;14:22:24;-63,2;;-58,8;T2 KTemp C;-59,4;T3 KTemp C;-59,6;T4 KTemp C;;
;25-03-2021;14:23:24;-63,2;;-58,8;T2 KTemp C;-59,4;T3 KTemp C;-59,6;T4 KTemp C;;
;26-03-2021;14:24:24;-63,2;;-58,8;T2 KTemp C;-59,4;T3 KTemp C;-59,5;T4 KTemp C;;
;27-03-2021;14:25:24;-62,9;;-58,8;T2 KTemp C;-59,5;T3 KTemp C;-59,5;T4 KTemp C;;
;28-03-2021;14:26:24;-62,8;;-58,8;T2 KTemp C;-59,5;T3 KTemp C;-59,4;T4 KTemp C;;
;29-03-2021;14:27:24;-62,7;;-58,8;T2 KTemp C;-59,5;T3 KTemp C;-59,4;T4 KTemp C;;
;30-03-2021;14:28:24;-62,6;;-58,6;T2 KTemp C;-59,4;T3 KTemp C;-59,4;T4 KTemp C;;
;31-03-2021;14:29:24;-62,4;;-58,6;T2 KTemp C;-59,3;T3 KTemp C;-59,1;T4 KTemp C;;
;01-04-2021;14:30:24;-62,3;;-58,6;T2 KTemp C;-59,2;T3 KTemp C;-59,1;T4 KTemp C;;
;02-04-2021;14:31:24;-62,1;;-58,3;T2 KTemp C;-59,1;T3 KTemp C;-58,9;T4 KTemp C;;
;03-04-2021;14:32:24;-61,9;;-58,3;T2 KTemp C;-58,9;T3 KTemp C;-58,8;T4 KTemp C;;
;04-04-2021;14:33:24;-62;;-58,2;T2 KTemp C;-58,9;T3 KTemp C;-58,9;T4 KTemp C;;
;05-04-2021;14:34:24;-62,3;;-58,2;T2 KTemp C;-58,8;T3 KTemp C;-58,7;T4 KTemp C;;
;06-04-2021;14:35:24;-62,5;;-58,1;T2 KTemp C;-58,7;T3 KTemp C;-58,4;T4 KTemp C;;
;07-04-2021;14:35:24;-63,1;;-58;T2 KTemp C;-58,6;T3 KTemp C;-58,5;T4 KTemp C;;
;08-04-2021;14:37:24;-63,7;;-57,9;T2 KTemp C;-58,5;T3 KTemp C;-58,2;T4 KTemp C;;
;09-04-2021;14:38:24;-64,1;;-57,7;T2 KTemp C;-58,4;T3 KTemp C;-58,1;T4 KTemp C;;
;10-04-2021;14:39:24;-64,8;;-57,6;T2 KTemp C;-58,3;T3 KTemp C;-58,2;T4 KTemp C;;
;11-04-2021;14:40:24;-65,3;;-58,2;T2 KTemp C;-58,8;T3 KTemp C;-58,6;T4 KTemp C;;
;12-04-2021;14:41:24;-65,8;;-58,7;T2 KTemp C;-59,1;T3 KTemp C;-59;T4 KTemp C;;
;13-04-2021;14:42:24;-66,2;;-59;T2 KTemp C;-59,5;T3 KTemp C;-59,3;T4 KTemp C;;
;14-04-2021;14:43:24;-66,7;;-59,3;T2 KTemp C;-59,7;T3 KTemp C;-59,7;T4 KTemp C;;
;15-04-2021;14:44:24;-66,7;;-59,4;T2 KTemp C;-59,9;T3 KTemp C;-59,7;T4 KTemp C;;
;16-04-2021;14:45:24;-66,8;;-59,7;T2 KTemp C;-60,2;T3 KTemp C;-60,1;T4 KTemp C;;
;17-04-2021;14:46:24;-66,8;;-60,1;T2 KTemp C;-60,6;T3 KTemp C;-60,5;T4 KTemp C;;
;18-04-2021;14:47:24;-66,7;;-60,1;T2 KTemp C;-60,6;T3 KTemp C;-60,5;T4 KTemp C;;
