RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data LoggerV342;;
Number;7184200118;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2545;;
Temperature Maximum;24°C;;
Temperature Minimum;14,8°C;;
Temperature Average;17,9°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;63%RH;;
Humidity Minimum;43,3%RH;;
Humidity Average;55,1%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-25 15:42:01;;
End Time;2022-05-04 11:42:01;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
126;2022-04-26 02:07:01;20,8;50,9
127;2022-04-26 02:12:01;20,8;50,9
128;2022-04-26 02:17:01;20,8;50,9
129;2022-04-26 02:22:01;20,8;50,9
130;2022-04-26 02:27:01;20,8;50,9
131;2022-04-26 02:32:01;20,8;50,9
132;2022-04-26 02:37:01;20,8;50,9
133;2022-04-26 02:42:01;20,8;50,9
134;2022-04-26 02:47:01;20,8;50,9
135;2022-04-26 02:52:01;20,8;50,9
136;2022-04-26 02:57:01;20,8;50,9
137;2022-04-26 03:02:01;20,8;50,9
138;2022-04-26 03:07:01;20,8;50,9
139;2022-04-26 03:12:01;20,8;50,9
140;2022-04-26 03:17:01;20,8;50,9
141;2022-04-26 03:22:01;20,8;50,9
142;2022-04-26 03:27:01;20,8;50,9
143;2022-04-26 03:32:01;20,8;50,9
144;2022-04-26 03:37:01;20,8;50,9
145;2022-04-26 03:42:01;20,8;50,9
146;2022-04-26 03:47:01;20,7;50,9
147;2022-04-26 03:52:01;20,7;50,9
148;2022-04-26 03:57:01;20,7;50,9
149;2022-04-26 04:02:01;20,7;50,9
150;2022-04-26 04:07:01;20,7;50,9
151;2022-04-26 04:12:01;20,7;50,9
152;2022-04-26 04:17:01;20,7;50,9
153;2022-04-26 04:22:01;20,7;50,9
154;2022-04-26 04:27:01;20,7;50,9
155;2022-04-26 04:32:01;20,7;50,9
156;2022-04-26 04:37:01;20,7;50,9
157;2022-04-26 04:42:01;20,7;50,9
158;2022-04-26 04:47:01;20,7;50,9
159;2022-04-26 04:52:01;20,7;50,9
160;2022-04-26 04:57:01;20,7;50,9
161;2022-04-26 05:02:01;20,7;50,9
162;2022-04-26 05:07:01;20,7;50,9
163;2022-04-26 05:12:01;20,7;50,9
164;2022-04-26 05:17:01;20,7;50,9
165;2022-04-26 05:22:01;20,7;50,9
166;2022-04-26 05:27:01;20,7;50,9
167;2022-04-26 05:32:01;20,7;50,9
168;2022-04-26 05:37:01;20,7;50,9
169;2022-04-26 05:42:01;20,7;50,9
170;2022-04-26 05:47:01;20,7;50,9
171;2022-04-26 05:52:01;20,7;50,9
172;2022-04-26 05:57:01;20,7;50,9
173;2022-04-26 06:02:01;20,7;50,9
174;2022-04-26 06:07:01;20,7;50,9
175;2022-04-26 06:12:01;20,7;50,9
176;2022-04-26 06:17:01;20,7;50,9
177;2022-04-26 06:22:01;20,7;50,9
178;2022-04-26 06:27:01;20,6;50,9
179;2022-04-26 06:32:01;20,6;50,9
180;2022-04-26 06:37:01;20,6;50,9
181;2022-04-26 06:42:01;20,6;50,9
182;2022-04-26 06:47:01;20,6;50,9
183;2022-04-26 06:52:01;20,6;50,9
184;2022-04-26 06:57:01;20,6;50,9
185;2022-04-26 07:02:01;20,6;50,9
186;2022-04-26 07:07:01;20,6;50,9
