Informe de datos;;;;;
Archivo creado el:2022-05-28 17:50:51;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;21-05-2022 11:16
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V802;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2077;;MKT;19,8;
Primera lectura;21-05-2022 11:16;;Última lectura;28-05-2022 16:16;
Máximo(Temperatura);21,6°C;;Mínimo(Temperatura);18,6°C;
Promedio(Temperatura);19,8°C;;Tiempo de grabación;7D 5H 0M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);85,50%;;Mínimo(Humedad);63,50%;
Promedio(Humedad);72,10%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:16;21,5;66;;
2;2022-05-21 11:21;21,6;65,1;;
3;2022-05-21 11:26;21;66,4;;
4;2022-05-21 11:31;20,6;67,2;;
5;2022-05-21 11:36;20,4;68,1;;
6;2022-05-21 11:41;20,3;68,5;;
7;2022-05-21 11:46;20,2;69;;
8;2022-05-21 11:51;20,1;69,4;;
9;2022-05-21 11:56;20,1;69,8;;
10;2022-05-21 12:01;20,1;69,8;;
11;2022-05-21 12:06;20;69,8;;
12;2022-05-21 12:11;20;70,3;;
13;2022-05-21 12:16;20;70,2;;
14;2022-05-21 12:21;20;70,2;;
15;2022-05-21 12:26;20;70,2;;
16;2022-05-21 12:31;20;70,2;;
17;2022-05-21 12:36;20;70,7;;
18;2022-05-21 12:41;20;70,7;;
19;2022-05-21 12:46;20;71,1;;
20;2022-05-21 12:51;19,9;71,1;;
21;2022-05-21 12:56;19,9;71,1;;
22;2022-05-21 13:01;20;71,6;;
23;2022-05-21 13:06;20;71,6;;
24;2022-05-21 13:11;20;72;;
25;2022-05-21 13:16;20;72;;
26;2022-05-21 13:21;20,1;72;;
27;2022-05-21 13:26;20,1;72;;
28;2022-05-21 13:31;20,2;72;;
29;2022-05-21 13:36;20,2;72,1;;
30;2022-05-21 13:41;20,2;72,5;;
31;2022-05-21 13:46;20,3;72,5;;
32;2022-05-21 13:51;20,3;72,1;;
33;2022-05-21 13:56;20,3;72,1;;
34;2022-05-21 14:01;20,3;72,5;;
35;2022-05-21 14:06;20,3;72,5;;
36;2022-05-21 14:11;20,3;72,5;;
37;2022-05-21 14:16;20,3;73;;
38;2022-05-21 14:21;20,3;73;;
39;2022-05-21 14:26;20,3;73;;
40;2022-05-21 14:31;20,3;73,4;;
41;2022-05-21 14:36;20,3;73,4;;
42;2022-05-21 14:41;20,3;73,4;;
43;2022-05-21 14:46;20,3;73;;
44;2022-05-21 14:51;20,3;73;;
45;2022-05-21 14:56;20,3;73;;
46;2022-05-21 15:01;20,3;73;;
47;2022-05-21 15:06;20,3;73;;
48;2022-05-21 15:11;20,3;72,9;;
49;2022-05-21 15:16;20,3;72,5;;
50;2022-05-21 15:21;20,3;72,5;;
51;2022-05-21 15:26;20,3;72,5;;
52;2022-05-21 15:31;20,3;72,5;;
53;2022-05-21 15:36;20,3;72,5;;
