Informe de datos;;;;;
Archivo creado el:2022-05-28 18:17:31;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:32:28
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V181;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2098;;MKT;19,8;
Primera lectura;2022-05-21 11:32:28;;Última lectura;2022-05-28 18:17:28;
Máximo(Temperatura);25,4°C;;Mínimo(Temperatura);17,1°C;
Promedio(Temperatura);19,8°C;;Tiempo de grabación;7D 6H 45M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);86,3%;;Mínimo(Humedad);64,3%;
Promedio(Humedad);78,4%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:32:28;24;64,3;;
2;2022-05-21 11:37:28;23,2;68,3;;
3;2022-05-21 11:42:28;22,3;70;;
4;2022-05-21 11:47:28;23,4;73,8;;
5;2022-05-21 11:52:28;23,2;66;;
6;2022-05-21 11:57:28;21,8;69,9;;
7;2022-05-21 12:02:28;21,2;70,7;;
8;2022-05-21 12:07:28;20,9;72,4;;
9;2022-05-21 12:12:28;20,6;73,3;;
10;2022-05-21 12:17:28;20,5;74,1;;
11;2022-05-21 12:22:28;20,4;73,7;;
12;2022-05-21 12:27:28;20,4;73,7;;
13;2022-05-21 12:32:28;20,4;74,1;;
14;2022-05-21 12:37:28;20,5;75,4;;
15;2022-05-21 12:42:28;20,4;75,9;;
16;2022-05-21 12:47:28;20,4;75,9;;
17;2022-05-21 12:52:28;20,4;75,9;;
18;2022-05-21 12:57:28;20,4;75,9;;
19;2022-05-21 13:02:28;20,4;75,9;;
20;2022-05-21 13:07:28;20,5;75,9;;
21;2022-05-21 13:12:28;20,6;75,9;;
22;2022-05-21 13:17:28;20,7;75,9;;
23;2022-05-21 13:22:28;20,8;75,9;;
24;2022-05-21 13:27:28;20,9;75,9;;
25;2022-05-21 13:32:28;20,9;76,4;;
26;2022-05-21 13:37:28;20,9;76,4;;
27;2022-05-21 13:42:28;21;76;;
28;2022-05-21 13:47:28;21,2;76;;
29;2022-05-21 13:52:28;21,3;76;;
30;2022-05-21 13:57:28;21,3;75,6;;
31;2022-05-21 14:02:28;21,3;76;;
32;2022-05-21 14:07:28;21,3;76,5;;
33;2022-05-21 14:12:28;21,3;76;;
34;2022-05-21 14:17:28;21,4;76,1;;
35;2022-05-21 14:22:28;21,5;76,5;;
36;2022-05-21 14:27:28;21,5;76,9;;
37;2022-05-21 14:32:28;21,5;76,1;;
38;2022-05-21 14:37:28;21,5;76,1;;
39;2022-05-21 14:42:28;21,5;75,6;;
40;2022-05-21 14:47:28;21,4;75,2;;
41;2022-05-21 14:52:28;21,4;75,6;;
42;2022-05-21 14:57:28;21,4;75,6;;
43;2022-05-21 15:02:28;21,5;75,2;;
44;2022-05-21 15:07:28;21,5;74,8;;
45;2022-05-21 15:12:28;21,6;74,4;;
46;2022-05-21 15:17:28;21,5;74,3;;
47;2022-05-21 15:22:28;21,5;74,4;;
