RC-4HC Temperature+Humidity Data Logger;;;;
User Information;RC-4HC Data Logger V556;;;
Number;719AH10153;;;
Interval    ;0:5:0 H:M:S;;;
Delay Time;0.0 H;;;
Data Sum;28/10/1905 0:00;;;
Temperature Maximum;28.5°C;;;
Temperature Minimum;19.3°C;;;
Temperature Average;22.9°C;;;
Temperature Alarm Upper Limit;60.0°C;;;
Temperature Alarm Lower Limit;-30.0°C;;;
Humidity Maximum;49.1%RH;;;
Humidity Minimum;33.4%RH;;;
Humidity Average;43.1%RH;;;
Humidity Alarm Upper Limit;90%RH;;;
Humidity Alarm Lower Limit;20%RH;;;
Start Time;03/03/2022 12:57;;;
End Time;10/03/2022 22:12;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;
Temperature Unit;°C;;;
Number;Time;Temperature°C;Humidity%RH;
130;03/03/2022 23:42;22.9;42.8;
131;03/03/2022 23:47;22.9;42.8;
132;03/03/2022 23:52;22.9;42.8;
133;03/03/2022 23:57;22.8;42.8;
134;04/03/2022 0:02;22.8;42.8;
135;04/03/2022 0:07;22.8;43.3;
136;04/03/2022 0:12;22.8;43.3;
137;04/03/2022 0:17;22.7;43.3;
138;04/03/2022 0:22;22.7;43.3;
139;04/03/2022 0:27;22.7;43.3;
140;04/03/2022 0:32;22.6;43.3;
141;04/03/2022 0:37;22.6;43.3;
142;04/03/2022 0:42;22.6;43.3;
143;04/03/2022 0:47;22.5;43.9;
144;04/03/2022 0:52;22.5;43.8;
145;04/03/2022 0:57;22.5;43.8;
146;04/03/2022 1:02;22.5;43.8;
147;04/03/2022 1:07;22.5;43.8;
148;04/03/2022 1:12;22.4;43.8;
149;04/03/2022 1:17;22.4;43.8;
150;04/03/2022 1:22;22.4;43.8;
151;04/03/2022 1:27;22.3;43.8;
152;04/03/2022 1:32;22.3;43.8;
153;04/03/2022 1:37;22.3;43.8;
154;04/03/2022 1:42;22.3;43.8;
155;04/03/2022 1:47;22.2;43.8;
156;04/03/2022 1:52;22.2;43.8;
157;04/03/2022 1:57;22.2;44.3;
158;04/03/2022 2:02;22.2;44.3;
159;04/03/2022 2:07;22.2;44.3;
160;04/03/2022 2:12;22.1;44.3;
161;04/03/2022 2:17;22.1;44.3;
162;04/03/2022 2:22;22.1;44.3;
163;04/03/2022 2:27;22;44.3;
164;04/03/2022 2:32;22;44.8;
165;04/03/2022 2:37;22;44.8;
166;04/03/2022 2:42;22;44.8;
167;04/03/2022 2:47;21.9;44.8;
168;04/03/2022 2:52;21.9;44.8;
169;04/03/2022 2:57;21.9;44.8;
170;04/03/2022 3:02;21.8;44.8;
171;04/03/2022 3:07;21.8;44.8;
172;04/03/2022 3:12;21.8;44.8;
173;04/03/2022 3:17;21.8;44.8;
174;04/03/2022 3:22;21.7;44.8;
175;04/03/2022 3:27;21.7;44.8;
176;04/03/2022 3:32;21.7;45.3;
177;04/03/2022 3:37;21.6;45.3;
178;04/03/2022 3:42;21.6;45.3;
179;04/03/2022 3:47;21.6;45.3;
180;04/03/2022 3:52;21.5;45.3;
