Informe de datos;;;;;
Archivo creado el:2022-05-28 17:33:14;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:19:29
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V820;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2091;;MKT;20,0;
Primera lectura;2022-05-21 11:19:29;;Última lectura;2022-05-28 17:29:29;
Máximo(Temperatura);26,2°C;;Mínimo(Temperatura);18,9°C;
Promedio(Temperatura);20,0°C;;Tiempo de grabación;7D 6H 10M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);78,4%;;Mínimo(Humedad);59,1%;
Promedio(Humedad);73,4%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:19:29;22;65,6;;
2;2022-05-21 11:24:29;21,7;65,6;;
3;2022-05-21 11:29:29;21;66,4;;
4;2022-05-21 11:34:29;20,6;67,7;;
5;2022-05-21 11:39:29;20,4;68,5;;
6;2022-05-21 11:44:29;20,3;69;;
7;2022-05-21 11:49:29;20,2;69,4;;
8;2022-05-21 11:54:29;20,1;69,8;;
9;2022-05-21 11:59:29;20,1;69,8;;
10;2022-05-21 12:04:29;20,1;70,3;;
11;2022-05-21 12:09:29;20,1;70,3;;
12;2022-05-21 12:14:29;20;70,2;;
13;2022-05-21 12:19:29;20;70,2;;
14;2022-05-21 12:24:29;20;70,2;;
15;2022-05-21 12:29:29;20;70,7;;
16;2022-05-21 12:34:29;20;70,7;;
17;2022-05-21 12:39:29;20,1;71,1;;
18;2022-05-21 12:44:29;20,1;71,1;;
19;2022-05-21 12:49:29;20,1;71,1;;
20;2022-05-21 12:54:29;20;71,6;;
21;2022-05-21 12:59:29;20,1;71,6;;
22;2022-05-21 13:04:29;20,1;72;;
23;2022-05-21 13:09:29;20,1;72;;
24;2022-05-21 13:14:29;20,1;72;;
25;2022-05-21 13:19:29;20,2;72;;
26;2022-05-21 13:24:29;20,2;72,5;;
27;2022-05-21 13:29:29;20,2;72,5;;
28;2022-05-21 13:34:29;20,3;72,5;;
29;2022-05-21 13:39:29;20,3;72,5;;
30;2022-05-21 13:44:29;20,3;72,9;;
31;2022-05-21 13:49:29;20,3;72,5;;
32;2022-05-21 13:54:29;20,4;72,5;;
33;2022-05-21 13:59:29;20,4;73;;
34;2022-05-21 14:04:29;20,4;73;;
35;2022-05-21 14:09:29;20,4;73;;
36;2022-05-21 14:14:29;20,4;73;;
37;2022-05-21 14:19:29;20,4;73;;
38;2022-05-21 14:24:29;20,4;73,4;;
39;2022-05-21 14:29:29;20,4;73,4;;
40;2022-05-21 14:34:29;20,4;73,8;;
41;2022-05-21 14:39:29;20,4;73,8;;
42;2022-05-21 14:44:29;20,4;73,8;;
43;2022-05-21 14:49:29;20,4;73,4;;
44;2022-05-21 14:54:29;20,4;73,4;;
45;2022-05-21 14:59:29;20,4;73,4;;
46;2022-05-21 15:04:29;20,4;73,4;;
47;2022-05-21 15:09:29;20,4;73,4;;
