RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V501;;
Number;719AH10181;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;3416;;
Temperature Maximum;32.4°C;;
Temperature Minimum;7.5°C;;
Temperature Average;15.8°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;85%RH;;
Humidity Minimum;24.5%RH;;
Humidity Average;58.6%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2020/09/09 13:00:00;;
End Time;2020/09/11 21:54:00;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2020/09/09 13:00:00;-18,9;54.1
2;2020/09/09 13:01:00;-18,7;61.5
3;2020/09/09 13:02:00;-18,2;58.5
4;2020/09/09 13:03:00;-18,4;51.4
5;2020/09/09 13:04:00;-20,5;54.9
6;2020/09/09 13:05:00;-21,9;58.5
7;2020/09/09 13:06:00;-22,7;61.6
8;2020/09/09 13:07:00;-23,2;63.8
9;2020/09/09 13:08:00;-23,6;65.1
10;2020/09/09 13:09:00;-23,8;66.5
11;2020/09/09 13:10:00;-23,8;67.8
12;2020/09/09 13:11:00;-23,9;68.2
13;2020/09/09 13:12:00;-23,9;69.1
14;2020/09/09 13:13:00;-23,9;69.1
15;2020/09/09 13:14:00;-23,9;69.5
16;2020/09/09 13:15:00;-23,9;70
17;2020/09/09 13:16:00;-23,8;70.4
18;2020/09/09 13:17:00;-23,8;70.5
19;2020/09/09 13:18:00;-23,8;70.5
20;2020/09/09 13:19:00;-23,7;70.5
21;2020/09/09 13:20:00;-23,7;70.5
22;2020/09/09 13:21:00;-23,7;70.5
23;2020/09/09 13:22:00;-23,7;70.5
24;2020/09/09 13:23:00;-23,7;70.5
25;2020/09/09 13:24:00;-23,7;70.5
26;2020/09/09 13:25:00;-23,6;70.5
27;2020/09/09 13:26:00;-23,6;70.5
28;2020/09/09 13:27:00;-23,6;70.5
29;2020/09/09 13:28:00;-23,6;70.1
30;2020/09/09 13:29:00;-23,6;70.5
31;2020/09/09 13:30:00;-23,7;70.5
32;2020/09/09 13:31:00;-23,7;70.5
33;2020/09/09 13:32:00;-23,8;70.9
34;2020/09/09 13:33:00;-23,7;70.9
35;2020/09/09 13:34:00;-23,7;71.3
36;2020/09/09 13:35:00;-23,7;71.3
37;2020/09/09 13:36:00;-23,7;71.3
38;2020/09/09 13:37:00;-23,6;71.3
39;2020/09/09 13:38:00;-23,6;71.3
40;2020/09/09 13:39:00;-23,5;71.4
41;2020/09/09 13:40:00;-23,4;71.4
42;2020/09/09 13:41:00;-23,3;71.4
43;2020/09/09 13:42:00;-23,3;71.4
44;2020/09/09 13:43:00;-23,3;71
45;2020/09/09 13:44:00;-23,3;70.5
46;2020/09/09 13:45:00;-23,4;70.5
47;2020/09/09 13:46:00;-23,4;70.1
48;2020/09/09 13:47:00;-23,5;70.5
49;2020/09/09 13:48:00;-23,6;70.5
50;2020/09/09 13:49:00;-23,7;70.5
51;2020/09/09 13:50:00;-23,8;70.4
52;2020/09/09 13:51:00;-23,9;70.4
53;2020/09/09 13:52:00;-24;70.8
54;2020/09/09 13:53:00;-24,1;70.8
55;2020/09/09 13:54:00;-24,2;71.2
56;2020/09/09 13:55:00;-24,3;71.6
57;2020/09/09 13:56:00;-24,3;71.6
58;2020/09/09 13:57:00;-24,4;72
59;2020/09/09 13:58:00;-24,5;72
60;2020/09/09 13:59:00;-24,6;72.4
61;2020/09/09 14:00:00;-24,6;72.8
62;2020/09/09 14:01:00;-24,7;72.8
63;2020/09/09 14:02:00;-24,8;73.2
64;2020/09/09 14:03:00;-24,9;73.1
65;2020/09/09 14:04:00;-25;73.5
66;2020/09/09 14:05:00;-25,1;73.5
67;2020/09/09 14:06:00;-25,1;73.9
68;2020/09/09 14:07:00;-25,2;73.9
69;2020/09/09 14:08:00;-25,3;74.3
70;2020/09/09 14:09:00;-25,4;74.3
71;2020/09/09 14:10:00;-25,4;74.3
72;2020/09/09 14:11:00;-25,5;74.3
73;2020/09/09 14:12:00;-25,6;74.7
74;2020/09/09 14:13:00;-25,7;74.6
75;2020/09/09 14:14:00;-25,7;74.6
76;2020/09/09 14:15:00;-25,8;75
77;2020/09/09 14:16:00;-25,8;75
78;2020/09/09 14:17:00;-25,9;75
79;2020/09/09 14:18:00;-25,9;75
80;2020/09/09 14:19:00;-26;75
81;2020/09/09 14:20:00;-26;75.4
82;2020/09/09 14:21:00;-26,1;75.4
83;2020/09/09 14:22:00;-26,2;75.4
84;2020/09/09 14:23:00;-26,2;75.4
85;2020/09/09 14:24:00;-26,3;75.3
86;2020/09/09 14:25:00;-26,3;75.8
87;2020/09/09 14:26:00;-26,3;75.7
88;2020/09/09 14:27:00;-26,4;75.7
89;2020/09/09 14:28:00;-26,4;75.7
90;2020/09/09 14:29:00;-26,5;75.7
91;2020/09/09 14:30:00;-26,5;75.7
92;2020/09/09 14:31:00;-26,5;75.7
93;2020/09/09 14:32:00;-26,5;75.7
94;2020/09/09 14:33:00;-26,5;75.7
95;2020/09/09 14:34:00;-26,5;76.1
96;2020/09/09 14:35:00;-26,6;76.1
97;2020/09/09 14:36:00;-26,6;76.1
98;2020/09/09 14:37:00;-26,6;76.1
99;2020/09/09 14:38:00;-26,7;76.1
100;2020/09/09 14:39:00;-26,7;76.1
101;2020/09/09 14:40:00;-26,7;76.1
102;2020/09/09 14:41:00;-26,7;76.1
103;2020/09/09 14:42:00;-26,8;76.1
104;2020/09/09 14:43:00;-26,8;76.1
105;2020/09/09 14:44:00;-26,8;76.5
106;2020/09/09 14:45:00;-26,8;76.5
107;2020/09/09 14:46:00;-26,8;76.5
108;2020/09/09 14:47:00;-26,8;76.5
109;2020/09/09 14:48:00;-26,8;76.5
110;2020/09/09 14:49:00;-26,8;76.5
111;2020/09/09 14:50:00;-26,8;76.4
112;2020/09/09 14:51:00;-26,8;76.5
113;2020/09/09 14:52:00;-26,8;76.5
114;2020/09/09 14:53:00;-26,8;76.5
115;2020/09/09 14:54:00;-26,8;76.9
116;2020/09/09 14:55:00;-26,8;76.9
117;2020/09/09 14:56:00;-26,8;76.9
118;2020/09/09 14:57:00;-26,8;76.9
119;2020/09/09 14:58:00;-26,8;76.9
120;2020/09/09 14:59:00;-26,8;76.9
121;2020/09/09 15:00:00;-26,8;76.9
122;2020/09/09 15:01:00;-26,8;76.9
123;2020/09/09 15:02:00;-26,8;76.9
124;2020/09/09 15:03:00;-26,8;76.9
125;2020/09/09 15:04:00;-26,8;76.9
126;2020/09/09 15:05:00;-26,8;76.9
127;2020/09/09 15:06:00;-26,8;77.3
128;2020/09/09 15:07:00;-26,8;76.9
129;2020/09/09 15:08:00;-26,8;77.3
130;2020/09/09 15:09:00;-26,8;77.3
131;2020/09/09 15:10:00;-26,8;77.3
132;2020/09/09 15:11:00;-26,8;77.3
133;2020/09/09 15:12:00;-26,8;77.3
134;2020/09/09 15:13:00;-26,8;77.3
135;2020/09/09 15:14:00;-26,8;77.3
136;2020/09/09 15:15:00;-26,8;77.3
137;2020/09/09 15:16:00;-26,8;77.3
138;2020/09/09 15:17:00;-26,9;77.3
139;2020/09/09 15:18:00;-26,9;77.3
140;2020/09/09 15:19:00;-26,9;77.3
141;2020/09/09 15:20:00;-26,9;77.3
142;2020/09/09 15:21:00;-26,9;77.3
143;2020/09/09 15:22:00;-26,9;77.3
144;2020/09/09 15:23:00;-26,9;77.7
145;2020/09/09 15:24:00;-26,9;77.7
146;2020/09/09 15:25:00;-26,9;77.7
147;2020/09/09 15:26:00;-26,9;77.7
148;2020/09/09 15:27:00;-26,9;77.7
149;2020/09/09 15:28:00;-26,9;77.7
150;2020/09/09 15:29:00;-26,9;77.7
151;2020/09/09 15:30:00;-26,9;77.7
152;2020/09/09 15:31:00;-26,9;77.7
153;2020/09/09 15:32:00;-26,9;78.1
154;2020/09/09 15:33:00;-26,9;77.7
155;2020/09/09 15:34:00;-26,9;78.1
156;2020/09/09 15:35:00;-26,9;78.1
157;2020/09/09 15:36:00;-26,9;78.1
158;2020/09/09 15:37:00;-26,9;78.1
159;2020/09/09 15:38:00;-26,9;78.1
160;2020/09/09 15:39:00;-26,9;78.1
161;2020/09/09 15:40:00;-26,9;78.5
162;2020/09/09 15:41:00;-26,9;78.5
163;2020/09/09 15:42:00;-26,9;78.9
164;2020/09/09 15:43:00;-26,9;78.9
165;2020/09/09 15:44:00;-26,9;78.9
166;2020/09/09 15:45:00;-26,9;78.9
167;2020/09/09 15:46:00;-26,9;78.9
168;2020/09/09 15:47:00;-26,9;78.9
169;2020/09/09 15:48:00;-26,9;78.9
170;2020/09/09 15:49:00;-26,9;78.9
171;2020/09/09 15:50:00;-26,9;78.9
172;2020/09/09 15:51:00;-26,9;79.3
173;2020/09/09 15:52:00;-26,9;79.3
174;2020/09/09 15:53:00;-26,9;79.3
175;2020/09/09 15:54:00;-26,9;79.7
176;2020/09/09 15:55:00;-26,9;79.7
177;2020/09/09 15:56:00;-26,9;79.7
178;2020/09/09 15:57:00;-26,9;79.7
