Place;Date;Time;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit
;23-02-2021;14:31:24;-65,1;;-65,3;T1 KTemp C;-68,3;T2 KTemp C;-61,5;T3 KTemp C;-62,2;T4 KTemp C
;23-02-2021;14:32:24;-65,1;;-65,3;T1 KTemp C;-68,3;T2 KTemp C;-61,5;T3 KTemp C;-62,2;T4 KTemp C
;23-02-2021;14:33:24;-65,1;;-65,3;T1 KTemp C;-68,3;T2 KTemp C;-61,5;T3 KTemp C;-62,2;T4 KTemp C
;23-02-2021;14:34:24;-65,1;;-65,3;T1 KTemp C;-68,3;T2 KTemp C;-61,5;T3 KTemp C;-62,2;T4 KTemp C
;23-02-2021;14:35:24;-65,1;;-65,3;T1 KTemp C;-68,3;T2 KTemp C;-61,5;T3 KTemp C;-62,2;T4 KTemp C
;23-02-2021;14:35:24;-65,1;;-65,3;T1 KTemp C;-68,3;T2 KTemp C;-61,5;T3 KTemp C;-62,2;T4 KTemp C
;23-02-2021;14:37:24;-65,1;;-65,3;T1 KTemp C;-68,3;T2 KTemp C;-61,5;T3 KTemp C;-62,2;T4 KTemp C
;23-02-2021;14:38:24;-65,1;;-65,3;T1 KTemp C;-68,3;T2 KTemp C;-61,5;T3 KTemp C;-62,2;T4 KTemp C
;23-02-2021;14:39:24;-65,1;;-65,3;T1 KTemp C;-68,3;T2 KTemp C;-61,5;T3 KTemp C;-62,2;T4 KTemp C
;23-02-2021;14:40:24;-65,1;;-65,3;T1 KTemp C;-68,3;T2 KTemp C;-61,5;T3 KTemp C;-62,2;T4 KTemp C
;23-02-2021;14:41:24;-65,1;;-65,3;T1 KTemp C;-68,3;T2 KTemp C;-61,5;T3 KTemp C;-62,2;T4 KTemp C
;23-02-2021;14:42:24;-65,1;;-65,3;T1 KTemp C;-68,3;T2 KTemp C;-61,5;T3 KTemp C;-62,2;T4 KTemp C
;23-02-2021;14:43:24;-65,1;;-65,3;T1 KTemp C;-68,3;T2 KTemp C;-61,5;T3 KTemp C;-62,2;T4 KTemp C
;23-02-2021;14:44:24;-65,1;;-65,3;T1 KTemp C;-68,3;T2 KTemp C;-61,5;T3 KTemp C;-62,2;T4 KTemp C
;23-02-2021;14:45:24;-65,1;;-65,3;T1 KTemp C;-68,3;T2 KTemp C;-61,5;T3 KTemp C;-62,2;T4 KTemp C
;23-02-2021;14:46:24;-65,1;;-65,3;T1 KTemp C;-68,3;T2 KTemp C;-61,5;T3 KTemp C;-62,2;T4 KTemp C
;23-02-2021;14:47:24;-65,1;;-65,3;T1 KTemp C;-68,3;T2 KTemp C;-61,5;T3 KTemp C;-62,2;T4 KTemp C
