RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V447;;
Number;719AH10098;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;3633;;
Temperature Maximum;26,4°C;;
Temperature Minimum;12,4°C;;
Temperature Average;16,8°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;69,3%RH;;
Humidity Minimum;31,5%RH;;
Humidity Average;58,2%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;16/5/2022 09:49;;
End Time;29/5/2022 00:29;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-05-16 09:49:24;18,6;49,6
2;2022-05-16 09:54:24;19,2;48,6
3;2022-05-16 09:59:24;19,4;48,7
4;2022-05-16 10:04:24;19,1;47,6
5;2022-05-16 10:09:24;18,7;47,5
6;2022-05-16 10:14:24;18,4;47
7;2022-05-16 10:19:24;18,4;46,5
8;2022-05-16 10:24:24;18,7;60,4
9;2022-05-16 10:29:24;19;45,5
10;2022-05-16 10:34:24;17,2;45,8
11;2022-05-16 10:39:24;16,4;46,2
12;2022-05-16 10:44:24;15,9;47,2
13;2022-05-16 10:49:24;15,7;47,7
14;2022-05-16 10:54:24;15,6;47,7
15;2022-05-16 10:59:24;15,5;48,2
16;2022-05-16 11:04:24;15,5;48,2
17;2022-05-16 11:09:24;15,5;48,2
18;2022-05-16 11:14:24;15,5;48,2
19;2022-05-16 11:19:24;15,6;48,2
20;2022-05-16 11:24:24;15,6;48,2
21;2022-05-16 11:29:24;15,7;48,2
22;2022-05-16 11:34:24;15,7;48,7
23;2022-05-16 11:39:24;15,8;48,7
24;2022-05-16 11:44:24;15,9;48,7
25;2022-05-16 11:49:24;15,9;48,7
26;2022-05-16 11:54:24;15,9;48,2
27;2022-05-16 11:59:24;16;48,2
28;2022-05-16 12:04:24;16;48,2
29;2022-05-16 12:09:24;16,1;48,2
30;2022-05-16 12:14:24;16,2;48,2
31;2022-05-16 12:19:24;16,2;48,3
32;2022-05-16 12:24:24;16,3;48,3
33;2022-05-16 12:29:24;16,4;48,3
34;2022-05-16 12:34:24;16,4;48,3
35;2022-05-16 12:39:24;16,5;48,8
36;2022-05-16 12:44:24;16,5;48,8
37;2022-05-16 12:49:24;16,5;49,3
38;2022-05-16 12:54:24;16,6;49,3
39;2022-05-16 12:59:24;16,6;49,3
40;2022-05-16 13:04:24;16,7;49,3
41;2022-05-16 13:09:24;16,7;49,8
42;2022-05-16 13:14:24;16,7;50,3
43;2022-05-16 13:19:24;16,8;50,3
44;2022-05-16 13:24:24;16,8;50,3
45;2022-05-16 13:29:24;16,9;50,3
46;2022-05-16 13:34:24;16,9;50,4
47;2022-05-16 13:39:24;17;50,4
48;2022-05-16 13:44:24;17;50,4
49;2022-05-16 13:49:24;17;50,4
50;2022-05-16 13:54:24;17,1;50,4
51;2022-05-16 13:59:24;17,1;50,4
52;2022-05-16 14:04:24;17,2;50,4
53;2022-05-16 14:09:24;17,2;50,4
54;2022-05-16 14:14:24;17,2;50,4
55;2022-05-16 14:19:24;17,2;50,4
56;2022-05-16 14:24:24;17,3;50,4
57;2022-05-16 14:29:24;17,4;50,4
58;2022-05-16 14:34:24;17,4;50,9
59;2022-05-16 14:39:24;17,5;50,9
60;2022-05-16 14:44:24;17,5;51,4
61;2022-05-16 14:49:24;17,5;51,4
62;2022-05-16 14:54:24;17,6;51,4
63;2022-05-16 14:59:24;17,6;51,4
64;2022-05-16 15:04:24;17,6;51,4
65;2022-05-16 15:09:24;17,7;51,5
66;2022-05-16 15:14:24;17,7;51,5
67;2022-05-16 15:19:24;17,7;51,5
68;2022-05-16 15:24:24;17,8;51,5
69;2022-05-16 15:29:24;17,8;51,5
70;2022-05-16 15:34:24;17,8;51,5
71;2022-05-16 15:39:24;17,8;51,5
72;2022-05-16 15:44:24;17,9;51,5
73;2022-05-16 15:49:24;17,9;51,5
74;2022-05-16 15:54:24;17,9;51,5
75;2022-05-16 15:59:24;17,9;51,5
76;2022-05-16 16:04:24;17,9;51,5
77;2022-05-16 16:09:24;17,9;51,5
78;2022-05-16 16:14:24;17,9;51,5
79;2022-05-16 16:19:24;17,9;51,5
80;2022-05-16 16:24:24;17,9;51,5
81;2022-05-16 16:29:24;17,9;51,5
82;2022-05-16 16:34:24;17,9;51,5
83;2022-05-16 16:39:24;17,9;51,5
84;2022-05-16 16:44:24;17,9;51,5
85;2022-05-16 16:49:24;17,9;51,5
86;2022-05-16 16:54:24;17,8;51,5
87;2022-05-16 16:59:24;17,8;51,5
88;2022-05-16 17:04:24;17,8;51,5
89;2022-05-16 17:09:24;17,8;51,5
90;2022-05-16 17:14:24;17,8;51,5
91;2022-05-16 17:19:24;17,7;51,5
92;2022-05-16 17:24:24;17,7;51,5
93;2022-05-16 17:29:24;17,6;52
94;2022-05-16 17:34:24;17,6;51,9
95;2022-05-16 17:39:24;17,5;51,9
96;2022-05-16 17:44:24;17,5;52,4
97;2022-05-16 17:49:24;17,4;52,4
98;2022-05-16 17:54:24;17,4;52,4
99;2022-05-16 17:59:24;17,3;52,4
100;2022-05-16 18:04:24;17,2;52,4
