Informe de datos;;;;;
Archivo creado el:2022-05-28 17:29:52;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:08:47
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V818;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2082;;MKT;19,8;
Primera lectura;2022-05-21 11:08:47;;Última lectura;2022-05-28 16:33:47;
Máximo(Temperatura);24,1°C;;Mínimo(Temperatura);18,4°C;
Promedio(Temperatura);19,8°C;;Tiempo de grabación;7D 5H 25M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);78,8%;;Mínimo(Humedad);61,2%;
Promedio(Humedad);72,7%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:08:47;24,1;61,8;;
2;2022-05-21 11:13:47;23;61,2;;
3;2022-05-21 11:18:47;21,9;63,8;;
4;2022-05-21 11:23:47;21,2;65,6;;
5;2022-05-21 11:28:47;20,8;66,4;;
6;2022-05-21 11:33:47;20,6;67,3;;
7;2022-05-21 11:38:47;20,5;68,2;;
8;2022-05-21 11:43:47;20,4;68,6;;
9;2022-05-21 11:48:47;20,3;69;;
10;2022-05-21 11:53:47;20,3;69,5;;
11;2022-05-21 11:58:47;20,3;69,5;;
12;2022-05-21 12:03:47;20,2;69,9;;
13;2022-05-21 12:08:47;20,2;69,9;;
14;2022-05-21 12:13:47;20,2;70,4;;
15;2022-05-21 12:18:47;20,2;70,4;;
16;2022-05-21 12:23:47;20,1;70,3;;
17;2022-05-21 12:28:47;20,1;70,3;;
18;2022-05-21 12:33:47;20,1;70,3;;
19;2022-05-21 12:38:47;20,1;70,8;;
20;2022-05-21 12:43:47;20,1;70,8;;
21;2022-05-21 12:48:47;20,1;71,2;;
22;2022-05-21 12:53:47;20,1;71,2;;
23;2022-05-21 12:58:47;20,1;71,7;;
24;2022-05-21 13:03:47;20,1;71,7;;
25;2022-05-21 13:08:47;20,1;71,7;;
26;2022-05-21 13:13:47;20,1;72,1;;
27;2022-05-21 13:18:47;20,1;72,1;;
28;2022-05-21 13:23:47;20,2;72,1;;
29;2022-05-21 13:28:47;20,3;72,1;;
30;2022-05-21 13:33:47;20,3;72,1;;
31;2022-05-21 13:38:47;20,3;72,6;;
32;2022-05-21 13:43:47;20,3;72,6;;
33;2022-05-21 13:48:47;20,3;72,6;;
34;2022-05-21 13:53:47;20,3;72,6;;
35;2022-05-21 13:58:47;20,3;72,6;;
36;2022-05-21 14:03:47;20,3;73;;
37;2022-05-21 14:08:47;20,3;73;;
38;2022-05-21 14:13:47;20,3;73;;
39;2022-05-21 14:18:47;20,3;73,5;;
40;2022-05-21 14:23:47;20,3;73,5;;
41;2022-05-21 14:28:47;20,3;73,5;;
42;2022-05-21 14:33:47;20,3;73,9;;
43;2022-05-21 14:38:47;20,3;73,9;;
44;2022-05-21 14:43:47;20,3;73,9;;
45;2022-05-21 14:48:47;20,3;73,9;;
46;2022-05-21 14:53:47;20,3;73,5;;
