;1;2;3;4;5;6;7;8;9;10;11
;Sonda 1 BC 2;Sonda 3 BC 2;Sonda 2 BC 2;Sonda 1 9F 3;Sonda 2 9F 3;Sonda 3 9F 3;Sonda 4 BC 2;Sonda 4 146 1;Sonda 1 146 1;Sonda 3 146 1;Sonda 2 146 1
04-03-2021 6:47;-75,33;-75,72;-77,08;-79,81;-79,81;-80,17;-76,89;-78,44;-75,33;-75,14;-75,91
04-03-2021 6:48;-75,14;-75,72;-77,08;-79,81;-79,81;-80,36;-76,89;-78,44;-75,33;-75,14;-75,91
04-03-2021 6:49;-75,14;-75,53;-77,08;-79,81;-79,81;-80,17;-76,69;-78,44;-75,14;-74,94;-75,72
04-03-2021 6:50;-74,94;-75,53;-77,08;-79,81;-79,81;-79,98;-76,69;-78,44;-74,94;-74,94;-75,53
04-03-2021 6:51;-74,75;-75,53;-77,08;-79,61;-79,81;-80,17;-76,69;-78,25;-74,75;-74,75;-75,53
04-03-2021 6:52;-74,55;-75,33;-77,08;-79,61;-79,61;-79,98;-76,5;-78,25;-74,75;-74,55;-75,53
04-03-2021 6:53;-74,55;-75,33;-76,89;-79,42;-79,42;-79,81;-76,5;-78,25;-74,75;-74,36;-75,53
04-03-2021 6:54;-74,36;-75,14;-77,08;-79,22;-79,42;-79,81;-76,5;-78,05;-74,55;-74,36;-75,33
04-03-2021 6:55;-74,16;-75,14;-76,89;-79,22;-79,22;-79,42;-76,3;-78,25;-74,36;-74,36;-75,33
04-03-2021 6:56;-74,16;-74,94;-76,89;-79,22;-79,22;-79,42;-76,3;-78,44;-74,75;-74,36;-75,53
04-03-2021 6:57;-74,16;-74,94;-76,89;-79,03;-79,03;-79,42;-76,3;-77,86;-74,75;-74,16;-75,33
04-03-2021 6:58;-74,16;-74,94;-76,89;-79,03;-79,03;-79,22;-76,3;-78,64;-74,94;-74,55;-75,53
04-03-2021 6:59;-74,16;-74,94;-77,08;-79,03;-79,22;-79,22;-76,3;-78,05;-75,33;-75,14;-75,72
04-03-2021 7:00;-74,16;-74,94;-76,89;-79,03;-79,03;-79,42;-76,5;-78,44;-75,33;-75,33;-75,91
04-03-2021 7:01;-74,36;-75,14;-76,89;-79,22;-79,22;-79,22;-76,5;-78,05;-75,53;-75,53;-76,5
04-03-2021 7:02;-74,55;-75,14;-77,08;-79,22;-79,22;-79,22;-76,3;-78,83;-75,72;-75,53;-76,69
04-03-2021 7:03;-74,55;-75,33;-76,89;-79,42;-79,42;-79,42;-76,5;-78,44;-75,72;-75,53;-76,5
04-03-2021 7:04;-74,55;-75,33;-77,08;-79,22;-79,42;-79,61;-76,3;-78,25;-76,11;-75,53;-76,11
04-03-2021 7:05;-74,75;-75,33;-76,89;-79,81;-79,61;-79,61;-76,5;-78,64;-75,72;-75,53;-76,3
04-03-2021 7:06;-74,75;-75,53;-77,08;-79,61;-79,42;-79,61;-76,5;-78,64;-75,53;-75,53;-76,3
04-03-2021 7:07;-74,94;-75,53;-77,08;-79,61;-79,81;-79,98;-76,5;-78,25;-75,53;-75,53;-76,11
04-03-2021 7:09;-74,94;-75,53;-77,08;-79,61;-79,61;-79,81;-76,5;-78,64;-75,53;-75,33;-76,11
04-03-2021 7:10;-75,14;-75,53;-77,08;-79,61;-79,61;-79,81;-76,69;-78,25;-75,53;-75,14;-75,72
04-03-2021 7:11;-75,14;-75,53;-77,08;-79,81;-79,81;-80,17;-76,5;-78,83;-75,14;-75,14;-75,91
04-03-2021 7:12;-75,33;-75,53;-76,89;-79,61;-79,98;-79,81;-76,89;-78,83;-75,33;-75,14;-76,11
04-03-2021 7:13;-75,33;-75,72;-77,08;-79,81;-79,81;-80,17;-76,89;-78,44;-75,53;-75,14;-75,91
04-03-2021 7:14;-75,33;-75,72;-77,08;-79,81;-79,98;-80,17;-77,08;-78,44;-75,33;-75,14;-75,91
04-03-2021 7:15;-75,14;-75,72;-77,08;-79,81;-79,81;-80,17;-76,89;-78,44;-75,33;-74,94;-75,91
04-03-2021 7:16;-75,14;-75,72;-77,08;-79,81;-79,81;-80,17;-76,69;-78,44;-75,14;-74,94;-75,72
