RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V400;;
Number;7184200157;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2655;;
Temperature Maximum;22,7°C;;
Temperature Minimum;11,8°C;;
Temperature Average;16,3°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;69,1%RH;;
Humidity Minimum;48,7%RH;;
Humidity Average;60,9%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-23 10:17:23;;
End Time;2022-05-02 15:27:23;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
123;2022-04-23 20:27:23;18,6;56,6
124;2022-04-23 20:32:23;18,6;56,6
125;2022-04-23 20:37:23;18,6;56,6
126;2022-04-23 20:42:23;18,6;56,6
127;2022-04-23 20:47:23;18,6;56,6
128;2022-04-23 20:52:23;18,6;56,6
129;2022-04-23 20:57:23;18,5;56,6
130;2022-04-23 21:02:23;18,5;56,6
131;2022-04-23 21:07:23;18,5;56,6
132;2022-04-23 21:12:23;18,5;57,1
133;2022-04-23 21:17:23;18,4;57,1
134;2022-04-23 21:22:23;18,4;57,1
135;2022-04-23 21:27:23;18,4;57,1
136;2022-04-23 21:32:23;18,4;57
137;2022-04-23 21:37:23;18,3;57
138;2022-04-23 21:42:23;18,3;57
139;2022-04-23 21:47:23;18,2;57
140;2022-04-23 21:52:23;18,2;57
141;2022-04-23 21:57:23;18,2;57
142;2022-04-23 22:02:23;18,2;57
143;2022-04-23 22:07:23;18,1;57
144;2022-04-23 22:12:23;18,1;57,5
145;2022-04-23 22:17:23;18,1;57,5
146;2022-04-23 22:22:23;18;57,5
147;2022-04-23 22:27:23;18;57,5
148;2022-04-23 22:32:23;18;57,5
149;2022-04-23 22:37:23;18;57,5
150;2022-04-23 22:42:23;18;57,5
151;2022-04-23 22:47:23;17,9;57,5
152;2022-04-23 22:52:23;17,9;57,5
153;2022-04-23 22:57:23;17,9;57,5
154;2022-04-23 23:02:23;17,8;57,9
155;2022-04-23 23:07:23;17,8;57,9
156;2022-04-23 23:12:23;17,7;57,9
157;2022-04-23 23:17:23;17,7;57,9
158;2022-04-23 23:22:23;17,6;57,9
159;2022-04-23 23:27:23;17,6;58,4
160;2022-04-23 23:32:23;17,5;58,4
161;2022-04-23 23:37:23;17,5;58,4
162;2022-04-23 23:42:23;17,5;58,4
163;2022-04-23 23:47:23;17,4;58,4
164;2022-04-23 23:52:23;17,4;58,4
165;2022-04-23 23:57:23;17,3;58,8
166;2022-04-24 00:02:23;17,3;58,8
167;2022-04-24 00:07:23;17,3;58,8
168;2022-04-24 00:12:23;17,2;58,8
