Informe de datos;;;;;
Archivo creado el:2022-05-28 18:56:57;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:32:18
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V784;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2105;;MKT;20,8;
Primera lectura;2022-05-21 11:32:18;;Última lectura;2022-05-28 18:52:18;
Máximo(Temperatura);26,5°C;;Mínimo(Temperatura);17,4°C;
Promedio(Temperatura);20,6°C;;Tiempo de grabación;7D 7H 20M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);79,1%;;Mínimo(Humedad);53,8%;
Promedio(Humedad);69,2%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:32:18;24,2;58,4;;
2;2022-05-21 11:37:18;23,3;61,7;;
3;2022-05-21 11:42:18;22,3;63,4;;
4;2022-05-21 11:47:18;22,1;64,3;;
5;2022-05-21 11:52:18;21,5;65,1;;
6;2022-05-21 11:57:18;21,2;66;;
7;2022-05-21 12:02:18;20,9;66,9;;
8;2022-05-21 12:07:18;20,7;67,3;;
9;2022-05-21 12:12:18;20,5;67,7;;
10;2022-05-21 12:17:18;20,4;68,1;;
11;2022-05-21 12:22:18;20,3;68,6;;
12;2022-05-21 12:27:18;20,3;69;;
13;2022-05-21 12:32:18;20,3;69,9;;
14;2022-05-21 12:37:18;20,9;69,6;;
15;2022-05-21 12:42:18;21,2;69,6;;
16;2022-05-21 12:47:18;21,4;68,8;;
17;2022-05-21 12:52:18;21,4;68,3;;
18;2022-05-21 12:57:18;22,6;67,2;;
19;2022-05-21 13:02:18;22;67,1;;
20;2022-05-21 13:07:18;21,8;67;;
21;2022-05-21 13:12:18;21,9;66,6;;
22;2022-05-21 13:17:18;22;66,6;;
23;2022-05-21 13:22:18;22,1;67,1;;
24;2022-05-21 13:27:18;22,2;67,1;;
25;2022-05-21 13:32:18;22,3;67,1;;
26;2022-05-21 13:37:18;22,4;66,7;;
27;2022-05-21 13:42:18;22,5;66,2;;
28;2022-05-21 13:47:18;22,6;65,8;;
29;2022-05-21 13:52:18;22,5;66,2;;
30;2022-05-21 13:57:18;22,4;66,7;;
31;2022-05-21 14:02:18;22,4;67,1;;
32;2022-05-21 14:07:18;22,4;67,1;;
33;2022-05-21 14:12:18;22,4;67,1;;
34;2022-05-21 14:17:18;22,3;67,1;;
35;2022-05-21 14:22:18;22,3;68;;
36;2022-05-21 14:27:18;22,3;68,5;;
37;2022-05-21 14:32:18;22,2;67,5;;
38;2022-05-21 14:37:18;22,1;68;;
39;2022-05-21 14:42:18;22,1;67,5;;
40;2022-05-21 14:47:18;22;67,5;;
41;2022-05-21 14:52:18;22;67,5;;
42;2022-05-21 14:57:18;22;67,5;;
43;2022-05-21 15:02:18;21,9;67,5;;
44;2022-05-21 15:07:18;21,9;67,5;;
45;2022-05-21 15:12:18;21,9;67,5;;
46;2022-05-21 15:17:18;21,9;67;;
47;2022-05-21 15:22:18;21,9;67;;
