RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data LoggerV387;;
Number;7184400766;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;2277;;
Temperature Maximum;25.3°C;;
Temperature Minimum;15.1°C;;
Temperature Average;18.7°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;68%RH;;
Humidity Minimum;45.9%RH;;
Humidity Average;56.6%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-20 10:28:32;;
End Time;2022-04-28 08:08:32;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-04-20 10:28:32;19.6;52.3
2;2022-04-20 10:33:32;18.9;52.7
3;2022-04-20 10:38:32;18.5;54.6
4;2022-04-20 10:43:32;18.4;54.6
5;2022-04-20 10:48:32;18.3;54.6
6;2022-04-20 10:53:32;18.3;55.1
7;2022-04-20 10:58:32;18.9;54.2
8;2022-04-20 11:03:32;18.5;54.6
9;2022-04-20 11:08:32;18.2;55.1
10;2022-04-20 11:13:32;18.2;55.5
11;2022-04-20 11:18:32;18.2;55.5
12;2022-04-20 11:23:32;18.3;55.6
13;2022-04-20 11:28:32;18.4;55.6
14;2022-04-20 11:33:32;18.5;55.6
15;2022-04-20 11:38:32;18.6;55.6
16;2022-04-20 11:43:32;18.6;55.6
17;2022-04-20 11:48:32;18.8;55.6
18;2022-04-20 11:53:32;19.1;55.7
19;2022-04-20 11:58:32;19.3;55.2
20;2022-04-20 12:03:32;19.4;55.2
21;2022-04-20 12:08:32;19.5;54.8
22;2022-04-20 12:13:32;19.6;54.8
23;2022-04-20 12:18:32;19.7;54.8
24;2022-04-20 12:23:32;19.8;54.8
25;2022-04-20 12:28:32;19.8;54.3
26;2022-04-20 12:33:32;19.9;54.3
27;2022-04-20 12:38:32;19.9;54.3
28;2022-04-20 12:43:32;20;54.3
29;2022-04-20 12:48:32;20.1;53.8
30;2022-04-20 12:53:32;20.2;53.9
31;2022-04-20 12:58:32;20.3;53.9
32;2022-04-20 13:03:32;20.3;53.9
33;2022-04-20 13:08:32;20.4;53.4
34;2022-04-20 13:13:32;20.5;53.4
35;2022-04-20 13:18:32;20.6;52.9
36;2022-04-20 13:23:32;20.7;52.9
37;2022-04-20 13:28:32;20.8;52.9
38;2022-04-20 13:33:32;20.8;52.9
39;2022-04-20 13:38:32;20.9;52.5
40;2022-04-20 13:43:32;21;52.5
41;2022-04-20 13:48:32;21.1;52.5
42;2022-04-20 13:53:32;21.1;52
43;2022-04-20 13:58:32;21.2;52
44;2022-04-20 14:03:32;21.3;52
45;2022-04-20 14:08:32;21.4;52
46;2022-04-20 14:13:32;21.5;51.5
47;2022-04-20 14:18:32;21.5;51
48;2022-04-20 14:23:32;21.6;51
49;2022-04-20 14:28:32;21.7;51
50;2022-04-20 14:33:32;21.7;51
51;2022-04-20 14:38:32;21.8;50
52;2022-04-20 14:43:32;21.8;50
53;2022-04-20 14:48:32;21.9;50
54;2022-04-20 14:53:32;21.9;49.5
55;2022-04-20 14:58:32;21.9;49.5
56;2022-04-20 15:03:32;22;50.1
57;2022-04-20 15:08:32;22;49.6
58;2022-04-20 15:13:32;22.1;49.6
59;2022-04-20 15:18:32;22.2;49.6
60;2022-04-20 15:23:32;22.2;49.1
61;2022-04-20 15:28:32;22.3;48.6
62;2022-04-20 15:33:32;22.4;48.6
63;2022-04-20 15:38:32;22.4;48.1
64;2022-04-20 15:43:32;22.5;48.1
65;2022-04-20 15:48:32;22.6;47.6
66;2022-04-20 15:53:32;22.6;47.6
67;2022-04-20 15:58:32;22.6;47.6
68;2022-04-20 16:03:32;22.7;47
69;2022-04-20 16:08:32;22.7;47.1
70;2022-04-20 16:13:32;22.8;47.1
71;2022-04-20 16:18:32;22.8;47.1
72;2022-04-20 16:23:32;22.9;47.6
73;2022-04-20 16:28:32;22.9;47.1
74;2022-04-20 16:33:32;22.9;46.6
75;2022-04-20 16:38:32;22.9;46
76;2022-04-20 16:43:32;22.8;46
77;2022-04-20 16:48:32;22.8;46
78;2022-04-20 16:53:32;22.7;46
79;2022-04-20 16:58:32;22.6;46
80;2022-04-20 17:03:32;22.6;46
81;2022-04-20 17:08:32;22.6;46
82;2022-04-20 17:13:32;22.6;46
83;2022-04-20 17:18:32;22.5;46
84;2022-04-20 17:23:32;22.5;46
85;2022-04-20 17:28:32;22.5;46
86;2022-04-20 17:33:32;22.5;46
87;2022-04-20 17:38:32;22.5;46
88;2022-04-20 17:43:32;22.5;46
89;2022-04-20 17:48:32;22.4;46
90;2022-04-20 17:53:32;22.3;46
91;2022-04-20 17:58:32;22.2;46
92;2022-04-20 18:03:32;22.2;45.9
93;2022-04-20 18:08:32;22.1;45.9
94;2022-04-20 18:13:32;22;46.4
95;2022-04-20 18:18:32;21.9;46.4
96;2022-04-20 18:23:32;21.7;46.9
97;2022-04-20 18:28:32;21.6;46.9
98;2022-04-20 18:33:32;21.5;46.9
99;2022-04-20 18:38:32;21.5;47.4
100;2022-04-20 18:43:32;21.4;47.4
101;2022-04-20 18:48:32;21.3;47.9
102;2022-04-20 18:53:32;21.2;47.9
103;2022-04-20 18:58:32;21.1;47.9
104;2022-04-20 19:03:32;21;47.9
105;2022-04-20 19:08:32;20.9;48.4
106;2022-04-20 19:13:32;20.9;48.4
107;2022-04-20 19:18:32;20.8;48.9
108;2022-04-20 19:23:32;20.7;48.9
109;2022-04-20 19:28:32;20.6;48.9
110;2022-04-20 19:33:32;20.6;48.9
